"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","skill_effect_prefab_path","damage_multiplier","cooldown_multiplier","radius_multiplier","branch_count","branch_damage_multiplier","branch_search_radius","status_tag","status_stacks_bonus","crit_damage_bonus","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","execute_health_ratio_bonus","core_hitbox_name","core_damage_multiplier","core_on_hit_additional_damage_chance","core_on_hit_additional_damage_attribute","hit_count_cooldown_refund_target_skill_id","hit_count_cooldown_refund_min_targets","hit_count_cooldown_refund_ratio","hit_target_count_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","status_stacks_set","kill_cooldown_refund_ratio_bonus","target_status_stack_damage_multiplier","consume_target_status_ratio_override"
"eve-d-trait-5","eve-d","eve","ActiveEnhancement","4","특성 5","감전 3스택 이상 대상 폭발 위력 +50%","","1.5","","","","","","shock","3","","","","","","","","","","","","","","","","","","","","",""
"eve-d-master-1","eve-d","eve","ActiveMaster","0","연쇄 과부하","폭발에 맞은 적이 감전 상태면 추가 폭발 1회 발생, 추가 폭발 피해 50%","Assets/Prefab/Skill/Eve/Eve_D.prefab","","","","1","0.5","0.5","shock","","","","","","","","","","","","","","","","","","","","","",""
"eve-d-master-2","eve-d","eve","ActiveMaster","1","전자기 붕괴","폭발 반경 +40%, 감전 스택당 피해 증가 +25%, 쿨다운 +20%","","1.25","","1.4","","","","shock","25","","","","","","","","","","","","","","","","","","","","",""
"rin-d-trait-1","rin-d","rin","ActiveEnhancement","0","특성 1","위력 +30%","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-d-trait-2","rin-d","rin","ActiveEnhancement","1","특성 2","처형 기준 체력 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-d-trait-3","rin-d","rin","ActiveEnhancement","2","특성 3","처치 시 쿨다운 반환 +20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-d-trait-4","rin-d","rin","ActiveEnhancement","3","특성 4","치명타 피해 +40%","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","",""
"rin-d-trait-5","rin-d","rin","ActiveEnhancement","4","특성 5","보스 대상 위력 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-d-master-1","rin-d","rin","ActiveMaster","0","확정 종결","처형 대상에게 치명타 확률 +50%, 처치 시 쿨다운 완전 초기화, 처치 순간 대상 주변에 90% 신성 피해 폭발","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-d-master-2","rin-d","rin","ActiveMaster","1","파멸권","위력 +90%, 처형 기준 체력 -10%, 쿨다운 +25%, 70% 어둠 추가 피해","","1.9","1.25","","","","","","","","1","0.7","Darkness","HitTarget","-0.1","","","","","","","","","","","","","","",""
"rin-e-trait-1","rin-e","rin","ActiveEnhancement","0","특성 1","위력 +30%","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-e-trait-2","rin-e","rin","ActiveEnhancement","1","특성 2","피해 범위 +25%","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-e-trait-3","rin-e","rin","ActiveEnhancement","2","특성 3","쿨다운 -20%","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-e-trait-4","rin-e","rin","ActiveEnhancement","3","특성 4","중심부 대상 위력 +50%","","","","","","","","","","","","","","","","CoreHitBox","1.5","","","","","","","","","","","","",""
"rin-e-trait-5","rin-e","rin","ActiveEnhancement","4","특성 5","적중한 적 3명 이상이면 하울링 쿨다운 20% 반환","","","","","","","","","","","","","","","","","","","","rin-b","3","0.2","","","","","","","",""
"rin-e-master-1","rin-e","rin","ActiveMaster","0","압살 지점","피해 범위 -20%, 위력 +100%, 중심부 적중 시 100% 화염 추가 피해","","2","","0.8","","","","","","","","","","","","CoreHitBox","","1","Fire","","","","","","","","","","",""
"rin-e-master-2","rin-e","rin","ActiveMaster","1","균열 확산","피해 범위 +50%, 위력 +35%, 적중한 적 이동 속도 2초간 -25%, 45% 어둠 추가 피해","","1.35","","1.5","","","","","","","1","0.45","Darkness","HitTarget","","","","","","","","","","","","","","","",""
"sein-e-trait-1","sein-e","sein","ActiveEnhancement","0","특성 1","위력 +30%","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-e-trait-2","sein-e","sein","ActiveEnhancement","1","특성 2","쿨타임 -20%","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-e-trait-3","sein-e","sein","ActiveEnhancement","2","특성 3","화염 저항 감소 +8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-e-trait-4","sein-e","sein","ActiveEnhancement","3","특성 4","타격 줄 수 +1, 위력 -15%","","0.85","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
"sein-e-trait-5","sein-e","sein","ActiveEnhancement","4","특성 5","초열 지대 안의 적에게 위력 +50%","","","","","","","","","","","","","","","","","","","","","","","","1.5","sein-d-superheated-presence","1","","","",""
"sein-e-master-1","sein-e","sein","ActiveMaster","0","붉은 종말","위력 +80%, 쿨타임 +25%","","1.8","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-e-master-2","sein-e","sein","ActiveMaster","1","잿빛 하늘","종말의 사선 이후 전장에 3초 동안 초열 지대 3개 생성","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-d-trait-1","vega-d","vega","ActiveEnhancement","0","특성 1","위력 +25%","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-d-trait-2","vega-d","vega","ActiveEnhancement","1","특성 2","참격 반경 +25%","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-d-trait-3","vega-d","vega","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-d-trait-4","vega-d","vega","ActiveEnhancement","3","특성 4","이름표식 10스택 이상인 적 위치의 참격 위력 +30%","","","","","","","","","","","","","","","","","","","","","","","","1.3","name-mark","10","","","",""
"vega-d-trait-5","vega-d","vega","ActiveEnhancement","4","특성 5","검은 명부 개방에 피해를 받은 적에게 이름표식 1스택 부여","","","","","","","","name-mark","","","","","","","","","","","","","","","","","","","1","","",""
"vega-d-master-1","vega-d","vega","ActiveMaster","0","명부 난도질","각 표식 대상 위치에 범위 참격 2회 추가 발생, 각 참격 위력 -35%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-d-master-2","vega-d","vega","ActiveMaster","1","흑색 처형장","참격 반경 +50%, 위력 +30%, 쿨타임 +20%","","1.3","1.2","1.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-e-trait-1","vega-e","vega","ActiveEnhancement","0","특성 1","기본 위력 +25%","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-e-trait-2","vega-e","vega","ActiveEnhancement","1","특성 2","표식 1스택당 추가 피해 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25",""
"vega-e-trait-3","vega-e","vega","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-e-trait-4","vega-e","vega","ActiveEnhancement","3","특성 4","이름표식 20스택 이상인 대상에게 치명타 확률 +35%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-e-trait-5","vega-e","vega","ActiveEnhancement","4","특성 5","최종선고로 적을 처치하면 소모한 이름표식의 25%를 주변 적에게 분배","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-e-master-1","vega-e","vega","ActiveMaster","0","이름 없는 죽음","표식 소모량 100%, 표식 1스택당 추가 피해 +80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","1"
"vega-e-master-2","vega-e","vega","ActiveMaster","1","연속 선고","기본 위력 -20%, 처치 시 최종선고 쿨타임 70% 반환","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","",""
