"node_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"ariel-a-trait-4-pierce-bonus","Choice","ariel-a-trait-4","","Action","PierceBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-a-trait-5-count-shield-damage","Choice","ariel-a-trait-5","","DamageModifier","CountStatusDamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-b-trait-1-shield-amount-multiplier","Choice","ariel-b-trait-1","","Action","ShieldAmountMultiplier","200","true","","","","","RuntimeImplemented","Migrated from generic damage multiplier to shield amount multiplier for Ariel shield composition."
"ariel-b-trait-2-duration-bonus","Choice","ariel-b-trait-2","","Action","DurationBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-b-master-1-shield-amount-multiplier","Choice","ariel-b-master-1","","Action","ShieldAmountMultiplier","200","true","","","","","RuntimeImplemented","Migrated from generic damage multiplier to shield amount multiplier for Ariel shield composition."
"ariel-b-master-1-ailment-resistance","Choice","ariel-b-master-1","","Action","StatusAilmentResistanceBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-c-trait-1-damage-multiplier","Choice","ariel-c-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-c-trait-3-duration-bonus","Choice","ariel-c-trait-3","","Action","DurationBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-d-trait-1-damage-multiplier","Choice","ariel-d-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-d-trait-2-status-element-damage-taken","Choice","ariel-d-trait-2","","Action","StatusElementDamageTakenBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-d-trait-3-duration-bonus","Choice","ariel-d-trait-3","","Action","DurationBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-d-trait-4-damage-multiplier","Choice","ariel-d-trait-4","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-d-trait-5-shield-source-damage-taken","Choice","ariel-d-trait-5","","Action","StatusConditionalDamageTakenBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-e-trait-1-damage-multiplier","Choice","ariel-e-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-e-trait-3-cooldown-multiplier","Choice","ariel-e-trait-3","","Action","CooldownMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-e-trait-5-duration-bonus","Choice","ariel-e-trait-5","","Action","DurationBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-e-master-2-damage-multiplier","Choice","ariel-e-master-2","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-f-trait-1-damage-multiplier","Choice","ariel-f-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-f-trait-2-magazine-bonus","Choice","ariel-f-trait-2","","Action","MagazineBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-h-trait-1-damage-multiplier","Choice","ariel-h-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-h-trait-2-cooldown-multiplier","Choice","ariel-h-trait-2","","Action","CooldownMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-h-trait-3-duration-bonus","Choice","ariel-h-trait-3","","Action","DurationBonus","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-i-trait-1-damage-multiplier","Choice","ariel-i-trait-1","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-i-trait-2-cooldown-multiplier","Choice","ariel-i-trait-2","","Action","CooldownMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-j-trait-2-damage-multiplier","Choice","ariel-j-trait-2","","DamageModifier","DamageMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-j-trait-3-cooldown-multiplier","Choice","ariel-j-trait-3","","Action","CooldownMultiplier","200","true","","","","","RuntimeImplemented","Ariel effect-object pilot: numeric choice modifier moved from wide CSV field to reusable node handler."
"ariel-c-trait-2-blessing-action-speed","Choice","ariel-c-trait-2","","Action","StatusActionSpeedBonus","200","true","","","","","RuntimeImplemented","Ariel C pilot: trait 2 now targets blessing status action speed via reusable node handler."
"ariel-e-trait-2-shield-amount-multiplier","Choice","ariel-e-trait-2","ariel-e","Action","ShieldAmountMultiplier","22","true","","","","","RuntimeImplemented","Ariel E trait2 shield amount is composed through the base E shield effect."
"ariel-e-master-2-shield-amount-multiplier","Choice","ariel-e-master-2","ariel-e","Action","ShieldAmountMultiplier","82","true","","","","","RuntimeImplemented","Ariel E master2 keeps damage multiplier separate and lowers shield amount through a shield-only multiplier."
