"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"ariel-f-party-holy-damage-effect-target","ariel","Effect","ariel-f-party-holy-damage","ariel-f","Action","EffectTarget","11","","","","","","",""
"ariel-f-party-holy-damage-effect-lifetime","ariel","Effect","ariel-f-party-holy-damage","ariel-f","Action","EffectLifetime","14","","","","","","",""
"ariel-f-party-holy-damage-status-damage-bonus-rate","ariel","Effect","ariel-f-party-holy-damage","ariel-f","Action","StatusDamageBonusRate","15","","","","","","",""
"ariel-f-holy-skill-crit-trait3-status-modifier","ariel","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","StatusModifier","11","","ariel-f-trait-3","","","","RuntimeImplemented",""
"ariel-f-holy-skill-crit-trait3-effect-target","ariel","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","EffectTarget","12","","","","","","",""
"ariel-f-holy-skill-crit-trait3-condition-skill-attribute","ariel","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","ConditionSkillAttribute","14","","","","","","",""
"ariel-f-holy-skill-crit-trait3-effect-lifetime","ariel","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","EffectLifetime","15","","","","","","",""
"ariel-f-holy-skill-crit-trait3-status-critical-chance-bonus","ariel","Effect","ariel-f-holy-skill-crit-trait3","ariel-f","Action","StatusCriticalChanceBonus","16","","","","","","",""
"ariel-g-shield-received-status-modifier","ariel","Effect","ariel-g-shield-received","ariel-g","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-g-shield-received-effect-target","ariel","Effect","ariel-g-shield-received","ariel-g","Action","EffectTarget","11","","","","","","",""
"ariel-g-shield-received-effect-lifetime","ariel","Effect","ariel-g-shield-received","ariel-g","Action","EffectLifetime","14","","","","","","",""
"ariel-g-shield-received-status-shield-received-bonus","ariel","Effect","ariel-g-shield-received","ariel-g","Action","StatusShieldReceivedBonus","15","","","","","","",""
"ariel-g-start-shield-apply-shield","ariel","Effect","ariel-g-start-shield","ariel-g","Action","ApplyShield","20","","","","","","RuntimeImplemented",""
"ariel-g-start-shield-effect-target","ariel","Effect","ariel-g-start-shield","ariel-g","Action","EffectTarget","21","","","","","","",""
"ariel-g-start-shield-effect-lifetime","ariel","Effect","ariel-g-start-shield","ariel-g","Action","EffectLifetime","24","","","","","","",""
"ariel-g-shielded-holy-trait3-status-modifier","ariel","Effect","ariel-g-shielded-holy-trait3","ariel-g","Action","StatusModifier","30","","ariel-g-trait-3","","","","RuntimeImplemented",""
"ariel-g-shielded-holy-trait3-effect-target","ariel","Effect","ariel-g-shielded-holy-trait3","ariel-g","Action","EffectTarget","31","","","","","","",""
"ariel-g-shielded-holy-trait3-condition-status","ariel","Effect","ariel-g-shielded-holy-trait3","ariel-g","Action","ConditionStatus","33","","","","","","",""
"ariel-g-shielded-holy-trait3-effect-lifetime","ariel","Effect","ariel-g-shielded-holy-trait3","ariel-g","Action","EffectLifetime","34","","","","","","",""
"ariel-g-shielded-holy-trait3-status-damage-bonus-rate","ariel","Effect","ariel-g-shielded-holy-trait3","ariel-g","Action","StatusDamageBonusRate","35","","","","","","",""
"ariel-h-blessed-holy-damage-speed-status-modifier","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-h-blessed-holy-damage-speed-effect-target","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","EffectTarget","11","","","","","","",""
"ariel-h-blessed-holy-damage-speed-condition-status","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","ConditionStatus","13","","","","","","",""
"ariel-h-blessed-holy-damage-speed-effect-lifetime","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","EffectLifetime","14","","","","","","",""
"ariel-h-blessed-holy-damage-speed-status-action-speed-bonus","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","StatusActionSpeedBonus","15","","","","","","",""
"ariel-h-blessed-holy-damage-speed-status-damage-bonus-rate","ariel","Effect","ariel-h-blessed-holy-damage-speed","ariel-h","Action","StatusDamageBonusRate","16","","","","","","",""
"ariel-i-holy-exposure-damage-taken-status-modifier","ariel","Effect","ariel-i-holy-exposure-damage-taken","ariel-i","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-i-holy-exposure-damage-taken-effect-target","ariel","Effect","ariel-i-holy-exposure-damage-taken","ariel-i","Action","EffectTarget","11","","","","","","",""
"ariel-i-holy-exposure-damage-taken-condition-status","ariel","Effect","ariel-i-holy-exposure-damage-taken","ariel-i","Action","ConditionStatus","13","","","","","","",""
"ariel-i-holy-exposure-damage-taken-effect-lifetime","ariel","Effect","ariel-i-holy-exposure-damage-taken","ariel-i","Action","EffectLifetime","14","","","","","","",""
"ariel-i-holy-exposure-damage-taken-status-damage-taken-bonus","ariel","Effect","ariel-i-holy-exposure-damage-taken","ariel-i","Action","StatusDamageTakenBonus","15","","","","","","",""
"ariel-i-holy-exposure-holy-resist-trait3-status-modifier","ariel","Effect","ariel-i-holy-exposure-holy-resist-trait3","ariel-i","Action","StatusModifier","12","","ariel-i-trait-3","","","","RuntimeImplemented",""
"ariel-i-holy-exposure-holy-resist-trait3-effect-target","ariel","Effect","ariel-i-holy-exposure-holy-resist-trait3","ariel-i","Action","EffectTarget","13","","","","","","",""
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","ariel","Effect","ariel-i-holy-exposure-holy-resist-trait3","ariel-i","Action","ConditionStatus","15","","","","","","",""
"ariel-i-holy-exposure-holy-resist-trait3-effect-lifetime","ariel","Effect","ariel-i-holy-exposure-holy-resist-trait3","ariel-i","Action","EffectLifetime","16","","","","","","",""
"ariel-i-holy-exposure-holy-resist-trait3-status-flat-element-resist-reduction","ariel","Effect","ariel-i-holy-exposure-holy-resist-trait3","ariel-i","Action","StatusFlatElementResistReduction","17","","","","","","",""
"ariel-j-shielded-holy-damage-status-modifier","ariel","Effect","ariel-j-shielded-holy-damage","ariel-j","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
"ariel-j-shielded-holy-damage-effect-target","ariel","Effect","ariel-j-shielded-holy-damage","ariel-j","Action","EffectTarget","11","","","","","","",""
"ariel-j-shielded-holy-damage-condition-status","ariel","Effect","ariel-j-shielded-holy-damage","ariel-j","Action","ConditionStatus","13","","","","","","",""
"ariel-j-shielded-holy-damage-effect-lifetime","ariel","Effect","ariel-j-shielded-holy-damage","ariel-j","Action","EffectLifetime","14","","","","","","",""
"ariel-j-shielded-holy-damage-status-damage-bonus-rate","ariel","Effect","ariel-j-shielded-holy-damage","ariel-j","Action","StatusDamageBonusRate","15","","","","","","",""
