"node_id","monster_id","param_key","value_type","value"
"ariel-h-blessed-holy-damage-speed-status-action-speed-bonus","ariel","bonus","float","0.10"
"ariel-h-blessed-holy-damage-speed-status-damage-bonus-rate","ariel","bonus","float","0.15"
"ariel-h-blessed-holy-damage-speed-status-damage-bonus-rate","ariel","attribute","enum","Holy"
"ariel-i-holy-exposure-damage-taken-effect-target","ariel","target_side","enum","Enemy"
"ariel-i-holy-exposure-damage-taken-condition-status","ariel","status_id","status_id","holy-exposure"
"ariel-i-holy-exposure-damage-taken-condition-status","ariel","target_side","enum","Enemy"
"ariel-i-holy-exposure-damage-taken-condition-status","ariel","min_stacks","int","1"
"ariel-i-holy-exposure-damage-taken-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-i-holy-exposure-damage-taken-status-damage-taken-bonus","ariel","bonus","float","0.10"
"ariel-i-holy-exposure-holy-resist-trait3-effect-target","ariel","target_side","enum","Enemy"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","ariel","status_id","status_id","holy-exposure"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","ariel","target_side","enum","Enemy"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","ariel","min_stacks","int","1"
"ariel-i-holy-exposure-holy-resist-trait3-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-i-holy-exposure-holy-resist-trait3-status-flat-element-resist-reduction","ariel","bonus","float","8"
"ariel-i-holy-exposure-holy-resist-trait3-status-flat-element-resist-reduction","ariel","attribute","enum","Holy"
"ariel-j-shielded-holy-damage-effect-target","ariel","target_side","enum","AllAllies"
"ariel-j-shielded-holy-damage-condition-status","ariel","status_id","status_id","shield"
"ariel-j-shielded-holy-damage-condition-status","ariel","target_side","enum","AllAllies"
"ariel-j-shielded-holy-damage-condition-status","ariel","min_stacks","int","1"
"ariel-j-shielded-holy-damage-condition-status","ariel","source_skill_id","skill_id","ariel-e-shield-base"
"ariel-j-shielded-holy-damage-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-j-shielded-holy-damage-status-damage-bonus-rate","ariel","bonus","float","0.20"
"ariel-j-shielded-holy-damage-status-damage-bonus-rate","ariel","attribute","enum","Holy"
