"path","line","declaration"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","155","public CombatVector2 TargetPoint { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","7","public abstract class UnitActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","9","protected UnitActionController("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","18","public UnitBaseModel Model { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","20","protected InGameCombatManager CombatManager { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","22","protected bool CanUse(string skillId)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","35","protected bool Execute(SkillExecutionRequest request)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitMovementController.cs","6","public sealed class UnitMovementController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitMovementController.cs","8","public bool MoveTowards("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitMovementController.cs","42","public bool Displace(UnitBaseModel unit, CombatVector2 displacement)"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","8","public readonly struct EffectVisualSpec"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","10","public EffectVisualSpec("
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","31","public string PrefabPath { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","33","public string SpritePath { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","35","public string AnimatorControllerPath { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","37","public float Scale { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","39","public float ScaleX { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","41","public float ScaleY { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","43","public float ScaleZ { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","45","public int SortingOrder { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","47","public bool UsesLocalScale =>"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","50","public bool HasResource =>"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","56","public sealed class EffectHandle"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","58","internal EffectHandle("
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","71","public int Id { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","73","public EffectVisualSpec Visual { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","75","public string ResourcePath =>"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","80","public CombatVector2 Position { get; internal set; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","82","public CombatVector2 Direction { get; internal set; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","84","public bool IsActive { get; internal set; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","87","public sealed class EffectManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","93","public EffectManager()"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","98","public IReadOnlyList<EffectHandle> ActiveEffects => readOnlyHandles;"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","100","public EffectHandle Create("
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","119","public EffectHandle Create("
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","130","public bool TryUpdate("
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","145","public bool Remove(EffectHandle handle)"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","156","public void Clear()"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","12","public readonly struct CombatResult"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","14","public CombatResult("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","32","public UnitBaseModel Source { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","34","public UnitBaseModel Target { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","36","public string SkillId { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","38","public float HealthChanged { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","40","public float ShieldChanged { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","42","public float DamageAmount =>"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","45","public bool IsCritical { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","47","public bool IsDefeated { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","50","public sealed class InGameCombatManager"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","62","public InGameCombatManager("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","72","public event Action<CombatResult> DamageApplied;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","74","public event Action<CombatResult> HealingApplied;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","76","public event Action<CombatResult> ShieldApplied;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","78","public event Action<UnitBaseModel, UnitBaseModel, StatusDefinition> StatusApplied;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","80","public event Action<UnitBaseModel, SkillDefinition> SkillActivated;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","82","public event Action<UnitBaseModel> UnitDefeated;"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","84","public bool TryExecuteSkill(SkillExecutionRequest request)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","96","public void TickTriggers(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","101","public void ApplyPassiveChanges("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","107","public void EndCombat()"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","119","public int NotifyCombatStart("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","134","public void NotifyMagazineLastProjectileHit("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","148","public void NotifyShieldExpired("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","164","public CombatResult ApplySkillDamage("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","337","public int GetOutgoingHitCount(UnitBaseModel source)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","345","public CombatResult ApplyTriggeredDamage("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","444","public CombatResult Heal("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","468","public CombatResult AddShield("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","486","public CombatResult AddShield("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","533","public void ApplyStatus("
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","572","public float ApplyNexusDamage(EnemyModel source, NexusModel nexus)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","591","public float CalculateRawValue(UnitBaseModel source, SkillDefinition skill)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","606","public float CalculateSpellPower(UnitBaseModel source)"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","612","public void NotifySkillActivated("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/AreaAttackActor.cs","6","public sealed class AreaAttackActor : TimedSkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/AreaAttackActor.cs","8","public AreaAttackActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/BuffActor.cs","6","public sealed class BuffActor : TimedSkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/BuffActor.cs","8","public BuffActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/LineAttackActor.cs","6","public sealed class LineAttackActor : TimedSkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/LineAttackActor.cs","8","public LineAttackActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","10","public sealed class ProjectileActor : SkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","25","public ProjectileActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","66","public CombatVector2 Position => position;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","68","public CombatVector2 Direction => direction;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","70","public int HitCount => hitTargets.Count;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","72","protected override void TickActor(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ScheduledSkillActor.cs","7","public sealed class ScheduledSkillActor : SkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ScheduledSkillActor.cs","15","public ScheduledSkillActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ScheduledSkillActor.cs","49","protected override void TickActor(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SingleAttackActor.cs","6","public sealed class SingleAttackActor : TimedSkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SingleAttackActor.cs","8","public SingleAttackActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","7","public abstract class SkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","9","protected SkillActor(SkillDefinition definition, EffectHandle effect)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","15","public SkillDefinition Definition { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","17","public EffectHandle Effect { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","19","public float ElapsedSeconds { get; private set; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","21","public bool IsComplete { get; protected set; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","23","public void Tick(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","39","protected abstract void TickActor(float deltaTime);"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","8","public sealed class SkillActorManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","16","public SkillActorManager(EffectManager effectManager)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","23","public IReadOnlyList<SkillActor> ActiveActors => readOnlyActive;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","25","public int PendingAddCount => pendingAdd.Count;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","27","public void Register(SkillActor actor)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","42","public void Tick(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","73","public void Clear()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/TimedSkillActor.cs","7","public abstract class TimedSkillActor : SkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/TimedSkillActor.cs","11","protected TimedSkillActor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/TimedSkillActor.cs","25","protected override void TickActor(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/AreaAttackExecutor.cs","9","internal sealed class AreaAttackExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/AreaAttackExecutor.cs","11","public AreaAttackExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/AreaAttackExecutor.cs","14","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/BuffExecutor.cs","9","internal sealed class BuffExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/BuffExecutor.cs","11","public BuffExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/BuffExecutor.cs","14","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/HealExecutor.cs","8","internal sealed class HealExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/HealExecutor.cs","10","public HealExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/HealExecutor.cs","13","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/LineAttackExecutor.cs","10","internal sealed class LineAttackExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/LineAttackExecutor.cs","12","public LineAttackExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/LineAttackExecutor.cs","15","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/PassiveExecutor.cs","8","internal sealed class PassiveExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/PassiveExecutor.cs","10","public PassiveExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/PassiveExecutor.cs","13","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ProjectileExecutor.cs","10","internal sealed class ProjectileExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ProjectileExecutor.cs","12","public ProjectileExecutor("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ProjectileExecutor.cs","22","public override bool Execute("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ShieldExecutor.cs","8","internal sealed class ShieldExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ShieldExecutor.cs","10","public ShieldExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/ShieldExecutor.cs","13","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SingleAttackExecutor.cs","10","internal sealed class SingleAttackExecutor : SkillExecutor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SingleAttackExecutor.cs","12","public SingleAttackExecutor(GameDefinitionCatalog catalog, SkillTargeting targeting, SkillActorManager actors, EffectManager effects, Func<float> randomValue)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SingleAttackExecutor.cs","15","public override bool Execute(InGameCombatManager combat, SkillExecutionRequest request, SkillExecutionPlan plan)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillEffectGraphRuntime.cs","14","public sealed class SkillEffectGraphRuntime"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillEffectGraphRuntime.cs","23","public SkillEffectGraphRuntime("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillEffectGraphRuntime.cs","38","public void ExecuteOwnedGraphs("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillEffectGraphRuntime.cs","97","public void ExecuteTriggerGraph("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","12","internal sealed class SkillExecutionPlan"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","36","public static SkillExecutionPlan Create("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","135","public float ResolveDamageMultiplier("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","225","public bool CanExecute()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","265","public IReadOnlyList<UnitBaseModel> FilterTargets("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","309","public float ResolveDamageDelayMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","315","public float ResolveKnockbackMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","321","public int ResolveMagazineBonus()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","327","public float ResolveRadius(float baseRadius)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","351","public float ResolveDuration(float baseDuration)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","374","public float ResolveStatusDuration("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","393","public int ResolveStatusStacks(string statusId, int baseStacks)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","420","public int ResolveBurstStatusStacks("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","452","public IEnumerable<string> AdditionalStatusIds()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","487","public float ResolveCriticalChanceBonus(UnitBaseModel target)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","511","public float ResolveCriticalDamageBonus(UnitBaseModel target)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","531","public int ResolveAdditionalProjectiles()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","537","public int ResolveFollowUpProjectileCount()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","543","public float ResolveFollowUpProjectileDelay()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","549","public float ResolveFollowUpProjectileMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","555","public float ResolveTargetStatusStackDamageRateBonus(string statusId)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","572","public int ResolvePierceBonus()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","578","public int ResolveHitTargetCountBonus()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","584","public int ResolveRepeatCount()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","590","public float ResolveRepeatInterval()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","596","public float ResolveRepeatDamageMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","602","public float ResolveShotIntervalMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","608","public float ResolveCooldownMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","614","public float ResolveReloadMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","620","public float ResolveCooldownRefundRatio()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","630","public bool ShouldResetCooldown()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","648","public float ResolveShieldMultiplier()"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","654","public float ResolveTriggerProcChanceBonus(string triggerId)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","669","internal IReadOnlyList<ChoiceNodeDefinition> Nodes => nodes;"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","795","public bool IsExecuteConditionMet(UnitBaseModel target)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionPlan.cs","913","internal void ReportConsumed(ChoiceNodeDefinition node)"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","9","public sealed class SkillExecutionRequest"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","12","public SkillExecutionRequest("
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","31","public UnitBaseModel Caster { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","33","public SkillDefinition Skill { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","35","public IReadOnlyList<UnitBaseModel> RegisteredUnits { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","37","public CombatVector2? AimDirection { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","39","public CombatVector2? TargetPoint { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","41","public bool IsTriggered { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Execution/SkillExecutionRequest.cs","43","public string HitZone { get; }"
