"asset_path","line","guid","script_path","yaml_line"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-ethan.prefab","212","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-drake.prefab","132","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Legacy/Skill 1/Ariel/Airel_A.prefab","174","c29622d2ef50bc34e953b2cd9876644f","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/SkillVisualActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c29622d2ef50bc34e953b2cd9876644f, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-dark-assassin.prefab","270","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-arsen.prefab","568","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Warrior_Unit.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Warrior_King.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_ShieldKing.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Shield.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Rogue_Unit.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Priest_Unit.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Karin.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Achor.prefab","624","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Legacy/Skill 1/Eve/Eve_A.prefab","174","c29622d2ef50bc34e953b2cd9876644f","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/SkillVisualActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c29622d2ef50bc34e953b2cd9876644f, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewMainMenu.unity","437","911e7b0e2aa03f5458d7e1f3eb8ba0b8","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreMainMenuController.cs","m_Script: {fileID: 11500000, guid: 911e7b0e2aa03f5458d7e1f3eb8ba0b8, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13640","a29b50b3033957d438458097cb36ab39","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreInGameUIController.cs","m_Script: {fileID: 11500000, guid: a29b50b3033957d438458097cb36ab39, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13664","2bce5e2c5b698e14cae1e4849e349d9d","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreDebugUIController.cs","m_Script: {fileID: 11500000, guid: 2bce5e2c5b698e14cae1e4849e349d9d, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13676","2f44f2a0207642e4c855b7ef2f79fdde","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreMonsterPanelUI.cs","m_Script: {fileID: 11500000, guid: 2f44f2a0207642e4c855b7ef2f79fdde, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13692","fe27bd183c0d2764d81180df525dbe02","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreDamageMeterUIController.cs","m_Script: {fileID: 11500000, guid: fe27bd183c0d2764d81180df525dbe02, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13710","c5941ffe8ee82574d86feeb206b24003","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreDamageMeterTracker.cs","m_Script: {fileID: 11500000, guid: c5941ffe8ee82574d86feeb206b24003, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","13898","54c99cf97c7c1254e8f171e928b4f75d","Pakuri/Assets/Scripts/NewCore/Presentation/UI/NewCoreUtilityPanelController.cs","m_Script: {fileID: 11500000, guid: 54c99cf97c7c1254e8f171e928b4f75d, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","23137","5bc74f204a88b16499661050ce2eee8b","Pakuri/Assets/Scripts/NewCore/Presentation/Scene/NewCoreSceneRuntime.cs","m_Script: {fileID: 11500000, guid: 5bc74f204a88b16499661050ce2eee8b, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","23153","fa9a3193209459a4d9b2e27b12b3e0e8","Pakuri/Assets/Scripts/NewCore/Presentation/Scene/NewCoreStageController.cs","m_Script: {fileID: 11500000, guid: fa9a3193209459a4d9b2e27b12b3e0e8, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","23181","119dd9f412ed3074ab18f6e8ac562b9d","Pakuri/Assets/Scripts/NewCore/Presentation/Scene/NewCoreSpawnController.cs","m_Script: {fileID: 11500000, guid: 119dd9f412ed3074ab18f6e8ac562b9d, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","23236","748fd1c9d9b75de40b51291026eb4180","Pakuri/Assets/Scripts/NewCore/Presentation/Scene/NewCoreEffectView.cs","m_Script: {fileID: 11500000, guid: 748fd1c9d9b75de40b51291026eb4180, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","23249","4717eeab25417eb4eba081006c884d45","Pakuri/Assets/Scripts/NewCore/Presentation/Scene/NewCoreInputController.cs","m_Script: {fileID: 11500000, guid: 4717eeab25417eb4eba081006c884d45, type: 3}"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","28010","dde153838e2141945aa1f7cc523f7717","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/NexusActorBehaviour.cs","m_Script: {fileID: 11500000, guid: dde153838e2141945aa1f7cc523f7717, type: 3}"
