"CsvPath","SizeBytes","Sha256","LinesAfterHeader"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/projectile/skills_projectile.csv","5180","e1e53301583573c14c5aa5c346e1f884eadca89086c22c711a05866b51b33bc8","8"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/single_attack/skills_single_attack.csv","7016","05b4d587683346494f0f50c745b14fb44dc6b9f3885fbdab8bd702ba634423ed","10"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/area_attack/skill_choices_area_attack.csv","2538","be2099d6e97c00cccfe265241e37aa35ed369ecc72d631556d57eada66f1c992","22"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/area_attack/skill_graph_nodes_area_attack.csv","6406","e77c29e22bd027bc92dcb8766ceedb479f769c26a267805fc0797d69b58828fa","46"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/buff/skill_choices_buff.csv","2688","8beed53db8a65b9edfe30add8d314ef76b6d4b220aedabdbbb2a3a24ec73fb85","22"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/buff/skill_graph_nodes_buff.csv","6665","b4a771e16d93402c70ceef6a51e5e7c14faaf8998bc7bc0a33c1e60764a23315","49"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/line_attack/skill_choices_line_attack.csv","2591","c3b29d635803a03205c49102675d58628be9296a42782ed3ec01a715623378b2","22"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/line_attack/skill_graph_nodes_line_attack.csv","6622","fdc4be7efea175603f3710525b0c9c192029bb510feeafadb101f72147647afc","50"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/passive/skill_choices_passive.csv","9712","920b34effc21c509c395283d8303f57e9cce342c704cd129cc407c9b4623906b","78"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/passive/skill_graph_nodes_passive.csv","48834","baabe70d660811f03cc4f52a2a1b83927467ffcbbe17e7f3c46cb659dc94c295","383"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/projectile/skill_choices_projectile.csv","5580","2260ed8bb8511808226129dd502580b244f4212ec2f9edf5eedae78a2be32495","50"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/projectile/skill_graph_nodes_projectile.csv","10393","8a55d8253d90cbc32241edb65b6697d5f2ba8b6cd927b28b8297d0593d03334a","79"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/single_attack/skill_choices_single_attack.csv","7347","e15c401045dcd290025a12b3c45a19bb1193155a4fb4d322237d47312e53f0a4","64"
"Pakuri/Assets/CSVdata/authoring/monster/skills/choices/single_attack/skill_graph_nodes_single_attack.csv","24222","8f4a91c1c7647f6ed0a716c12581cbed42f367e5db0090225ba6b57d01a2bf7a","171"
"Pakuri/Assets/CSVdata/authoring/monster/skills/nodes/definitions/skill_node_definition_params.csv","12033","e8ac7de2ac0ead6c2eb5563b4c76270c54633d7da9e78b39f67be2d287255c4f","197"
"Pakuri/Assets/CSVdata/authoring/monster/skills/nodes/definitions/skill_node_definitions.csv","5948","bafcb6ae48e168113d43b3da05e7d8cb1e9e8cf7dcf02a4620c36c4d30754b61","90"
"Pakuri/Assets/CSVdata/authoring/monster/skills/triggers/buff/buff_skill_triger.csv","1857","88d94be73c16fd0d73d84fca37c39e6be90b8933c6c8311e1e2be009fd2134e6","3"
"Pakuri/Assets/CSVdata/authoring/monster/skills/triggers/line_attack/line_attack_skill_triger.csv","1545","d12724ccc8920042cab9a803a88d895f4df038ac2ef68efed85b54e84e4af0d7","2"
"Pakuri/Assets/CSVdata/authoring/monster/skills/triggers/passive/passive_skill_triger.csv","19645","108158ae9d01a5f3b0707d7289a47c9d65ab766707dfa8719e0dcb629b5a5fc0","49"
"Pakuri/Assets/CSVdata/authoring/monster/skills/triggers/projectile/projectile_skill_triger.csv","3447","395d050adf561376552f331544ee8c08488ae6d06e47dc3ed358fc0f403143bc","5"
"Pakuri/Assets/CSVdata/authoring/monster/skills/triggers/single_attack/single_attack_skill_triger.csv","2259","0769d6a0fc07782670449be5f273af43335cbf164e9a62097fa0ff9a3ed1235a","3"
"Pakuri/Assets/CSVdata/authoring/status/status_effects.csv","3048","d5df886f1c62463b52a7610e2a4c1c92835ba55fb1fa8d7925e517154602d354","20"
"Pakuri/Assets/CSVdata/stage_flow/StageDay.csv","2821","8d036674cb61537280a4e708d4d6f478db7e2f38970247a85e4a2116f66ffa82","22"
"Pakuri/Assets/CSVdata/stage_flow/StageEncounter.csv","6773","6602ef90de0a462bbd42b3621be92b4b9aa291fa5264cd6ab3460e9ea2653538","60"
"Pakuri/Assets/CSVdata/stage_flow/StageReward.csv","1683","a6a5a8f603b0796fdfa62cadc43aa1b2ad5e670984350243b31370455b1ba30c","9"
