"node_type_name","param_order","param_key","value_type","required","allowed_values"
"RequiredSourceStatus","1","status_name","status_name","true",""
"RequiredSourceStatus","2","min_stacks","int","false",""
"StatusRuntimeKindFilter","1","incoming_skill_runtime_kinds","string","false",""
"StatusRuntimeKindFilter","2","outgoing_skill_runtime_kinds","string","false",""
"TargetStatusCritBonus","1","status_name","status_name","true",""
"TargetStatusCritBonus","2","crit_chance_bonus","float","false",""
"TargetStatusCritBonus","3","crit_damage_bonus","float","false",""
"TargetStatusCritBonus","4","min_stacks","int","false",""
"TargetHealthRatioCritBonus","1","threshold","float","true",""
"TargetHealthRatioCritBonus","2","crit_chance_bonus","float","false",""
"TargetHealthRatioCritBonus","3","crit_damage_bonus","float","false",""
"TargetBossCritBonus","1","crit_chance_bonus","float","false",""
"TargetBossCritBonus","2","crit_damage_bonus","float","false",""
"TargetHighestHealthCritBonus","1","crit_chance_bonus","float","false",""
"TargetHighestHealthCritBonus","2","crit_damage_bonus","float","false",""
"SkillRuntimeKindCritBonus","1","skill_runtime_kinds","string","true",""
"SkillRuntimeKindCritBonus","2","crit_chance_bonus","float","false",""
"SkillRuntimeKindCritBonus","3","crit_damage_bonus","float","false",""
"FateCoinCritChanceProgression","1","increment","float","true",""
"FateCoinCritChanceProgression","2","max_bonus","float","true",""
"MagazineLastProjectileCritDamageBonus","1","bonus","float","true",""
"FinalDamageModifier","1","multiplier","float","true",""
"CriticalFinalDamageModifier","1","multiplier","float","true",""
"TargetStatusStackDamageMultiplier","1","multiplier","float","true",""
"ThresholdApplyStatus","1","source_status_name","status_name","true",""
"ThresholdApplyStatus","2","min_stacks","int","true",""
"ThresholdApplyStatus","3","apply_status_name","status_name","true",""
"LineCastRepeatCountBonus","1","bonus","int","true",""
"ApplyDamage","1","attribute","enum","true",""
"ApplyDamage","2","base_damage","float","false",""
"ApplyDamage","3","spell_power_coefficient","float","false",""
"ApplyDamage","4","damage_multiplier","float","false",""
"ApplyDamage","5","radius","float","false",""
"ApplyDamage","6","attack_power_coefficient","float","false",""
"ApplyDamage","7","tick_interval_seconds","float","false",""
"ApplyDamage","8","value_source","enum","false",""
"ApplyDamage","9","value_source_multiplier","float","false",""
"ApplyDamage","10","tracked_attribute","enum","false",""
"ExtendStatusDuration","1","status_name","status_name","true",""
"SelectTargets","1","target_side","enum","false",""
"SelectTargets","2","target_selection","enum","false",""
"SelectTargets","3","target_shape","enum","false",""
"SelectTargets","4","center_mode","enum","false",""
"SelectTargets","5","visual_anchor_mode","enum","false",""
"SelectTargets","6","apply_once","bool","false",""
"SelectTargets","7","cover_all","bool","false",""
"SelectTargets","8","max_targets","int","false",""
"SetDuration","1","duration_seconds","float","true",""
"ShowVisual","1","runtime_visual_sprite_path","asset_path","true",""
"ShowVisual","2","runtime_visual_animator_controller_path","asset_path","false",""
"ShowVisual","3","runtime_visual_scale","float","false",""
"ShowVisual","4","runtime_visual_sorting_order","int","false",""
"ShowVisual","5","runtime_hitbox_size_x","float","false",""
"ShowVisual","6","runtime_hitbox_size_y","float","false",""
"ExecuteSkill","1","skill_name","skill_name","true",""
"ExecuteSkill","2","damage_multiplier","float","false",""
"RefundCooldown","1","skill_name","skill_name","false",""
"RefundCooldown","2","ratio","float","true",""
"ReduceReload","1","skill_name","skill_name","false",""
"ReduceReload","2","ratio","float","true",""
