"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","requires_passive_skill_id","apply_once","condition_target_side","attribute","base_damage","attack_power_coefficient","damage_multiplier","radius","cover_all","active_duration_seconds","tick_interval_seconds","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","status_damage_bonus_rate","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_flat_element_resist_reduction","status_critical_chance_bonus","status_critical_damage_bonus"
"sein-f-fire-damage-trait1","sein-f","20","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","sein-f-trait-1","","false","","Fire","0","0","1","0","true","","","passive-buff","1","Sein F Fire Damage Trait 1","0.5","1","1","all_allies","same_source_refresh","0.06","","","RuntimeImplemented","Sein-F trait 1 adds all allies Fire damage +6%.","","","",""
"sein-f-fire-skill-crit-damage-trait3","sein-f","21","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","sein-f-trait-3","","false","","Fire","0","0","1","0","true","","","passive-buff","1","Sein F Fire Skill Crit Damage Trait 3","0.5","1","1","all_allies","same_source_refresh","","","","RuntimeImplemented","Sein-F trait 3 grants crit damage +20% to allies with a Fire active skill.","Fire","","","0.20"
"sein-c-passive-h-fire-resist-down","sein-c","30","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","","sein-h","true","","Fire","0","0","1","0","false","","","fire-resist-down","1","Sein H Fire Resist Down","5","1","1","","same_source_refresh","","","","RuntimeImplemented","Sein-H applies flat Fire resistance reduction 12 for 5 seconds on Sein-C hit.","","12","",""
"sein-c-passive-h-fire-resist-down-trait1","sein-c","31","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-h-trait-1","sein-h","true","","Fire","0","0","1","0","false","","","fire-resist-down","1","Sein H Fire Resist Down Trait 1","5","1","1","","same_source_refresh","","","","RuntimeImplemented","Sein-H trait 1 adds flat Fire resistance reduction 6 on Sein-C hit.","","6","",""
"sein-c-passive-h-fire-exposure-trait3","sein-c","32","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-h-trait-3","sein-h","true","","Fire","0","0","1","0","false","","","fire-exposure","1","Sein H Fire Exposure Trait 3","5","1","1","","same_source_refresh","","0.10","","RuntimeImplemented","Sein-H trait 3 adds Fire damage taken +10% for 5 seconds on Sein-C hit.","","","",""
"sein-d-passive-i-fire-exposure","sein-d","20","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","","sein-i","true","","Fire","0","0","1","0","false","","","fire-exposure","1","Sein I Fire Exposure","4","1","1","","same_source_refresh","","0.15","","RuntimeImplemented","Sein-I applies Fire damage taken +15% for 4 seconds on Sein-D hit; base tick speed remains pending shared runtime.","","","",""
"sein-d-passive-i-fire-exposure-trait1","sein-d","21","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-i-trait-1","sein-i","true","","Fire","0","0","1","0","false","","","fire-exposure","1","Sein I Fire Exposure Trait 1","4","1","1","","same_source_refresh","","0.07","","RuntimeImplemented","Sein-I trait 1 adds Fire damage taken +7% on Sein-D hit.","","","",""
"sein-e-passive-j-fire-exposure","sein-e","20","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","","sein-j","true","","Fire","0","0","1","0","false","","","fire-exposure","1","Sein J Fire Exposure","5","1","1","","same_source_refresh","","0.20","","RuntimeImplemented","Sein-J applies Fire damage taken +20% for 5 seconds on Sein-E hit.","","","",""
"sein-e-passive-j-fire-exposure-trait1","sein-e","21","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-j-trait-1","sein-j","true","","Fire","0","0","1","0","false","","","fire-exposure","1","Sein J Fire Exposure Trait 1","5","1","1","","same_source_refresh","","0.10","","RuntimeImplemented","Sein-J trait 1 adds Fire damage taken +10% on Sein-E hit.","","","",""
"sein-e-passive-j-fire-resist-down-trait3","sein-e","22","Status","Enemy","EventTarget","Single","EffectTarget","Center","OnHit","sein-j-trait-3","sein-j","true","","Fire","0","0","1","0","false","","","fire-resist-down","1","Sein J Fire Resist Down Trait 3","5","1","1","","same_source_refresh","","","","RuntimeImplemented","Sein-J trait 3 adds flat Fire resistance reduction 8 on Sein-E hit.","","8","",""
