choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,cooldown_multiplier,reload_time_multiplier,duration_multiplier,duration_bonus,status_stacks_bonus,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,runtime_target_skill_ids,required_source_status_id,required_source_status_min_stacks,status_action_speed_bonus,status_attack_power_bonus
rin-b-trait-3,rin,rin-b,rin-b,ActiveEnhancement,2,특성 3,쿨다운 -20%,RuntimeImplemented,Rin-B trait 3 scales cooldown by 20% through cooldown_multiplier.,0.8,,,,,,,,,,,,
rin-b-trait-4,rin,rin-b,rin-b,ActiveEnhancement,3,특성 4,린의 공격력 +15% 추가 증가,RuntimeImplemented,Rin-B trait 4 implemented through monster_skill_effects self buff status.,,,,,,,,,,,,,
rin-b-trait-5,rin,rin-b,rin-b,ActiveEnhancement,4,특성 5,하울링 중 아군 치명타 확률 +8%,RuntimeImplemented,Rin-B trait 5 implemented through monster_skill_effects ally crit buff status.,,,,,,,,,,,,,
rin-b-master-1,rin,rin-b,rin-b,ActiveMaster,0,전장의 포효,"행동속도 증가 +15%, 지속시간 +20%, 아군 전체 물리 피해 +18% 추가",RuntimeImplemented,Rin-B master 1 scales duration by 20% and applies extra ally statuses through monster_skill_effects.,,,1.2,,,,,,,,,,
rin-b-master-2,rin,rin-b,rin-b,ActiveMaster,1,심연 군가,"행동속도 증가량 -5%, 아군 전체 물리 피해에 25% 어둠 추가 피해",RuntimeImplemented,Rin-B master 2 implemented through monster_skill_effects ally status with darkness follow-up damage.,,,,,,,,,,,,,
vega-c-trait-1,vega,vega-c,vega-c,ActiveEnhancement,0,특성 1,지속시간 +2초,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,2,,,,,,,,,
vega-c-trait-2,vega,vega-c,vega-c,ActiveEnhancement,1,특성 2,행동속도 증가량 +10%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,0.1,
vega-c-trait-3,vega,vega-c,vega-c,ActiveEnhancement,2,특성 3,공격력 증가량 +10%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,0.1
vega-c-trait-4,vega,vega-c,vega-c,ActiveEnhancement,3,특성 4,몰살 허가 중 삼검난무 재장전 속도 +30%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,0.7692307692307692,,,,,,,vega-a,slaughter-permit,1,,
vega-c-trait-5,vega,vega-c,vega-c,ActiveEnhancement,4,특성 5,몰살 허가 중 이름표식이 있는 적에게 베가가 주는 피해 +15%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,1.15,name-mark,1,vega-a;vega-b;vega-d;vega-e,slaughter-permit,1,,
vega-c-master-1,vega,vega-c,vega-c,ActiveMaster,0,처형 영장,"지속시간 +2초, 몰살 허가 중 삼검난무가 이름표식 1스택 추가 부여",ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,2,1,,,,vega-a,slaughter-permit,1,,
vega-c-master-2,vega,vega-c,vega-c,ActiveMaster,1,살육 절차,"행동속도 증가량 +25%, 공격력 증가량 +25%, 지속시간 -2초",ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,-2,,,,,,,,0.25,0.25
