choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,skill_effect_prefab_path,damage_multiplier,cooldown_multiplier,magazine_bonus,additional_projectile_bonus,pierce_bonus,reload_time_multiplier,shot_interval_multiplier,burst_damage_projectile_index,burst_damage_multiplier,follow_up_projectile_count,follow_up_projectile_delay_seconds,follow_up_projectile_damage_multiplier,radius_multiplier,damage_delay_multiplier,branch_chance_bonus,branch_count,branch_damage_multiplier,branch_search_radius,status_tag,crit_chance_bonus,crit_damage_bonus,status_stacks_set,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,on_hit_additional_damage_visual,consecutive_hit_bonus_rate,consecutive_hit_max
sein-b-trait-2,sein,sein-b,sein-b,ActiveEnhancement,1,특성 2,위력 +25%,RuntimeImplemented,위력 +25% -> shared projectile damage modifier.,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-b-trait-3,sein,sein-b,sein-b,ActiveEnhancement,2,특성 3,재장전 속도 +30%,RuntimeImplemented,재장전 속도 +30% -> shared reload time multiplier.,,,,,,,0.7692307692307692,,,,,,,,,,,,,,,,,,,,,,
sein-b-trait-4,sein,sein-b,sein-b,ActiveEnhancement,3,특성 4,발사 간격 -25%,RuntimeImplemented,발사 간격 -25% -> shared shot interval multiplier.,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,
sein-b-trait-5,sein,sein-b,sein-b,ActiveEnhancement,4,특성 5,"같은 대상에게 연속 적중 시 피해 +8%, 최대 +40%",RuntimeImplemented,Same-target consecutive projectile hits gain +8% damage up to +40% through shared runtime consecutive-hit tracking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.4
sein-b-master-1,sein,sein-b,sein-b,ActiveMaster,0,포화 사격,"탄환 수 +4, 위력 -20%",RuntimeImplemented,탄환 수 +4 and 위력 -20% -> shared burst projectile count and damage modifiers.,,0.8,,,4,,,,,,,,,,,,,,,,,,,,,,,,
sein-b-master-2,sein,sein-b,sein-b,ActiveMaster,1,집중 사격,"탄환 수 -2, 위력 +90%, 치명타 확률 +20%",RuntimeImplemented,"탄환 수 -2, 위력 +90%, 치명타 확률 +20% -> shared burst projectile count, damage, and crit modifiers.",,1.9,,,-2,,,,,,,,,,,,,,,,0.2,,,,,,,,
sein-c-trait-1,sein,sein-c,sein-c,ActiveEnhancement,0,특성 1,위력 +30%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-c-trait-2,sein,sein-c,sein-c,ActiveEnhancement,1,특성 2,폭발 반경 +25%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,
sein-c-trait-3,sein,sein-c,sein-c,ActiveEnhancement,2,특성 3,쿨타임 -20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-c-trait-4,sein,sein-c,sein-c,ActiveEnhancement,3,특성 4,지연 시간 -40%,ReferenceDirect,Projectile impact delay -40% mapped through shared damage_delay_multiplier.,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,
sein-c-trait-5,sein,sein-c,sein-c,ActiveEnhancement,4,특성 5,열풍 화살에 맞은 적에게 위력 +35%,ReferenceDirect,Conditional damage vs targets marked by Sein-A hit status.,,,,,,,,,,,,,,,,,,,,,,,,1.35,sein-a-hit-mark,1,,,
sein-c-master-1,sein,sein-c,sein-c,ActiveMaster,0,낙화 궤적,폭발 후 같은 위치에 2초 동안 작은 화염 지대 생성,SharedExtension,Projectile delayed-impact on-expire residual zone handled by shared projectile/effect runtime.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sein-c-master-2,sein,sein-c,sein-c,ActiveMaster,1,관통 궤도,화살 경로상의 적에게 40% 화염 피해 후 폭발,SharedExtension,Projectile on-hit follow-up damage effect handled by shared projectile/effect runtime.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-a-trait-1,vega,vega-a,vega-a,ActiveEnhancement,0,특성 1,위력 +20%,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
vega-a-trait-2,vega,vega-a,vega-a,ActiveEnhancement,1,특성 2,탄창 수 +2,ReferenceDirect,Reference numeric effect mapped into unified choice CSV.,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
vega-a-trait-3,vega,vega-a,vega-a,ActiveEnhancement,2,특성 3,재장전 속도 +25%,DerivedFromReference,Reference numeric effect mapped into unified choice CSV.,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,
vega-a-trait-4,vega,vega-a,vega-a,ActiveEnhancement,3,특성 4,마지막 탄환 피해 배율 +50%,RuntimeImplemented,Shared projectile burst-index modifier applies +50% only to the last burst projectile.,,,,,,,,,0,1.5,,,,,,,,,,,,,,,,,,,
vega-a-trait-5,vega,vega-a,vega-a,ActiveEnhancement,4,특성 5,삼검난무가 이름표식 10스택 이상인 적에게 주는 피해 +25%,RuntimeImplemented,Shared conditional target status damage multiplier applies +25% against 10+ Name Mark stacks.,,,,,,,,,,,,,,,,,,,,,,,,1.25,name-mark,10,,,
vega-a-master-1,vega,vega-a,vega-a,ActiveMaster,0,검은 잔상,"삼검난무 발사 후 같은 궤도에 잔상 검기 1개가 지연 발사된다. 잔상 검기는 45% 피해, 이름표식 1스택 부여",RuntimeImplemented,Shared projectile follow-up schedules one shadow projectile on the next frame after the final burst projectile when the reference provides no numeric delay.,,,,,,,,,,,1,0,0.45,,,,,,,,,,,,,,,,
vega-a-master-2,vega,vega-a,vega-a,ActiveMaster,1,단죄 연쇄,삼검난무로 적을 처치하면 가장 가까운 적 1명에게 이름표식 3스택을 이전하고 작은 참격 피해를 준다,RuntimeImplemented,Shared OnKill effect now deals the requested small slash using attack coefficient 0.5 and transfers 3 Name Mark stacks to the nearest enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eve-a-trait-1,eve,eve-a,eve-a,ActiveEnhancement,0,특성 1,"탄창 수 +4, 위력 +20%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Arc Bolt trait 1.,,1.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,
eve-a-trait-2,eve,eve-a,eve-a,ActiveEnhancement,1,특성 2,"재장전 속도 +30%, 관통 수 +1",DerivedFromReference,Reference numeric effect mapped into unified choice CSV. | legacy: Arc Bolt trait 2.,,,,,,1,0.76923,,,,,,,,,,,,,,,,,,,,,,
eve-a-trait-3,eve,eve-a,eve-a,ActiveEnhancement,2,특성 3,"추가 투사체 수 +1, 재장전 시간 +20%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Arc Bolt trait 3.,,,,,1,,1.2,,,,,,,,,,,,,,,,,,,,,,
eve-a-trait-4,eve,eve-a,eve-a,ActiveEnhancement,3,특성 4,"추가 투사체 수 +2, 발사 속도 -25%",DerivedFromReference,Reference numeric effect mapped into unified choice CSV. | legacy: Arc Bolt trait 4.,,,,,2,,,1.25,,,,,,,,,,,,,,,,,,,,,
eve-a-trait-5,eve,eve-a,eve-a,ActiveEnhancement,4,특성 5,"위력 +25%, 갈래 확률 +35%",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Arc Bolt trait 5.,,1.25,,,,,,,,,,,,,,0.35,2,0.7,,,,,,,,,,,
eve-a-master-1,eve,eve-a,eve-a,ActiveMaster,0,분기 회로,"갈래 확률 +60%, 위력 +35%, 탄창 수 +2",ReferenceDirect,Reference numeric effect mapped into unified choice CSV. | legacy: Branch Circuit.,,1.35,,2,,,,,,,,,,,,0.6,2,0.7,4.5,,,,,,,,,,
eve-a-master-2,eve,eve-a,eve-a,ActiveMaster,1,과충전 일제사격,"관통 수 +2, 추가 투사체 수 +2, 발사 속도 -20%, 위력 +45%, 적중 시 감전 2스택",DerivedFromReference,Reference numeric effect mapped into unified choice CSV. | legacy: Overcharged Barrage.,,1.45,,,2,2,,1.2,,,,,,,,,,,,媛먯쟾,,,2,,,,,,
