"choice_id","owner_id","skill_id","choice_type","choice_index","display_name","description","source_status","source_notes"
"eve-g-trait-1","eve","eve-g","PassiveEnhancement","0","Trait 1","Prism Ray auto-cast chance +3%","DataOnlyUnsupported","g-weakness-analysis.md trait 1; passive auto-cast chance not implemented yet."
"eve-g-trait-2","eve","eve-g","PassiveEnhancement","1","Trait 2","All allies lightning/ice damage +5%","DataOnlyUnsupported","g-weakness-analysis.md trait 2; passive elemental damage layer not implemented yet."
"eve-g-trait-3","eve","eve-g","PassiveEnhancement","2","Trait 3","Prism Ray deals +300% additional damage to shielded targets","DataOnlyUnsupported","g-weakness-analysis.md trait 3; conditional shielded-target damage not implemented yet."
"eve-h-trait-1","eve","eve-h","PassiveEnhancement","0","Trait 1","All allies damage to chill/freeze targets +6%","DataOnlyUnsupported","h-particle-separation.md trait 1; passive conditional damage layer not implemented yet."
"eve-h-trait-2","eve","eve-h","PassiveEnhancement","1","Trait 2","Freeze duration +1.0s","DataOnlyUnsupported","h-particle-separation.md trait 2; freeze duration modifier unsupported by current schema."
"eve-h-trait-3","eve","eve-h","PassiveEnhancement","2","Trait 3","On freeze release, deal 16 + spell * 1.0 ice damage","DataOnlyUnsupported","h-particle-separation.md trait 3; freeze release damage formula unsupported by current schema."
"eve-i-trait-1","eve","eve-i","PassiveEnhancement","0","Trait 1","All allies lightning damage to shocked targets +8%","DataOnlyUnsupported","i-cooling-algorithm.md trait 1; passive conditional elemental layer not implemented yet."
"eve-i-trait-2","eve","eve-i","PassiveEnhancement","1","Trait 2","Additional -6 lightning resistance to targets with 5 shock stacks","DataOnlyUnsupported","i-cooling-algorithm.md trait 2; resistance debuff fields unsupported by current schema."
"eve-i-trait-3","eve","eve-i","PassiveEnhancement","2","Trait 3","Static Override explosion radius +25%","DataOnlyUnsupported","i-cooling-algorithm.md trait 3; passive modifying another active skill is not wired in current resolver."
"eve-j-trait-1","eve","eve-j","PassiveEnhancement","0","Trait 1","All allies damage to vulnerable targets +6%","DataOnlyUnsupported","j-overcurrent-circuit.md trait 1; passive conditional damage layer not implemented yet."
"eve-j-trait-2","eve","eve-j","PassiveEnhancement","1","Trait 2","Additional -4 all resistance to vulnerable targets","DataOnlyUnsupported","j-overcurrent-circuit.md trait 2; resistance debuff fields unsupported by current schema."
"eve-j-trait-3","eve","eve-j","PassiveEnhancement","2","Trait 3","Plasma Field deals +75% damage to targets with 5+ vulnerable stacks","DataOnlyUnsupported","j-overcurrent-circuit.md trait 3; conditional vulnerable-stack damage not implemented yet."
