"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_damage_bonus_rate","status_damage_taken_bonus","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","condition_skill_attribute","status_flat_element_resist_reduction","status_conditional_target_status_id","status_conditional_status_chance_bonus","status_applied_status_duration_bonus_status_id","status_applied_status_duration_bonus"
"eve-g-ice-damage","eve-g","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","AllAllies","Ice","0","0","1","0","true","passive-buff","1","Eve G Ice Damage","0.5","1","1","all_allies","same_source_refresh","","","0.08","","","","RuntimeImplemented","","","","","",""
"eve-g-lightning-damage-trait2","eve-g","20","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","eve-g-trait-2","false","","AllAllies","Lightning","0","0","1","0","true","passive-buff","1","Eve G Lightning Damage Trait 2","0.5","1","1","all_allies","same_source_refresh","","","0.05","","","","RuntimeImplemented","","","","","",""
"eve-g-ice-damage-trait2","eve-g","21","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","eve-g-trait-2","false","","AllAllies","Ice","0","0","1","0","true","passive-buff","1","Eve G Ice Damage Trait 2","0.5","1","1","all_allies","same_source_refresh","","","0.05","","","","RuntimeImplemented","","","","","",""
"eve-h-chill-freeze-damage-taken","eve-h","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","chill;freeze","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve H Chill Freeze Damage Taken","0.5","1","1","","same_source_refresh","","","","0.14","","","RuntimeImplemented","","","","","",""
"eve-h-status-chance","eve-h","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","AllAllies","Physical","0","0","1","0","true","passive-buff","1","Eve H Status Chance","0.5","1","1","all_allies","same_source_refresh","","","","","","","RuntimeImplemented","","","chill;freeze","0.10","",""
"eve-h-chill-freeze-damage-taken-trait1","eve-h","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-h-trait-1","false","chill;freeze","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve H Chill Freeze Damage Taken Trait 1","0.5","1","1","","same_source_refresh","","","","0.06","","","RuntimeImplemented","","","","","",""
"eve-h-freeze-duration-trait2","eve-h","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","eve-h-trait-2","false","","AllAllies","Physical","0","0","1","0","true","passive-buff","1","Eve H Freeze Duration","0.5","1","1","all_allies","same_source_refresh","","","","","","","RuntimeImplemented","","","","","freeze","1"
"eve-i-shocked-lightning-damage-taken","eve-i","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","shock","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve I Shocked Lightning Damage","0.5","1","1","","same_source_refresh","","","","","0.18","","RuntimeImplemented","","","","","",""
"eve-i-shock5-lightning-resist","eve-i","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","shock:5","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve I Shock 5 Lightning Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","12","","","",""
"eve-i-shocked-lightning-damage-taken-trait1","eve-i","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-i-trait-1","false","shock","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve I Shocked Lightning Damage Trait 1","0.5","1","1","","same_source_refresh","","","","","0.08","","RuntimeImplemented","","","","","",""
"eve-i-shock5-lightning-resist-trait2","eve-i","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-i-trait-2","false","shock:5","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve I Shock 5 Lightning Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","6","","","",""
"eve-j-vulnerable-damage-taken","eve-j","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Damage Taken","0.5","1","1","","same_source_refresh","","","","0.12","","","RuntimeImplemented","","","","","",""
"eve-j-vulnerable-physical-resist","eve-j","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Physical Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-fire-resist","eve-j","12","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Fire","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Fire Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-lightning-resist","eve-j","13","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Lightning Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-ice-resist","eve-j","14","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Ice","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Ice Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-darkness-resist","eve-j","15","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Darkness","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Darkness Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-holy-resist","eve-j","16","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","","false","vulnerable","Enemy","Holy","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Holy Resist","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","8","","","",""
"eve-j-vulnerable-damage-taken-trait1","eve-j","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-1","false","vulnerable","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Damage Taken Trait 1","0.5","1","1","","same_source_refresh","","","","0.06","","","RuntimeImplemented","","","","","",""
"eve-j-vulnerable-physical-resist-trait2","eve-j","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Physical","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Physical Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
"eve-j-vulnerable-fire-resist-trait2","eve-j","22","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Fire","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Fire Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
"eve-j-vulnerable-lightning-resist-trait2","eve-j","23","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Lightning","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Lightning Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
"eve-j-vulnerable-ice-resist-trait2","eve-j","24","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Ice","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Ice Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
"eve-j-vulnerable-darkness-resist-trait2","eve-j","25","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Darkness","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Darkness Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
"eve-j-vulnerable-holy-resist-trait2","eve-j","26","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","eve-j-trait-2","false","vulnerable","Enemy","Holy","0","0","1","0","true","passive-buff","1","Eve J Vulnerable Holy Resist Trait 2","0.5","1","1","","same_source_refresh","","","","","","","RuntimeImplemented","","4","","","",""
