"choice_name","skill_name","monster_name","target_skill_name","sort_order","title","description_text"
"eve-i-trait-2","eve-i","eve","","1","특성 2","<color=#D97706>감전 5스택 대상의 번개 저항 추가 -6</color>"
"eve-i-trait-3","eve-i","eve","eve-d","2","특성 3","<color=#D97706>스태틱 오버라이드 폭발 반경 +25%</color>"
"eve-j-trait-1","eve-j","eve","","0","특성 1","<color=#D97706>모든 아군이 취약 대상에게 주는 피해 +6%</color>"
"eve-j-trait-2","eve-j","eve","","1","특성 2","<color=#D97706>취약 대상의 모든 저항 추가 -4</color>"
"eve-j-trait-3","eve-j","eve","eve-e","2","특성 3","<color=#D97706>플라즈마 필드가 취약 5스택 이상 대상에게 주는 피해 +75%</color>"
"rin-f-trait-1","rin-f","rin","","0","특성 1","<color=#D97706>모든 아군의 물리 피해 +6%</color>"
"rin-f-trait-2","rin-f","rin","","1","특성 2","<color=#D97706>추가타 피해 +15%</color>"
"rin-f-trait-3","rin-f","rin","","2","특성 3","<color=#D97706>추가타에 30% 번개 추가 피해 적용</color>"
"rin-g-trait-1","rin-g","rin","","0","특성 1","<color=#D97706>하울링 중 모든 아군의 공격력 +8%</color>"
"rin-g-trait-2","rin-g","rin","","1","특성 2","<color=#D97706>하울링 중 모든 아군의 치명타 확률 +6%</color>"
"rin-g-trait-3","rin-g","rin","rin-b","2","특성 3","<color=#D97706>하울링 발동 시 린의 파쇄권 재장전 시간 25% 감소</color>"
"rin-h-trait-1","rin-h","rin","","0","특성 1","<color=#D97706>자동 발동에 필요한 물리 피해 누적 횟수 -2</color>"
"rin-h-trait-2","rin-h","rin","","1","특성 2","<color=#D97706>자동 발동 충격파 위력 +20%</color>"
"rin-h-trait-3","rin-h","rin","","2","특성 3","<color=#D97706>충격파 자동 발동 시 30% 번개 추가 피해 적용</color>"
"rin-i-trait-1","rin-i","rin","","0","특성 1","<color=#D97706>낮은 체력 대상 피해 증가 +8%</color>"
"rin-i-trait-2","rin-i","rin","","1","특성 2","<color=#D97706>종결 일격 처치 시 모든 아군의 치명타 피해 +25%,</color>\n<color=#D97706>4.0초</color>"
"rin-i-trait-3","rin-i","rin","","2","특성 3","<color=#D97706>종결 일격이 처형 기준 대상을 적중하면 붕괴 타격 쿨다운 12% 충전</color>"
"rin-j-trait-1","rin-j","rin","rin-e","0","특성 1","<color=#D97706>물리 방어력 감소량 +8%</color>"
"rin-j-trait-2","rin-j","rin","rin-e","1","특성 2","<color=#D97706>붕괴 타격이 3명 이상 적중하면 모든 아군의 공격력 +15%,</color>\n<color=#D97706>3.0초</color>"
"rin-j-trait-3","rin-j","rin","rin-e","2","특성 3","<color=#D97706>방어력이 감소한 적 처치 시 종결 일격 쿨다운 15% 충전</color>"
"sein-f-trait-1","sein-f","sein","","0","특성 1","<color=#D97706>모든 아군의 화염 피해 +6%</color>"
"sein-f-trait-2","sein-f","sein","sein-a","1","특성 2","<color=#D97706>열풍 화살 탄창 수 +3</color>"
"sein-f-trait-3","sein-f","sein","","2","특성 3","<color=#D97706>화염 스킬 보유 아군의 치명타 피해 +20%</color>"
"sein-g-trait-1","sein-g","sein","","0","특성 1","<color=#D97706>자동 발동 확률 +3%</color>"
"sein-g-trait-2","sein-g","sein","","1","특성 2","<color=#D97706>자동 발동 작열 난사 위력 +20%</color>"
"sein-g-trait-3","sein-g","sein","","2","특성 3","<color=#D97706>자동 발동 시 열풍 화살 재장전 시간 10% 감소</color>"
"sein-h-trait-1","sein-h","sein","sein-c","0","특성 1","<color=#D97706>화염 저항 감소 추가 -6</color>"
"sein-h-trait-2","sein-h","sein","sein-c","1","특성 2","<color=#D97706>화염궤도 폭발 반경 +25%</color>"
"sein-h-trait-3","sein-h","sein","sein-c","2","특성 3","<color=#D97706>화염궤도에 맞은 적에게 모든 아군 화염 피해 +10%,</color>\n<color=#D97706>5초</color>"
"sein-i-trait-1","sein-i","sein","sein-d","0","특성 1","<color=#D97706>모든 아군 화염 피해 증가량 +7%</color>"
"sein-i-trait-2","sein-i","sein","sein-d","1","특성 2","<color=#D97706>효과 지속시간 +2초</color>"
"sein-i-trait-3","sein-i","sein","sein-d","2","특성 3","<color=#D97706>초열 지대 범위 +25%</color>"
"sein-j-trait-1","sein-j","sein","sein-e","0","특성 1","<color=#D97706>모든 아군 화염 피해 증가량 +10%</color>"
"sein-j-trait-2","sein-j","sein","sein-e","1","특성 2","<color=#D97706>처치 시 쿨타임 충전 +10%</color>"
"sein-j-trait-3","sein-j","sein","sein-e","2","특성 3","<color=#D97706>종말의 사선 화염 저항 감소 +8</color>"
"vega-f-trait-1","vega-f","vega","","0","특성 1","<color=#D97706>모든 아군이 이름표식 대상에게 주는 피해 +5%</color>"
"vega-f-trait-2","vega-f","vega","","1","특성 2","<color=#D97706>이름표식 10스택 이상 대상의 물리 저항 추가 -4</color>"
"vega-f-trait-3","vega-f","vega","","2","특성 3","<color=#D97706>삼검난무 마지막 탄환 이름표식 부여량 +1스택</color>"
"vega-g-trait-1","vega-g","vega","","0","특성 1","<color=#D97706>모든 아군이 침묵 대상에게 주는 피해 +6%</color>"
"vega-g-trait-2","vega-g","vega","","1","특성 2","<color=#D97706>침묵 지속시간 +1초</color>"
"vega-g-trait-3","vega-g","vega","","2","특성 3","<color=#D97706>침묵 대상이 이름표식을 보유하면 모든 아군 치명타 확률 +10%</color>"
"vega-h-trait-1","vega-h","vega","","0","특성 1","<color=#D97706>몰살 허가 중 모든 아군의 행동속도 +6%</color>"
"vega-h-trait-2","vega-h","vega","","1","특성 2","<color=#D97706>몰살 허가 중 모든 아군의 공격력 +8%</color>"
"vega-h-trait-3","vega-h","vega","","2","특성 3","<color=#D97706>몰살 허가 중 모든 아군이 이름표식 대상에게 주는 피해 +10%</color>"
"vega-i-trait-1","vega-i","vega","","0","특성 1","<color=#D97706>모든 아군 범위 피해 증가량 +7%</color>"
"vega-i-trait-2","vega-i","vega","","1","특성 2","<color=#D97706>효과 지속시간 +2초</color>"
"vega-i-trait-3","vega-i","vega","","2","특성 3","<color=#D97706>이름표식 10스택 이상 대상은 모든 아군 범위 피해를 추가로 +10% 받음</color>"
"vega-j-trait-1","vega-j","vega","","0","특성 1","<color=#D97706>최종선고 처치 시 모든 아군 쿨타임 충전 +10%</color>"
"vega-j-trait-2","vega-j","vega","","1","특성 2","<color=#D97706>최종선고 대상이 생존할 때 모든 아군 피해 증가량 +5%</color>"
"vega-j-trait-3","vega-j","vega","","2","특성 3","<color=#D97706>최종선고로 적을 처치하면 검은 명부 개방 쿨타임 20% 감소</color>"
