"trigger_id","monster_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","required_source_status_id","required_source_status_min_stacks","condition_status_id","condition_status_source_skill_id","trigger_attribute","event_skill_id","event_skill_runtime_kinds","proc_chance","internal_cooldown_seconds","trigger_delay_seconds","trigger_every_count","event_source_scope","sort_order","repeat_count","repeat_interval_seconds","require_event_execute"
"rin-j-defense-down-kill-rin-d-cooldown-trait3","rin","rin-j","OnKill","rin-j-trait-3","",,"","","rin-j-physical-defense-down","","","","1","0","0","0","all_allies","10","1","","false"
"sein-g-auto-barrage-base","sein","sein-g","OnOutgoingDamage","","sein-g-trait-1;sein-g-trait-2",,"","","","Fire","","","0.04","1.5","","","all_allies","10","1","",""
"sein-g-auto-barrage-trait1","sein","sein-g","OnOutgoingDamage","sein-g-trait-1","",,"","","","Fire","","","0.07","1.5","","","all_allies","11","1","",""
"sein-g-auto-barrage-trait2","sein","sein-g","OnOutgoingDamage","sein-g-trait-2","",,"","","","Fire","","","0.04","1.5","","","all_allies","12","1","",""
"sein-g-auto-barrage-reload-trait3","sein","sein-g","OnSkillCast","sein-g-trait-3","",,"","","sein-g","","sein-b","","1","0","","","owner","13","1","",""
"sein-j-kill-sein-a-reload","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","20","1","",""
"sein-j-kill-sein-b-cooldown","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","21","1","",""
"sein-j-kill-sein-b-reload","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","22","1","",""
"sein-j-kill-sein-c-cooldown","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","23","1","",""
"sein-j-kill-sein-d-cooldown","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","24","1","",""
"sein-j-kill-sein-e-cooldown","sein","sein-j","OnKill","","",,"","","","","sein-e","","1","0","","","owner","25","1","",""
"sein-j-kill-sein-a-reload-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","30","1","",""
"sein-j-kill-sein-b-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","31","1","",""
"sein-j-kill-sein-b-reload-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","32","1","",""
"sein-j-kill-sein-c-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","33","1","",""
"sein-j-kill-sein-d-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","34","1","",""
"sein-j-kill-sein-e-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","",,"","","","","sein-e","","1","0","","","owner","35","1","",""
"vega-g-mark-on-hit-base","vega","vega-g","OnOutgoingDamage","","",,"0","","","","vega-b","","1","0","0","","owner","10","1","",""
"vega-i-area-vulnerability-base","vega","vega-i","OnOutgoingDamage","","vega-i-trait-2",,"0","","","","vega-d","","1","0","0","","owner","10","1","",""
"vega-i-area-vulnerability-trait2","vega","vega-i","OnOutgoingDamage","vega-i-trait-2","",,"0","","","","vega-d","","1","0","0","","owner","11","1","",""
"vega-i-area-cooldown-base","vega","vega-i","OnOutgoingDamage","","",,"0","","","","","Area","1","1","0","","all_allies","20","1","",""
"vega-i-area-vulnerability-trait1","vega","vega-i","OnOutgoingDamage","vega-i-trait-1","vega-i-trait-2",,"0","","","","vega-d","","1","0","0","","owner","12","1","",""
"vega-i-area-vulnerability-trait1-trait2","vega","vega-i","OnOutgoingDamage","vega-i-trait-1;vega-i-trait-2","",,"0","","","","vega-d","","1","0","0","","owner","13","1","",""
"vega-i-area-vulnerability-trait3","vega","vega-i","OnOutgoingDamage","vega-i-trait-3","vega-i-trait-2",,"0","","","","vega-d","","1","0","0","","owner","14","1","",""
"vega-i-area-vulnerability-trait3-trait2","vega","vega-i","OnOutgoingDamage","vega-i-trait-3;vega-i-trait-2","",,"0","","","","vega-d","","1","0","0","","owner","15","1","",""
"vega-j-cooldown-base","vega","vega-j","OnKill","","",,"0","","","","vega-e","","1","0","0","","owner","10","1","",""
"vega-j-cooldown-trait1","vega","vega-j","OnKill","vega-j-trait-1","",,"0","","","","vega-e","","1","0","0","","owner","11","1","",""
"vega-j-survive-target-base","vega","vega-j","OnOutgoingDamage","","vega-j-trait-2",,"0","","","","vega-e","","1","0","0","","owner","20","1","",""
"vega-j-survive-target-trait2","vega","vega-j","OnOutgoingDamage","vega-j-trait-2","",,"0","","","","vega-e","","1","0","0","","owner","21","1","",""
"vega-j-vega-d-cooldown-trait3","vega","vega-j","OnKill","vega-j-trait-3","",,"0","","","","vega-e","","1","0","0","","owner","30","1","",""
"eve-c-master-1","eve","eve-c","OnHit","eve-c-master-1","",,"","","","","","","1","","","","","1","1","",""
"eve-c-master-2","eve","eve-c","OnExpire","eve-c-master-2","",,"","","","","","","1","","","","","1","1","",""
"eve-e-master-1","eve","eve-e","OnExpire","eve-e-master-1","",,"","","","","","","1","","","","","1","1","",""
"sein-d-master-2","sein","sein-d","OnExpire","sein-d-master-2","",,"","","","","","","1","","","","","1","1","",""
"ariel-f-trait-3","ariel","ariel-f","OnCast","ariel-f-trait-3","",,"","","","","","","1","","","","","1","1","",""
"ariel-g-trait-3","ariel","ariel-g","OnCast","ariel-g-trait-3","",,"","","","","","","1","","","","","1","1","",""
"ariel-i-trait-3","ariel","ariel-i","OnCast","ariel-i-trait-3","",,"","","","","","","1","","","","","1","1","",""
"ariel-f-base-effect-1","ariel","ariel-f","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"ariel-g-base-effect-1","ariel","ariel-g","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"ariel-g-base-effect-2","ariel","ariel-g","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"ariel-h-base-effect-1","ariel","ariel-h","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"ariel-i-base-effect-1","ariel","ariel-i","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"ariel-j-base-effect-1","ariel","ariel-j","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-f-base-effect-1","eve","eve-f","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-f-base-effect-2","eve","eve-f","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"eve-f-trait-2","eve","eve-f","OnCast","eve-f-trait-2","",,"","","","","","","1","","","","","1","1","",""
"eve-f-trait-3","eve","eve-f","OnCast","eve-f-trait-3","",,"","","","","","","1","","","","","1","1","",""
"eve-g-base-effect-1","eve","eve-g","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-g-base-effect-2","eve","eve-g","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"eve-g-trait-2","eve","eve-g","OnCast","eve-g-trait-2","",,"","","","","","","1","","","","","1","1","",""
"eve-g-trait-2-effect-2","eve","eve-g","OnCast","eve-g-trait-2","",,"","","","","","","1","","","","","2","1","",""
"eve-h-base-effect-1","eve","eve-h","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-h-base-effect-2","eve","eve-h","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"eve-h-trait-1","eve","eve-h","OnCast","eve-h-trait-1","",,"","","","","","","1","","","","","1","1","",""
"eve-h-trait-3","eve","eve-h","OnCast","eve-h-trait-3","",,"","","","","","","1","","","","","1","1","",""
"eve-i-base-effect-1","eve","eve-i","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-i-base-effect-2","eve","eve-i","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"eve-i-trait-1","eve","eve-i","OnCast","eve-i-trait-1","",,"","","","","","","1","","","","","1","1","",""
"eve-i-trait-2","eve","eve-i","OnCast","eve-i-trait-2","",,"","","","","","","1","","","","","1","1","",""
"eve-j-base-effect-1","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"eve-j-base-effect-2","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"eve-j-base-effect-3","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","3","1","",""
"eve-j-base-effect-4","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","4","1","",""
"eve-j-base-effect-5","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","5","1","",""
"eve-j-base-effect-6","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","6","1","",""
"eve-j-base-effect-7","eve","eve-j","OnCast","","",,"","","","","","","1","","","","","7","1","",""
"eve-j-trait-1","eve","eve-j","OnCast","eve-j-trait-1","",,"","","","","","","1","","","","","1","1","",""
"eve-j-trait-2","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","1","1","",""
"eve-j-trait-2-effect-2","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","2","1","",""
"eve-j-trait-2-effect-3","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","3","1","",""
"eve-j-trait-2-effect-4","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","4","1","",""
"eve-j-trait-2-effect-5","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","5","1","",""
"eve-j-trait-2-effect-6","eve","eve-j","OnCast","eve-j-trait-2","",,"","","","","","","1","","","","","6","1","",""
"rin-f-base-effect-1","rin","rin-f","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"rin-f-trait-1","rin","rin-f","OnCast","rin-f-trait-1","",,"","","","","","","1","","","","","1","1","",""
"rin-g-base-effect-1","rin","rin-g","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"rin-g-trait-1","rin","rin-g","OnCast","rin-g-trait-1","",,"","","","","","","1","","","","","1","1","",""
"rin-g-trait-2","rin","rin-g","OnCast","rin-g-trait-2","",,"","","","","","","1","","","","","1","1","",""
"rin-i-base-effect-1","rin","rin-i","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"rin-i-trait-1","rin","rin-i","OnCast","rin-i-trait-1","",,"","","","","","","1","","","","","1","1","",""
"rin-j@effect1","rin","rin-e","OnHit","","",,"","","","","","","1","","","","","1","1","",""
"rin-j@effect2","rin","rin-e","OnHitCount","","",,"","","","","","","1","","","","","2","1","",""
"rin-j-trait-1","rin","rin-e","OnHit","rin-j-trait-1","",,"","","","","","","1","","","","","1","1","",""
"rin-j-trait-2","rin","rin-e","OnHitCount","rin-j-trait-2","",,"","","","","","","1","","","","","1","1","",""
"sein-f-base-effect-1","sein","sein-f","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"sein-f-base-effect-2","sein","sein-f","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"sein-f-trait-1","sein","sein-f","OnCast","sein-f-trait-1","",,"","","","","","","1","","","","","1","1","",""
"sein-f-trait-3","sein","sein-f","OnCast","sein-f-trait-3","",,"","","","","","","1","","","","","1","1","",""
"sein-h@effect1","sein","sein-c","OnHit","","",,"","","","","","","1","","","","","1","1","",""
"sein-h-trait-1","sein","sein-c","OnHit","sein-h-trait-1","",,"","","","","","","1","","","","","1","1","",""
"sein-h-trait-3","sein","sein-c","OnHit","sein-h-trait-3","",,"","","","","","","1","","","","","1","1","",""
"sein-i@effect1","sein","sein-d","OnHit","","",,"","","","","","","1","","","","","1","1","",""
"sein-i-trait-1","sein","sein-d","OnHit","sein-i-trait-1","",,"","","","","","","1","","","","","1","1","",""
"sein-j@effect1","sein","sein-e","OnHit","","",,"","","","","","","1","","","","","1","1","",""
"sein-j-trait-1","sein","sein-e","OnHit","sein-j-trait-1","",,"","","","","","","1","","","","","1","1","",""
"sein-j-trait-3","sein","sein-e","OnHit","sein-j-trait-3","",,"","","","","","","1","","","","","1","1","",""
"vega-f-base-effect-1","vega","vega-f","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"vega-f-base-effect-2","vega","vega-f","OnCast","","",,"","","","","","","1","","","","","2","1","",""
"vega-f-trait-1","vega","vega-f","OnCast","vega-f-trait-1","",,"","","","","","","1","","","","","1","1","",""
"vega-f-trait-2","vega","vega-f","OnCast","vega-f-trait-2","",,"","","","","","","1","","","","","1","1","",""
"vega-g-base-effect-1","vega","vega-g","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"vega-g-trait-1","vega","vega-g","OnCast","vega-g-trait-1","",,"","","","","","","1","","","","","1","1","",""
"vega-g-trait-3","vega","vega-g","OnCast","vega-g-trait-3","",,"","","","","","","1","","","","","1","1","",""
"vega-h-base-effect-1","vega","vega-h","OnCast","","",,"","","","","","","1","","","","","1","1","",""
"vega-h-trait-1","vega","vega-h","OnCast","vega-h-trait-1","",,"","","","","","","1","","","","","1","1","",""
"vega-h-trait-2","vega","vega-h","OnCast","vega-h-trait-2","",,"","","","","","","1","","","","","1","1","",""
"vega-h-trait-3","vega","vega-h","OnCast","vega-h-trait-3","",,"","","","","","","1","","","","","1","1","",""
"rift-gem-physical-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","100","1","0","false"
"rift-gem-fire-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","101","1","0","false"
"rift-gem-lightning-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","102","1","0","false"
"rift-gem-ice-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","103","1","0","false"
"rift-gem-darkness-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","104","1","0","false"
"rift-gem-holy-resist-down","rift-gem","rift-gem-effect","CombatStart","","","","","","","","","","1","0","0","0","owner","105","1","0","false"
"resonance-compass-fire","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Fire","","","0.08","0","0.3","0","owner","110","1","0","false"
"resonance-compass-lightning","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Lightning","","","0.08","0","0.3","0","owner","111","1","0","false"
"resonance-compass-ice","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Ice","","","0.08","0","0.3","0","owner","112","1","0","false"
"resonance-compass-darkness","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Darkness","","","0.08","0","0.3","0","owner","113","1","0","false"
"resonance-compass-holy","resonance-compass","resonance-compass-effect","OnOutgoingDamage","","","","","","","Holy","","","0.08","0","0.3","0","owner","114","1","0","false"
"spirit-king-dimensional-rift-on-expire","spirit-king","spirit-king-dimensional-rift","OnExpire","","",,"","","","","","","1","0","0","0","owner","120","1","0","false"
