choice_id,monster_id,skill_id,choice_group,sort_order,title,description_text,skill_icon_path,skill_effect_prefab_path
ariel-e-trait-1,ariel,ariel-e,ActiveEnhancement,0,특성 1,위력 +30%,,
ariel-e-trait-2,ariel,ariel-e,ActiveEnhancement,1,특성 2,방어막량 +30%,,
ariel-e-trait-3,ariel,ariel-e,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
ariel-e-trait-4,ariel,ariel-e,ActiveEnhancement,3,특성 4,신성 노출 대상에게 위력 +50%,,
ariel-e-trait-5,ariel,ariel-e,ActiveEnhancement,4,특성 5,모든 아군의 현재 방어막 지속시간 +3초,,
ariel-e-master-1,ariel,ariel-e,ActiveMaster,0,천상의 성역,강림 후 5초 동안 모든 아군이 받는 피해 -18%,,
ariel-e-master-2,ariel,ariel-e,ActiveMaster,1,심판의 광휘,"신성 피해 +70%, 방어막량 -30%",,
ariel-f-trait-1,ariel,ariel-f,PassiveEnhancement,0,특성 1,모든 아군 신성 피해 +6%,,
ariel-f-trait-2,ariel,ariel-f,PassiveEnhancement,1,특성 2,심판의 빛 탄창 +2,,
ariel-f-trait-3,ariel,ariel-f,PassiveEnhancement,2,특성 3,신성 스킬을 보유한 아군의 치명타 확률 +8%,,
ariel-g-trait-1,ariel,ariel-g,PassiveEnhancement,0,특성 1,방어막량 증가 +8%,,
ariel-g-trait-2,ariel,ariel-g,PassiveEnhancement,1,특성 2,전투 시작 방어막 +40%,,
ariel-g-trait-3,ariel,ariel-g,PassiveEnhancement,2,특성 3,방어막을 가진 아군의 신성 피해 +10%,,
ariel-h-trait-1,ariel,ariel-h,PassiveEnhancement,0,특성 1,신성 피해 증가량 +7%,,
ariel-h-trait-2,ariel,ariel-h,PassiveEnhancement,1,특성 2,쿨타임 충전 속도 +5%,,
ariel-h-trait-3,ariel,ariel-h,PassiveEnhancement,2,특성 3,축복의 파동 지속시간 +2초,,
ariel-i-trait-1,ariel,ariel-i,PassiveEnhancement,0,특성 1,받는 피해 증가량 +5%,,
ariel-i-trait-2,ariel,ariel-i,PassiveEnhancement,1,특성 2,천상의 낙인 쿨타임 -20%,,
ariel-i-trait-3,ariel,ariel-i,PassiveEnhancement,2,특성 3,신성 노출 대상의 신성 저항 -8,,
ariel-j-trait-1,ariel,ariel-j,PassiveEnhancement,0,특성 1,행동속도 증가량 +7%,,
ariel-j-trait-2,ariel,ariel-j,PassiveEnhancement,1,특성 2,신성 피해 증가량 +10%,,
ariel-j-trait-3,ariel,ariel-j,PassiveEnhancement,2,특성 3,대천사의 강림 쿨타임 -15%,,
eve-a-trait-1,eve,eve-a,ActiveEnhancement,0,특성 1,"탄창 수 +4, 위력 +20%",,
eve-a-trait-2,eve,eve-a,ActiveEnhancement,1,특성 2,"재장전 속도 +30%, 관통 수 +1",,
eve-a-trait-3,eve,eve-a,ActiveEnhancement,2,특성 3,"추가 투사체 수 +1, 재장전 시간 +20%",,
eve-a-trait-4,eve,eve-a,ActiveEnhancement,3,특성 4,"추가 투사체 수 +2, 발사 속도 -25%",,
eve-a-trait-5,eve,eve-a,ActiveEnhancement,4,특성 5,"위력 +25%, 번개 분기 확률 +35%",,
eve-a-master-1,eve,eve-a,ActiveMaster,0,분기 회로,"적중 시 갈래 번개 2개 생성, 갈래 피해 60%, 추적 반경 4.5, 위력 +35%, 탄창 수 +2",,
eve-a-master-2,eve,eve-a,ActiveMaster,1,과충전 일제사격,"관통 수 +2, 추가 투사체 수 +2, 발사 속도 -20%, 위력 +45%, 적중 시 감전 2스택",,
eve-b-trait-1,eve,eve-b,ActiveEnhancement,0,특성 1,"위력 +25%, 피해 주기 속도 +25%",,
eve-b-trait-2,eve,eve-b,ActiveEnhancement,1,특성 2,"위력 +30%, 광선 폭 +30%",,
eve-b-trait-3,eve,eve-b,ActiveEnhancement,2,특성 3,"충전 속도 +35%, 지속시간 +15%",,
eve-b-trait-4,eve,eve-b,ActiveEnhancement,3,특성 4,"위력 +100%, 지속시간 -50%",,
eve-b-trait-5,eve,eve-b,ActiveEnhancement,4,특성 5,"충전 속도 +30%, 피해 주기 속도 +20%",,
eve-b-master-1,eve,eve-b,ActiveMaster,0,초집중 레이,"지속시간 -45%, 위력 +75%, 피해 주기 속도 +75%",,
eve-b-master-2,eve,eve-b,ActiveMaster,1,분해 스펙트럼,프리즘 레이에 맞은 적의 번개 저항과 얼음 저항이 5초 동안 10 감소,,
eve-c-trait-1,eve,eve-c,ActiveEnhancement,0,특성 1,"범위 +25%, 지속시간 +15%",,
eve-c-trait-2,eve,eve-c,ActiveEnhancement,1,특성 2,"피해 주기 속도 +25%, 추위 부여량 +1",,
eve-c-trait-3,eve,eve-c,ActiveEnhancement,2,특성 3,"위력 +30%, 쿨다운 -15%",,
eve-c-trait-4,eve,eve-c,ActiveEnhancement,3,특성 4,"범위 -20%, 위력 +80%",,
eve-c-trait-5,eve,eve-c,ActiveEnhancement,4,특성 5,"빙결 지속시간 +1.0초, 얼음 피해 +20%",,
eve-c-master-1,eve,eve-c,ActiveMaster,0,절대영도 구역,"추위 4스택 이상 적을 즉시 빙결, 빙결 지속시간 +1.5초",,
eve-c-master-2,eve,eve-c,ActiveMaster,1,결정 폭풍,필드 종료 시 범위 안 적에게 24 + 주문력 * 1.5 얼음 피해,,
eve-d-trait-1,eve,eve-d,ActiveEnhancement,0,특성 1,"범위 +25%, 폭발 반경 +15%",,
eve-d-trait-2,eve,eve-d,ActiveEnhancement,1,특성 2,스택당 피해 증가 +15%,,
eve-d-trait-3,eve,eve-d,ActiveEnhancement,2,특성 3,"쿨다운 -20%, 위력 +15%",,
eve-d-trait-4,eve,eve-d,ActiveEnhancement,3,특성 4,폭발 후 감전 1스택 추가 부여,,
eve-d-trait-5,eve,eve-d,ActiveEnhancement,4,특성 5,감전 3스택 이상 대상 폭발 위력 +50%,,
eve-d-master-1,eve,eve-d,ActiveMaster,0,연쇄 과부하,"폭발에 맞은 적이 감전 상태면 추가 폭발 1회 발생, 추가 폭발 피해 50%",,
eve-d-master-2,eve,eve-d,ActiveMaster,1,전자기 붕괴,"폭발 반경 +40%, 감전 스택당 피해 증가 +25%, 쿨다운 +20%",,
eve-e-trait-1,eve,eve-e,ActiveEnhancement,0,특성 1,"탄창 수 +1, 비컨 지속시간 +20%",,
eve-e-trait-2,eve,eve-e,ActiveEnhancement,1,특성 2,"공격 주기 속도 +25%, 취약 부여량 +1",,
eve-e-trait-3,eve,eve-e,ActiveEnhancement,2,특성 3,"위력 +30%, 사거리 +20%",,
eve-e-trait-4,eve,eve-e,ActiveEnhancement,3,특성 4,"재장전 속도 +30%, 비컨 동시 설치 수 +1",,
eve-e-trait-5,eve,eve-e,ActiveEnhancement,4,특성 5,취약 5스택 이상 대상 얼음 피해 +40%,,
eve-e-master-1,eve,eve-e,ActiveMaster,0,감시 드론망,"비컨 동시 설치 수 +2, 공격 주기 속도 +30%",,
eve-e-master-2,eve,eve-e,ActiveMaster,1,약점 고정,"취약 최대 스택 +5, 취약 스택당 받는 치명타 피해 +1% 추가",,
eve-f-trait-1,eve,eve-f,PassiveEnhancement,0,특성 1,보호막 수치 +40%,,
eve-f-trait-2,eve,eve-f,PassiveEnhancement,1,특성 2,모든 아군이 감전 대상에게 주는 피해 +6%,,
eve-f-trait-3,eve,eve-f,PassiveEnhancement,2,특성 3,보호막이 유지되는 동안 대상의 행동속도 +12%,,
eve-g-trait-1,eve,eve-g,PassiveEnhancement,0,특성 1,프리즘 레이 자동 발동 확률 +3%,,
eve-g-trait-2,eve,eve-g,PassiveEnhancement,1,특성 2,모든 아군의 번개/얼음 피해 +5%,,
eve-g-trait-3,eve,eve-g,PassiveEnhancement,2,특성 3,프리즘 레이가 보호막 대상에게 300% 추가 피해,,
eve-h-trait-1,eve,eve-h,PassiveEnhancement,0,특성 1,모든 아군이 추위/빙결 대상에게 주는 피해 +6%,,
eve-h-trait-2,eve,eve-h,PassiveEnhancement,1,특성 2,빙결 지속시간 +1.0초,,
eve-h-trait-3,eve,eve-h,PassiveEnhancement,2,특성 3,빙결 해제 시 16 + 주문력 * 1.0 얼음 피해,,
eve-i-trait-1,eve,eve-i,PassiveEnhancement,0,특성 1,모든 아군이 감전 대상에게 주는 번개 피해 +8%,,
eve-i-trait-2,eve,eve-i,PassiveEnhancement,1,특성 2,감전 5스택 대상의 번개 저항 추가 -6,,
eve-i-trait-3,eve,eve-i,PassiveEnhancement,2,특성 3,스태틱 오버라이드 폭발 반경 +25%,,
eve-j-trait-1,eve,eve-j,PassiveEnhancement,0,특성 1,모든 아군이 취약 대상에게 주는 피해 +6%,,
eve-j-trait-2,eve,eve-j,PassiveEnhancement,1,특성 2,취약 대상의 모든 저항 추가 -4,,
eve-j-trait-3,eve,eve-j,PassiveEnhancement,2,특성 3,드론 비컨이 취약 5스택 이상 대상에게 주는 피해 +75%,,
rin-a-trait-1,rin,rin-a,ActiveEnhancement,0,특성 1,위력 +25%,,
rin-a-trait-2,rin,rin-a,ActiveEnhancement,1,특성 2,탄창 수 +4,,
rin-a-trait-3,rin,rin-a,ActiveEnhancement,2,특성 3,재장전 속도 +25%,,
rin-a-trait-4,rin,rin-a,ActiveEnhancement,3,특성 4,"관통 수 +1, 위력 -10%",,
rin-a-trait-5,rin,rin-a,ActiveEnhancement,4,특성 5,"치명타 확률 +10%, 치명타 피해 +25%",,
rin-a-master-1,rin,rin-a,ActiveMaster,0,철권 연사,"탄창 수 +6, 발사 간격 -18%, 위력 +12%",,
rin-a-master-2,rin,rin-a,ActiveMaster,1,뇌격 건틀릿,"적중 시 40% 번개 추가 피해, 3번째 적중마다 대상 주변 2명에게 번개 연쇄",,
rin-b-trait-1,rin,rin-b,ActiveEnhancement,0,특성 1,지속시간 +25%,,
rin-b-trait-2,rin,rin-b,ActiveEnhancement,1,특성 2,행동속도 증가 +10%,,
rin-b-trait-3,rin,rin-b,ActiveEnhancement,2,특성 3,쿨다운 -20%,,
rin-b-trait-4,rin,rin-b,ActiveEnhancement,3,특성 4,린의 공격력 +15% 추가 증가,,
rin-b-trait-5,rin,rin-b,ActiveEnhancement,4,특성 5,하울링 중 아군 치명타 확률 +8%,,
rin-b-master-1,rin,rin-b,ActiveMaster,0,전장의 포효,"행동속도 증가 +15%, 지속시간 +20%, 아군 전체 물리 피해 +18% 추가",,
rin-b-master-2,rin,rin-b,ActiveMaster,1,심연 군가,"행동속도 증가량 -5%, 아군 전체 물리 피해에 25% 어둠 추가 피해",,
rin-c-trait-1,rin,rin-c,ActiveEnhancement,0,특성 1,위력 +25%,,
rin-c-trait-2,rin,rin-c,ActiveEnhancement,1,특성 2,충격파 폭 +25%,,
rin-c-trait-3,rin,rin-c,ActiveEnhancement,2,특성 3,넉백 거리 +40%,,
rin-c-trait-4,rin,rin-c,ActiveEnhancement,3,특성 4,쿨다운 -20%,,
rin-c-trait-5,rin,rin-c,ActiveEnhancement,4,특성 5,적중한 적 1명당 파쇄권 재장전 시간 0.25초 감소,,
rin-c-master-1,rin,rin-c,ActiveMaster,0,압축 충격파,"폭 -25%, 위력 +80%, 넉백 거리 +50%, 60% 번개 추가 피해",,
rin-c-master-2,rin,rin-c,ActiveMaster,1,광역 진탕,"폭 +60%, 위력 +25%, 적중한 적에게 1.5초간 이동 속도 -20%",,
rin-d-trait-1,rin,rin-d,ActiveEnhancement,0,특성 1,위력 +30%,,
rin-d-trait-2,rin,rin-d,ActiveEnhancement,1,특성 2,처형 기준 체력 +10%,,
rin-d-trait-3,rin,rin-d,ActiveEnhancement,2,특성 3,처치 시 쿨다운 반환 +20%,,
rin-d-trait-4,rin,rin-d,ActiveEnhancement,3,특성 4,치명타 피해 +40%,,
rin-d-trait-5,rin,rin-d,ActiveEnhancement,4,특성 5,보스 대상 위력 +25%,,
rin-d-master-1,rin,rin-d,ActiveMaster,0,확정 종결,"처형 대상에게 치명타 확률 +50%, 처치 시 쿨다운 완전 초기화, 처치 순간 대상 주변에 90% 신성 피해 폭발",,
rin-d-master-2,rin,rin-d,ActiveMaster,1,파멸권,"위력 +90%, 처형 기준 체력 -10%, 쿨다운 +25%, 70% 어둠 추가 피해",,
rin-e-trait-1,rin,rin-e,ActiveEnhancement,0,특성 1,위력 +30%,,
rin-e-trait-2,rin,rin-e,ActiveEnhancement,1,특성 2,피해 범위 +25%,,
rin-e-trait-3,rin,rin-e,ActiveEnhancement,2,특성 3,쿨다운 -20%,,
rin-e-trait-4,rin,rin-e,ActiveEnhancement,3,특성 4,중심부 대상 위력 +50%,,
rin-e-trait-5,rin,rin-e,ActiveEnhancement,4,특성 5,적중한 적 3명 이상이면 하울링 쿨다운 20% 반환,,
rin-e-master-1,rin,rin-e,ActiveMaster,0,압살 지점,"피해 범위 -20%, 위력 +100%, 중심부 적중 시 100% 화염 추가 피해",,
rin-e-master-2,rin,rin-e,ActiveMaster,1,균열 확산,"피해 범위 +50%, 위력 +35%, 적중한 적 이동 속도 2초간 -25%, 45% 어둠 추가 피해",,
rin-f-trait-1,rin,rin-f,PassiveEnhancement,0,특성 1,모든 아군의 물리 피해 +6%,,
rin-f-trait-2,rin,rin-f,PassiveEnhancement,1,특성 2,추가타 피해 +15%,,
rin-f-trait-3,rin,rin-f,PassiveEnhancement,2,특성 3,추가타에 30% 번개 추가 피해 적용,,
rin-g-trait-1,rin,rin-g,PassiveEnhancement,0,특성 1,하울링 중 모든 아군의 공격력 +8%,,
rin-g-trait-2,rin,rin-g,PassiveEnhancement,1,특성 2,하울링 중 모든 아군의 치명타 확률 +6%,,
rin-g-trait-3,rin,rin-g,PassiveEnhancement,2,특성 3,하울링 발동 시 린의 파쇄권 재장전 시간 25% 감소,,
rin-h-trait-1,rin,rin-h,PassiveEnhancement,0,특성 1,자동 발동에 필요한 물리 피해 누적 횟수 -2,,
rin-h-trait-2,rin,rin-h,PassiveEnhancement,1,특성 2,자동 발동 충격파 위력 +20%,,
rin-h-trait-3,rin,rin-h,PassiveEnhancement,2,특성 3,충격파 자동 발동 시 30% 번개 추가 피해 적용,,
rin-i-trait-1,rin,rin-i,PassiveEnhancement,0,특성 1,낮은 체력 대상 피해 증가 +8%,,
rin-i-trait-2,rin,rin-i,PassiveEnhancement,1,특성 2,"종결 일격 처치 시 모든 아군의 치명타 피해 +25%, 4.0초",,
rin-i-trait-3,rin,rin-i,PassiveEnhancement,2,특성 3,종결 일격이 처형 기준 대상을 적중하면 붕괴 타격 쿨다운 12% 충전,,
rin-j-trait-1,rin,rin-j,PassiveEnhancement,0,특성 1,물리 방어력 감소량 +8%,,
rin-j-trait-2,rin,rin-j,PassiveEnhancement,1,특성 2,"붕괴 타격이 3명 이상 적중하면 모든 아군의 공격력 +15%, 3.0초",,
rin-j-trait-3,rin,rin-j,PassiveEnhancement,2,특성 3,방어력이 감소한 적 처치 시 종결 일격 쿨다운 15% 충전,,
sein-a-trait-1,sein,sein-a,ActiveEnhancement,0,특성 1,위력 +25%,,
sein-a-trait-2,sein,sein-a,ActiveEnhancement,1,특성 2,탄창 수 +4,,
sein-a-trait-3,sein,sein-a,ActiveEnhancement,2,특성 3,재장전 속도 +30%,,
sein-a-trait-4,sein,sein-a,ActiveEnhancement,3,특성 4,"관통 수 +1, 위력 +10%",,
sein-a-trait-5,sein,sein-a,ActiveEnhancement,4,특성 5,"발사 간격 -20%, 위력 -10%",,
sein-a-master-1,sein,sein-a,ActiveMaster,0,백열 화살,"위력 +55%, 관통 수 +1",,
sein-a-master-2,sein,sein-a,ActiveMaster,1,폭염 화살,"적중 시 작은 폭발 발생, 폭발은 50% 화염 피해",,
sein-b-trait-1,sein,sein-b,ActiveEnhancement,0,특성 1,탄환 수 +2,,
sein-b-trait-2,sein,sein-b,ActiveEnhancement,1,특성 2,위력 +25%,,
sein-b-trait-3,sein,sein-b,ActiveEnhancement,2,특성 3,재장전 속도 +30%,,
sein-b-trait-4,sein,sein-b,ActiveEnhancement,3,특성 4,발사 간격 -25%,,
sein-b-trait-5,sein,sein-b,ActiveEnhancement,4,특성 5,"같은 대상에게 연속 적중 시 피해 +8%, 최대 +40%",,
sein-b-master-1,sein,sein-b,ActiveMaster,0,포화 사격,"탄환 수 +4, 위력 -20%",,
sein-b-master-2,sein,sein-b,ActiveMaster,1,집중 사격,"탄환 수 -2, 위력 +90%, 치명타 확률 +20%",,
sein-c-trait-1,sein,sein-c,ActiveEnhancement,0,특성 1,위력 +30%,,
sein-c-trait-2,sein,sein-c,ActiveEnhancement,1,특성 2,폭발 반경 +25%,,
sein-c-trait-3,sein,sein-c,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
sein-c-trait-4,sein,sein-c,ActiveEnhancement,3,특성 4,지연 시간 -40%,,
sein-c-trait-5,sein,sein-c,ActiveEnhancement,4,특성 5,열풍 화살에 맞은 적에게 위력 +35%,,
sein-c-master-1,sein,sein-c,ActiveMaster,0,낙화 궤적,폭발 후 같은 위치에 2초 동안 작은 화염 지대 생성,,
sein-c-master-2,sein,sein-c,ActiveMaster,1,관통 궤도,화살 경로상의 적에게 40% 화염 피해 후 폭발,,
sein-d-trait-1,sein,sein-d,ActiveEnhancement,0,특성 1,지속시간 +25%,,
sein-d-trait-2,sein,sein-d,ActiveEnhancement,1,특성 2,피해 주기 속도 +25%,,
sein-d-trait-3,sein,sein-d,ActiveEnhancement,2,특성 3,범위 +30%,,
sein-d-trait-4,sein,sein-d,ActiveEnhancement,3,특성 4,쿨타임 -20%,,
sein-d-trait-5,sein,sein-d,ActiveEnhancement,4,특성 5,같은 대상에게 4회 이상 피해를 주면 이후 피해 +35%,,
sein-d-master-1,sein,sein-d,ActiveMaster,0,열압 폭풍,"피해 주기 속도 +50%, 범위 -20%",,
sein-d-master-2,sein,sein-d,ActiveMaster,1,잔불 지대,초열 지대 종료 후 3초 동안 40% 피해의 잔불 지대 유지,,
sein-e-trait-1,sein,sein-e,ActiveEnhancement,0,특성 1,위력 +30%,,
sein-e-trait-2,sein,sein-e,ActiveEnhancement,1,특성 2,쿨타임 -20%,,
sein-e-trait-3,sein,sein-e,ActiveEnhancement,2,특성 3,화염 저항 감소 +8,,
sein-e-trait-4,sein,sein-e,ActiveEnhancement,3,특성 4,"타격 줄 수 +1, 위력 -15%",,
sein-e-trait-5,sein,sein-e,ActiveEnhancement,4,특성 5,초열 지대 안의 적에게 위력 +50%,,
sein-e-master-1,sein,sein-e,ActiveMaster,0,붉은 종말,"위력 +80%, 쿨타임 +25%",,
sein-e-master-2,sein,sein-e,ActiveMaster,1,잿빛 하늘,종말의 사선 이후 전장에 3초 동안 초열 지대 3개 생성,,
sein-f-trait-1,sein,sein-f,PassiveEnhancement,0,특성 1,모든 아군의 화염 피해 +6%,,
sein-f-trait-2,sein,sein-f,PassiveEnhancement,1,특성 2,열풍 화살 탄창 수 +3,,
sein-f-trait-3,sein,sein-f,PassiveEnhancement,2,특성 3,화염 스킬 보유 아군의 치명타 피해 +20%,,
sein-g-trait-1,sein,sein-g,PassiveEnhancement,0,특성 1,자동 발동 확률 +3%,,
sein-g-trait-2,sein,sein-g,PassiveEnhancement,1,특성 2,자동 발동 작열 난사 위력 +20%,,
sein-g-trait-3,sein,sein-g,PassiveEnhancement,2,특성 3,자동 발동 시 열풍 화살 재장전 시간 10% 감소,,
sein-h-trait-1,sein,sein-h,PassiveEnhancement,0,특성 1,화염 저항 감소 추가 -6,,
sein-h-trait-2,sein,sein-h,PassiveEnhancement,1,특성 2,화염궤도 폭발 반경 +25%,,
sein-h-trait-3,sein,sein-h,PassiveEnhancement,2,특성 3,"화염궤도에 맞은 적에게 모든 아군 화염 피해 +10%, 5초",,
sein-i-trait-1,sein,sein-i,PassiveEnhancement,0,특성 1,모든 아군 화염 피해 증가량 +7%,,
sein-i-trait-2,sein,sein-i,PassiveEnhancement,1,특성 2,효과 지속시간 +2초,,
sein-i-trait-3,sein,sein-i,PassiveEnhancement,2,특성 3,초열 지대 범위 +25%,,
sein-j-trait-1,sein,sein-j,PassiveEnhancement,0,특성 1,모든 아군 화염 피해 증가량 +10%,,
sein-j-trait-2,sein,sein-j,PassiveEnhancement,1,특성 2,처치 시 쿨타임 충전 +10%,,
sein-j-trait-3,sein,sein-j,PassiveEnhancement,2,특성 3,종말의 사선 화염 저항 감소 +8,,
vega-a-trait-1,vega,vega-a,ActiveEnhancement,0,특성 1,위력 +20%,,
vega-a-trait-2,vega,vega-a,ActiveEnhancement,1,특성 2,탄창 수 +2,,
vega-a-trait-3,vega,vega-a,ActiveEnhancement,2,특성 3,재장전 속도 +25%,,
vega-a-trait-4,vega,vega-a,ActiveEnhancement,3,특성 4,마지막 탄환 피해 배율 +50%,,
vega-a-trait-5,vega,vega-a,ActiveEnhancement,4,특성 5,삼검난무가 이름표식 10스택 이상인 적에게 주는 피해 +25%,,
vega-a-master-1,vega,vega-a,ActiveMaster,0,검은 잔상,"삼검난무 발사 후 같은 궤도에 잔상 검기 1개가 지연 발사된다. 잔상 검기는 45% 피해, 이름표식 1스택 부여",,
vega-a-master-2,vega,vega-a,ActiveMaster,1,단죄 연쇄,삼검난무로 적을 처치하면 가장 가까운 적 1명에게 이름표식 3스택을 이전하고 작은 참격 피해를 준다,,
vega-b-trait-1,vega,vega-b,ActiveEnhancement,0,특성 1,위력 +25%,,
vega-b-trait-2,vega,vega-b,ActiveEnhancement,1,특성 2,침묵 지속시간 +1초,,
vega-b-trait-3,vega,vega-b,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
vega-b-trait-4,vega,vega-b,ActiveEnhancement,3,특성 4,참격 폭 +30%,,
vega-b-trait-5,vega,vega-b,ActiveEnhancement,4,특성 5,침묵의 대태도에 맞은 적에게 이름표식 2스택 부여,,
vega-b-master-1,vega,vega-b,ActiveMaster,0,두 번째 봉인,"침묵의 대태도 사용 후 0.4초 뒤 같은 경로에 2차 참격 발생. 2차 참격은 45% 피해, 침묵 1초",,
vega-b-master-2,vega,vega-b,ActiveMaster,1,단두대 참격,"위력 +70%, 참격 폭 -25%, 이름표식 10스택 이상인 적에게 침묵 지속시간 +1초",,
vega-c-trait-1,vega,vega-c,ActiveEnhancement,0,특성 1,지속시간 +2초,,
vega-c-trait-2,vega,vega-c,ActiveEnhancement,1,특성 2,행동속도 증가량 +10%,,
vega-c-trait-3,vega,vega-c,ActiveEnhancement,2,특성 3,공격력 증가량 +10%,,
vega-c-trait-4,vega,vega-c,ActiveEnhancement,3,특성 4,몰살 허가 중 삼검난무 재장전 속도 +30%,,
vega-c-trait-5,vega,vega-c,ActiveEnhancement,4,특성 5,몰살 허가 중 이름표식이 있는 적에게 베가가 주는 피해 +15%,,
vega-c-master-1,vega,vega-c,ActiveMaster,0,처형 영장,"지속시간 +2초, 몰살 허가 중 삼검난무가 이름표식 1스택 추가 부여",,
vega-c-master-2,vega,vega-c,ActiveMaster,1,살육 절차,"행동속도 증가량 +25%, 공격력 증가량 +25%, 지속시간 -2초",,
vega-d-trait-1,vega,vega-d,ActiveEnhancement,0,특성 1,위력 +25%,,
vega-d-trait-2,vega,vega-d,ActiveEnhancement,1,특성 2,참격 반경 +25%,,
vega-d-trait-3,vega,vega-d,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
vega-d-trait-4,vega,vega-d,ActiveEnhancement,3,특성 4,이름표식 10스택 이상인 적 위치의 참격 위력 +30%,,
vega-d-trait-5,vega,vega-d,ActiveEnhancement,4,특성 5,검은 명부 개방에 피해를 받은 적에게 이름표식 1스택 부여,,
vega-d-master-1,vega,vega-d,ActiveMaster,0,명부 난도질,"각 표식 대상 위치에 범위 참격 2회 발생, 각 참격 위력 -35%",,
vega-d-master-2,vega,vega-d,ActiveMaster,1,흑색 처형장,"참격 반경 +50%, 위력 +30%, 쿨타임 +20%",,
vega-e-trait-1,vega,vega-e,ActiveEnhancement,0,특성 1,기본 위력 +25%,,
vega-e-trait-2,vega,vega-e,ActiveEnhancement,1,특성 2,표식 1스택당 추가 피해 +25%,,
vega-e-trait-3,vega,vega-e,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
vega-e-trait-4,vega,vega-e,ActiveEnhancement,3,특성 4,이름표식 20스택 이상인 대상에게 치명타 확률 +35%,,
vega-e-trait-5,vega,vega-e,ActiveEnhancement,4,특성 5,최종선고로 적을 처치하면 소모한 이름표식의 25%를 주변 적에게 분배,,
