"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","delay_seconds","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","attack_power_coefficient","spell_power_coefficient","damage_multiplier","radius","cover_all","active_duration_seconds","tick_interval_seconds","status_effect_id","status_chance","status_effect_label","status_effect_prefab_path","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_move_speed_bonus","status_attack_power_bonus","status_spell_power_bonus","status_damage_bonus_rate","status_shield_received_bonus","status_damage_taken_bonus","status_critical_damage_taken_bonus","status_critical_resistance_bonus","status_element_resist_reduction","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_ailment_resistance_bonus","status_flat_element_resist_reduction","status_critical_chance_bonus","status_conditional_target_status_id","status_conditional_status_chance_bonus","status_applied_status_duration_bonus_status_id","status_applied_status_duration_bonus","status_outgoing_additional_damage_multiplier","status_outgoing_additional_damage_trigger_attribute","status_outgoing_additional_damage_attribute","condition_health_ratio_max","condition_hit_count_min","status_critical_damage_bonus","required_source_status_id","required_source_status_min_stacks","status_conditional_incoming_skill_runtime_kinds","status_conditional_outgoing_skill_runtime_kinds"
"ariel-c-blessing-action-trait2-h-trait3","ariel-c","16","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-2;ariel-h-trait-3","ariel-c-trait-3;ariel-c-master-1","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-H trait 3 keeps Ariel-C trait 2 bonus while extending duration by 2 seconds.","","","","","","","","","","","","","","","","","",""
"ariel-c-blessing-action-trait2-trait3-h-trait3","ariel-c","17","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-2;ariel-c-trait-3;ariel-h-trait-3","ariel-c-master-1","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","blessing","1","축복","","8","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-H trait 3 extends the Ariel-C trait 2 plus trait 3 blessing duration to 8 seconds.","","","","","","","","","","","","","","","","","",""
"ariel-c-master1-spell","ariel-c","20","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-master-1","ariel-c-trait-3","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","blessing","1","축복","","4","1","1","all_allies","same_source_refresh","","0","0","0","0.18","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","ReferenceDirect","Master 1 replaces action speed with all-ally spell power +18% for 4s.","","","","","","","","","","","","","","","","","",""
"ariel-c-master1-spell-trait3","ariel-c","21","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-master-1;ariel-c-trait-3","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0","0","0","0.18","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","ReferenceDirect","Master 1 spell-power buff with Trait 3 duration extension.","","","","","","","","","","","","","","","","","",""
"ariel-c-master2-second-wave","ariel-c","30","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","Delayed","1","false","ariel-c-master-2","","","","false","","Enemy","Holy","28","0","1.2","0.6","3","false","","","","0","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C.prefab","ReferenceDirect","Master 2 adds a second Holy wave at 60% damage; no reference interval exists, so delayed timing runs on the next frame.","","","","","","","","","","","","","","","","","",""
"ariel-e-shield-base","ariel-e","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","true","","ariel-e-trait-2;ariel-e-master-2","","","false","","AllAllies","Holy","50","0","1.6","1","0","true","","","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Base Ariel-E all-ally shield 50 + spell power * 1.6 for 6s from e-archangel-descent.md.","","","","","","","","","","","","","","","","","",""
"ariel-e-shield-trait2","ariel-e","11","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-2","ariel-e-master-2","","","false","","AllAllies","Holy","50","0","1.6","1.3","0","true","","","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Trait 2 increases the all-ally shield amount by 30%.","","","","","","","","","","","","","","","","","",""
"ariel-e-shield-master2","ariel-e","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-master-2","ariel-e-trait-2","","","false","","AllAllies","Holy","50","0","1.6","0.7","0","true","","","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Master 2 reduces the all-ally shield amount by 30%.","","","","","","","","","","","","","","","","","",""
"ariel-e-shield-trait2-master2","ariel-e","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-2;ariel-e-master-2","","","","false","","AllAllies","Holy","50","0","1.6","0.91","0","true","","","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Trait 2 and Master 2 combine to net shield amount x0.91.","","","","","","","","","","","","","","","","","",""
"ariel-e-passive-j-action-speed","ariel-e","20","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","true","","","ariel-j","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel J Descent Action Speed","","5","1","1","all_allies","same_source_refresh","","0.15","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-J passive: after Ariel-E, all allies gain action speed +15% for 5s.","","","","","","","","","","","","","","","","","",""
"ariel-e-passive-j-action-speed-trait1","ariel-e","21","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-j-trait-1","","ariel-j","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel J Descent Action Speed Trait 1","","5","1","1","all_allies","same_source_refresh","","0.07","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-J trait 1 adds action speed +7% to Ariel-J's Ariel-E follow-up buff.","","","","","","","","","","","","","","","","","",""
"ariel-e-holy-exposed-damage-trait4","ariel-e","30","Damage","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnCast","0","false","ariel-e-trait-4","","","","false","holy-exposure","Enemy","Holy","58","0","2.4","0.5","0","true","","","","0","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Ariel-E Trait 4 adds +50% extra Holy damage only to Holy Exposure targets.","","","","","","","","","","","","","","","","","",""
"ariel-e-master1-sanctuary","ariel-e","40","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-master-1","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel E Sanctuary","","5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0","-0.18","0","0","0","0","","ReferenceDirect","Ariel-E Master 1 grants all allies incoming damage -18% for 5s after descent.","","","","","","","","","","","","","","","","","",""
"ariel-e-trait5-extend-shield-duration","ariel-e","50","ExtendStatusDuration","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-5","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","shield","1","방어막","","3","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Ariel-E Trait 5 extends the remaining duration of current ally shield statuses by 3 seconds.","","","","","","","","","","","","","","","","","",""
"ariel-f-party-holy-damage","ariel-f","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel F Holy Damage","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0.12","0","0","0","0","0","0","","RuntimeImplemented","Ariel-F passive: refreshes all allies holy damage +12% while learned.","","","","","","","","","","","","","","","","","",""
"ariel-f-holy-skill-crit-trait3","ariel-f","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","ariel-f-trait-3","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel F Holy Crit","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-F trait 3 grants crit chance +8% to allies that have at least one Holy active skill.","Holy","","","0.08","","","","","","","","","","","","","",""
"ariel-g-shield-received","ariel-g","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel G Shield Received","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0.18","0","0","0","0","0","","RuntimeImplemented","Ariel-G passive: refreshes all allies shield received +18% while learned.","","","","","","","","","","","","","","","","","",""
"ariel-g-shield-received-trait1","ariel-g","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","ariel-g-trait-1","","","","false","","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel G Shield Received Trait 1","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0.08","0","0","0","0","0","","RuntimeImplemented","Ariel-G trait 1 adds shield received +8% while learned.","","","","","","","","","","","","","","","","","",""
"ariel-g-start-shield","ariel-g","20","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","true","","","","","true","","AllAllies","Holy","25","0","0.8","1","0","true","","","shield","1","Ariel G Start Shield","","9999","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-G passive: one-shot combat-start shield 25 + spell power * 0.8.","","","","","","","","","","","","","","","","","",""
"ariel-g-start-shield-trait2","ariel-g","21","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","false","ariel-g-trait-2","","","","true","","AllAllies","Holy","10","0","0.32","1","0","true","","","shield","1","Ariel G Start Shield Trait 2","","9999","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-G trait 2 adds an extra 40% combat-start shield amount.","","","","","","","","","","","","","","","","","",""
"ariel-g-shielded-holy-trait3","ariel-g","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","ariel-g-trait-3","","","","false","shield","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel G Shielded Holy","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0.10","0","0","0","0","0","0","","RuntimeImplemented","Ariel-G trait 3 grants shielded allies Holy damage +10% while learned.","","","","","","","","","","","","","","","","","",""
"ariel-h-blessed-holy-damage-speed","ariel-h","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","blessing","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel H Blessed","","0.5","1","1","all_allies","same_source_refresh","","0.10","0","0","0","0.15","0","0","0","0","0","0","","RuntimeImplemented","Ariel-H passive: blessed allies gain holy damage +15% and action speed +10%.","","","","","","","","","","","","","","","","","",""
"ariel-i-holy-exposure-damage-taken","ariel-i","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","true","","","","","false","holy-exposure","Enemy","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel I Holy Exposure","","0.5","1","1","","same_source_refresh","","0","0","0","0","0","0","0.10","0","0","0","0","","RuntimeImplemented","Ariel-I passive: enemies with holy exposure take +10% damage.","","","","","","","","","","","","","","","","","",""
"ariel-i-holy-exposure-damage-taken-trait1","ariel-i","11","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","false","ariel-i-trait-1","","","","false","holy-exposure","Enemy","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel I Holy Exposure Trait 1","","0.5","1","1","","same_source_refresh","","0","0","0","0","0","0","0.05","0","0","0","0","","RuntimeImplemented","Ariel-I trait 1 adds +5% incoming damage on holy exposure targets.","","","","","","","","","","","","","","","","","",""
"ariel-i-holy-exposure-holy-resist-trait3","ariel-i","12","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","false","ariel-i-trait-3","","","","false","holy-exposure","Enemy","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel I Holy Resist Trait 3","","0.5","1","1","","same_source_refresh","","0","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-I trait 3 reduces Holy resistance by 8 on holy exposure targets.","","","8","","","","","","","","","","","","","","",""
"ariel-j-shielded-holy-damage","ariel-j","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","shield","AllAllies","Holy","0","0","0","1","0","true","","","passive-buff","1","Ariel J Shielded Holy Damage","","0.5","1","1","all_allies","same_source_refresh","","0","0","0","0","0.20","0","0","0","0","0","0","","RuntimeImplemented","Ariel-J passive: shielded allies gain holy damage +20%.","","","","","","","","","","","","","","","","","",""
"eve-b-master2-lightning-resist","eve-b","10","Status","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnHit","0","false","eve-b-master-2","","","","false","","Enemy","Lightning","0","0","0","1","0","true","","","passive-buff","1","??? ?? ?? ?? ??","","5","1","1","","same_source_take_highest","","","","","","","","","","","","","","RuntimeImplemented","Eve-B Master 2 applies Lightning resistance -10 for 5s to enemies hit by the beam. The shared LineAttack actor applies this OnHit status once per target per cast.","","","10","","","","","","","","","","","","","","",""
"eve-b-master2-ice-resist","eve-b","11","Status","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnHit","0","false","eve-b-master-2","","","","false","","Enemy","Ice","0","0","0","1","0","true","","","passive-buff","1","??? ?? ?? ?? ??","","5","1","1","","same_source_take_highest","","","","","","","","","","","","","","RuntimeImplemented","Eve-B Master 2 applies Ice resistance -10 for 5s to enemies hit by the beam. The shared LineAttack actor applies this OnHit status once per target per cast.","","","10","","","","","","","","","","","","","","",""
"eve-c-master2-expire-burst","eve-c","20","Damage","Enemy","Nearest","Circle","PrimarySkillCenter","Center","OnExpire","0","false","eve-c-master-2","","","","true","","Enemy","Ice","24","0","1.5","1","3.2","false","","","","","","","","","","","","","","","","","","","","","","","","Assets/Prefab/Skill/Eve/Eve_c-master-2.prefab","RuntimeImplemented","Eve-C Master 2 fires one Ice burst from the current Frost Field center when the zone expires. Radius stays on the shared snapshot radius path.","","","","","","","","","","","","","","","","","",""
"eve-f-start-shield","eve-f","10","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","true","","","","","true","","AllAllies","Lightning","0","0","1.2","1","0","true","","","shield","1","Eve F Start Shield","","12","1","1","all_allies","same_source_refresh","take_highest","","","","","","","","","","","","","RuntimeImplemented","Eve-F passive applies a combat-start shield to allies that have at least one Lightning active skill.","Lightning","","","","","","","","","","","","","","","","",""
"eve-f-start-shield-trait1","eve-f","11","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","false","eve-f-trait-1","","","","true","","AllAllies","Lightning","0","0","1.2","0.4","0","true","","","shield","1","Eve F Start Shield Trait 1","","12","1","1","all_allies","same_source_refresh","take_highest","","","","","","","","","","","","","RuntimeImplemented","Eve-F trait 1 adds an extra combat-start shield equal to 40% of the base amount.","Lightning","","","","","","","","","","","","","","","","",""
"eve-f-shocked-damage-taken","eve-f","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","true","","","","","false","shock","Enemy","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve F Shocked Damage Taken","","0.5","1","1","","same_source_refresh","","","","","","","","0.10","","","","","","RuntimeImplemented","Eve-F passive refreshes +10% damage taken on shocked enemies.","","","","","","","","","","","","","","","","","",""
"eve-f-shocked-damage-taken-trait2","eve-f","21","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","false","eve-f-trait-2","","","","false","shock","Enemy","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve F Shocked Damage Taken Trait 2","","0.5","1","1","","same_source_refresh","","","","","","","","0.06","","","","","","RuntimeImplemented","Eve-F trait 2 adds +6% damage taken on shocked enemies.","","","","","","","","","","","","","","","","","",""
"eve-f-shielded-action-speed-trait3","eve-f","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","eve-f-trait-3","","","","false","shield","AllAllies","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve F Shielded Action Speed","","0.5","1","1","all_allies","same_source_refresh","","0.12","","","","","","","","","","","","RuntimeImplemented","Eve-F trait 3 grants shielded allies action speed +12% while learned.","","","","","","","","","","","","","","","","","",""
"eve-g-lightning-damage","eve-g","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","","AllAllies","Lightning","0","0","0","1","0","true","","","passive-buff","1","Eve G Lightning Damage","","0.5","1","1","all_allies","same_source_refresh","","","","","","0.08","","","","","","","","RuntimeImplemented","Eve-G passive grants all allies +8% Lightning damage.","","","","","","","","","","","","","","","","","",""
"eve-g-ice-damage","eve-g","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","","AllAllies","Ice","0","0","0","1","0","true","","","passive-buff","1","Eve G Ice Damage","","0.5","1","1","all_allies","same_source_refresh","","","","","","0.08","","","","","","","","RuntimeImplemented","Eve-G passive grants all allies +8% Ice damage.","","","","","","","","","","","","","","","","","",""
"eve-g-lightning-damage-trait2","eve-g","20","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","eve-g-trait-2","","","","false","","AllAllies","Lightning","0","0","0","1","0","true","","","passive-buff","1","Eve G Lightning Damage Trait 2","","0.5","1","1","all_allies","same_source_refresh","","","","","","0.05","","","","","","","","RuntimeImplemented","Eve-G trait 2 adds +5% Lightning damage.","","","","","","","","","","","","","","","","","",""
"eve-g-ice-damage-trait2","eve-g","21","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","eve-g-trait-2","","","","false","","AllAllies","Ice","0","0","0","1","0","true","","","passive-buff","1","Eve G Ice Damage Trait 2","","0.5","1","1","all_allies","same_source_refresh","","","","","","0.05","","","","","","","","RuntimeImplemented","Eve-G trait 2 adds +5% Ice damage.","","","","","","","","","","","","","","","","","",""
"eve-h-chill-freeze-damage-taken","eve-h","10","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","true","","","","","false","chill;freeze","Enemy","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve H Chill Freeze Damage Taken","","0.5","1","1","","same_source_refresh","","","","","","","","0.14","","","","","","RuntimeImplemented","Eve-H passive refreshes +14% damage taken on chill or freeze targets.","","","","","","","","","","","","","","","","","",""
"eve-h-status-chance","eve-h","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","true","","","","","false","","AllAllies","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve H Status Chance","","0.5","1","1","all_allies","same_source_refresh","","","","","","","","","","","","","","RuntimeImplemented","Eve-H passive grants +10% status chance when allies hit chill or freeze targets.","","","","","chill;freeze","0.10","","","","","","","","","","","",""
"eve-h-chill-freeze-damage-taken-trait1","eve-h","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","0","false","eve-h-trait-1","","","","false","chill;freeze","Enemy","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve H Chill Freeze Damage Taken Trait 1","","0.5","1","1","","same_source_refresh","","","","","","","","0.06","","","","","","RuntimeImplemented","Eve-H trait 1 adds +6% damage taken on chill or freeze targets.","","","","","","","","","","","","","","","","","",""
"eve-h-freeze-duration-trait2","eve-h","30","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","0","false","eve-h-trait-2","","","","false","","AllAllies","Physical","0","0","0","1","0","true","","","passive-buff","1","Eve H Freeze Duration","","0.5","1","1","all_allies","same_source_refresh","","","","","","","","","","","","","","RuntimeImplemented","Eve-H trait 2 extends applied Freeze duration by 1 second.","","","","","","","freeze","1","","","","","","","","","",""
