skill_id,monster_id,skill_kind,slot,display_name,runtime_kind,implementation_state,is_default_learned,is_available_without_active_requirement,required_active_slot,skill_icon_path,skill_effect_prefab_path,description_text,summary,attribute,base_damage,attack_power_coefficient,spell_power_coefficient,range,radius,cooldown_seconds,magazine_capacity,reload_seconds,shot_interval_seconds,critical_allowed,status_effect_id
sein-b,sein,Active,B,작열 난사,MagazineProjectile,RuntimeImplemented,false,false,A,,,짧은 시간에 화염 화살을 몰아치는 탄창형 보조 공격 스킬.,짧은 시간에 화염 화살을 몰아치는 탄창형 보조 공격 스킬.,Fire,14,0.65,0,8.5,0,6,4,6,0.18,true,
sein-c,sein,Active,C,화염궤도,AreaAttack,RuntimeImplemented,false,false,A,,,표적 지점에 지연 폭발하는 곡사 화살을 떨어뜨리는 범위 보조 공격 스킬.,표적 지점에 지연 폭발하는 곡사 화살을 떨어뜨리는 범위 보조 공격 스킬.,Fire,38,1.8,0,9.5,1.8,6.5,0,0,0,true,
sein-d,sein,Active,D,초열 지대,Field,RuntimeImplemented,false,false,A,,,지정 범위에 지속 화염 피해를 주는 비탄창 장판 스킬.,지정 범위에 지속 화염 피해를 주는 비탄창 장판 스킬.,Fire,12,0.55,0,0,3.2,9,0,0,0,true,
sein-e,sein,Active,E,종말의 사선,LineAttack,RuntimeImplemented,false,false,A,,,디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.,디아블로의 종말 계열을 참고한 세인의 광역 결전기. 전장을 가로지르는 거대한 화염 사선을 떨어뜨린다.,Fire,70,3.2,0,0,3,16,0,0,0,true,
sein-f,sein,Passive,F,가열 조준,Passive,RuntimeImplemented,false,true,A,,,열풍 화살 대응 패시브. 화염 스킬 보유 아군의 기본 화력을 강화한다.\n모든 아군의 화염 피해: +12%\n화염 스킬 보유 아군의 치명타 확률: +8%,모든 아군의 화염 피해: +12%\n화염 스킬 보유 아군의 치명타 확률: +8%,Physical,0,0,0,0,0,0,0,0,0,false,
sein-g,sein,Passive,G,불꽃 탄막,Passive,RuntimeImplemented,false,false,B,,,"작열 난사 대응 패시브. 아군의 화염 피해를 작열 난사 자동 발동으로 연결한다.\n아군이 화염 피해를 줄 때 작열 난사 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n자동 발동 작열 난사 위력: 60%","아군이 화염 피해를 줄 때 작열 난사 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n자동 발동 작열 난사 위력: 60%",Physical,0,0,0,0,0,0,0,0,0,false,
sein-h,sein,Passive,H,연소 궤적,Passive,RuntimeImplemented,false,false,C,,,"화염궤도 대응 패시브. 화염궤도에 맞은 적의 화염 저항을 낮춘다.\n화염궤도에 맞은 적의 화염 저항: -12, 5초","화염궤도에 맞은 적의 화염 저항: -12, 5초",Physical,0,0,0,0,0,0,0,0,0,false,
sein-i,sein,Passive,I,열압 확산,Passive,RuntimeImplemented,false,false,D,,,"초열 지대 대응 패시브. 초열 지대 안의 적을 아군 전체 화염 피해의 집중 대상으로 만든다.\n초열 지대에 피해를 받은 적에게 모든 아군 화염 피해: +15%, 4초\n초열 지대 피해 주기 속도: +20%","초열 지대에 피해를 받은 적에게 모든 아군 화염 피해: +15%, 4초\n초열 지대 피해 주기 속도: +20%",Physical,0,0,0,0,0,0,0,0,0,false,
sein-j,sein,Passive,J,종말 예고,Passive,RuntimeImplemented,false,false,E,,,"종말의 사선 대응 패시브. 결전기 이후 화염 공세를 이어가게 한다.\n종말의 사선에 맞은 적에게 모든 아군 화염 피해: +20%, 5초\n종말의 사선으로 처치 시 세인의 모든 스킬 쿨타임 충전: +20%","종말의 사선에 맞은 적에게 모든 아군 화염 피해: +20%, 5초\n종말의 사선으로 처치 시 세인의 모든 스킬 쿨타임 충전: +20%",Physical,0,0,0,0,0,0,0,0,0,false,
vega-a,vega,Active,A,삼검난무,MagazineProjectile,RuntimeImplemented,true,false,A,,,베가 타워의 기본 액티브 스킬. 제자리에서 세 발의 검기를 순서대로 발사한다.,베가 타워의 기본 액티브 스킬. 제자리에서 세 발의 검기를 순서대로 발사한다.,Physical,9,0.4,0,8.5,0,0,5,4.8,0.55,true,
vega-b,vega,Active,B,침묵의 대태도,LineAttack,RuntimeImplemented,false,false,A,,,베가가 제자리에서 대태도 형상의 거대한 참격을 날리는 비탄창 액티브 스킬.,베가가 제자리에서 대태도 형상의 거대한 참격을 날리는 비탄창 액티브 스킬.,Physical,30,1.4,0,8.5,0,8,0,0,0,true,
vega-c,vega,Active,C,몰살 허가,Buff,RuntimeImplemented,false,false,A,,,일정 시간 동안 베가의 행동속도와 공격력을 증가시키는 자기 강화 액티브 스킬.,일정 시간 동안 베가의 행동속도와 공격력을 증가시키는 자기 강화 액티브 스킬.,Physical,0,0,0,0,0,14,0,0,0,true,
vega-d,vega,Active,D,검은 명부 개방,AreaAttack,RuntimeImplemented,false,false,A,,,표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.,표식이 있는 모든 적에게 원거리 범위 참격을 발생시키는 비탄창 액티브 스킬.,Physical,18,0.85,0,0,1.25,11,0,0,0,true,
vega-e,vega,Active,E,최종선고,Execute,RuntimeImplemented,false,false,A,,,표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.,표식이 가장 많은 적 1개체에게 표식 스택에 비례한 막대한 단일 피해를 주는 비탄창 액티브 스킬.,Physical,55,2,0,9.5,0,15,0,0,0,true,
vega-f,vega,Passive,F,각인 심화,Passive,RuntimeImplemented,false,true,A,,,삼검난무 대응 패시브. 이름표식 대상을 아군 전체의 집중 공격 대상으로 만든다.\n모든 아군이 이름표식 대상에게 주는 피해: +10%\n이름표식 10스택 이상 대상의 물리 저항: -8,모든 아군이 이름표식 대상에게 주는 피해: +10%\n이름표식 10스택 이상 대상의 물리 저항: -8,Physical,0,0,0,0,0,0,0,0,0,false,
vega-g,vega,Passive,G,봉인검식,Passive,RuntimeImplemented,false,false,B,,,침묵의 대태도 대응 패시브. 침묵 상태의 적을 아군 전체가 공략하기 쉽게 만든다.\n모든 아군이 침묵 대상에게 주는 피해: +14%\n침묵의 대태도 이름표식 부여: 2스택,모든 아군이 침묵 대상에게 주는 피해: +14%\n침묵의 대태도 이름표식 부여: 2스택,Physical,0,0,0,0,0,0,0,0,0,false,
vega-h,vega,Passive,H,처형 준비,Passive,RuntimeImplemented,false,false,C,,,몰살 허가 대응 패시브. 베가의 처형 준비 상태를 아군 전체의 공세 타이밍으로 확장한다.\n몰살 허가 중 모든 아군의 행동속도: +12%\n몰살 허가 지속시간: +20%,몰살 허가 중 모든 아군의 행동속도: +12%\n몰살 허가 지속시간: +20%,Physical,0,0,0,0,0,0,0,0,0,false,
vega-i,vega,Passive,I,연쇄 참결,Passive,RuntimeImplemented,false,false,D,,,"검은 명부 개방 대응 패시브. 명부 참격 이후 아군의 광역 화력을 집중시킨다.\n검은 명부 개방에 피해를 받은 적에게 모든 아군 범위 피해: +15%, 4초\n아군이 범위 피해를 줄 때 검은 명부 개방 쿨타임 충전: +3%, 재발동 대기시간 1초","검은 명부 개방에 피해를 받은 적에게 모든 아군 범위 피해: +15%, 4초\n아군이 범위 피해를 줄 때 검은 명부 개방 쿨타임 충전: +3%, 재발동 대기시간 1초",Physical,0,0,0,0,0,0,0,0,0,false,
vega-j,vega,Passive,J,사형 집행인,Passive,RuntimeImplemented,false,false,E,,,"최종선고 대응 패시브. 처형 성공을 아군 전체의 다음 공격 기회로 바꾼다.\n최종선고로 처치 시 모든 아군 쿨타임 충전: +20%\n최종선고 대상이 생존하면 해당 대상에게 모든 아군 피해: +10%, 5초","최종선고로 처치 시 모든 아군 쿨타임 충전: +20%\n최종선고 대상이 생존하면 해당 대상에게 모든 아군 피해: +10%, 5초",Physical,0,0,0,0,0,0,0,0,0,false,
