choice_id,monster_id,active_skill_id,passive_skill_id,linked_choice_id,sort_order,title,description,damage_multiplier,magazine_bonus,shot_interval_multiplier,reload_duration_multiplier,max_health_bonus,status_chance_bonus
"eve-b-trait-3","eve","eve-b","","eve-b-trait-3","9","Trait 3","Charge speed +35%, duration +15%","1","0","1","1","0","0"
"eve-b-trait-4","eve","eve-b","","eve-b-trait-4","10","Trait 4","Damage +100%, duration -50%","2","0","1","1","0","0"
"eve-b-trait-5","eve","eve-b","","eve-b-trait-5","11","Trait 5","Charge speed +30%, tick speed +20%","1","0","0.83333","1","0","0"
"eve-b-master-1","eve","eve-b","","eve-b-master-1","12","Focused Ray","Duration -45%, damage +75%, tick speed +75%","1.75","0","0.57143","1","0","0"
"eve-b-master-2","eve","eve-b","","eve-b-master-2","13","Decomposition Spectrum","Enemies hit by Prism Ray lose 10 lightning and ice resistance for 5s","1","0","1","1","0","0"
"eve-c-trait-1","eve","eve-c","","eve-c-trait-1","14","Trait 1","Radius +25%, duration +15%","1","0","1","1","0","0"
"eve-c-trait-2","eve","eve-c","","eve-c-trait-2","15","Trait 2","Tick speed +25%, chill stacks +1","1","0","0.8","1","0","0"
"eve-c-trait-3","eve","eve-c","","eve-c-trait-3","16","Trait 3","Damage +30%, cooldown -15%","1.3","0","1","1","0","0"
"eve-c-trait-4","eve","eve-c","","eve-c-trait-4","17","Trait 4","Radius -20%, damage +80%","1.8","0","1","1","0","0"
"eve-c-trait-5","eve","eve-c","","eve-c-trait-5","18","Trait 5","Freeze duration +1.0s, ice damage +20%","1.2","0","1","1","0","0"
"eve-c-master-1","eve","eve-c","","eve-c-master-1","19","Absolute Zero Zone","Immediately freeze enemies with 4+ chill stacks, freeze duration +1.5s","1","0","1","1","0","0"
"eve-c-master-2","eve","eve-c","","eve-c-master-2","20","Crystal Storm","At field end, deal 24 + spell * 1.5 ice damage in area","1","0","1","1","0","0"
"eve-d-trait-1","eve","eve-d","","eve-d-trait-1","21","Trait 1","Radius +25%, explosion radius +15%","1","0","1","1","0","0"
"eve-d-trait-2","eve","eve-d","","eve-d-trait-2","22","Trait 2","Damage per shock stack +15%p","1","0","1","1","0","0"
"eve-d-trait-3","eve","eve-d","","eve-d-trait-3","23","Trait 3","Cooldown -20%, damage +15%","1.15","0","1","1","0","0"
"eve-d-trait-4","eve","eve-d","","eve-d-trait-4","24","Trait 4","After explosion, add 1 shock stack","1","0","1","1","0","0"
"eve-d-trait-5","eve","eve-d","","eve-d-trait-5","25","Trait 5","Explosion damage +50% against targets with 3+ shock stacks","1","0","1","1","0","0"
"eve-d-master-1","eve","eve-d","","eve-d-master-1","26","Chain Overload","If an enemy hit by explosion is shocked, cause one extra explosion at 50% damage","1","0","1","1","0","0"
"eve-d-master-2","eve","eve-d","","eve-d-master-2","27","Electromagnetic Collapse","Explosion radius +40%, damage per shock stack +25%p, cooldown +20%","1","0","1","1","0","0"
"eve-e-trait-1","eve","eve-e","","eve-e-trait-1","28","Trait 1","Magazine +1, Plasma Field duration +20%","1","1","1","1","0","0"
"eve-e-trait-2","eve","eve-e","","eve-e-trait-2","29","Trait 2","Attack period speed +25%, vulnerable stacks +1","1","0","0.8","1","0","0"
"eve-e-trait-3","eve","eve-e","","eve-e-trait-3","30","Trait 3","Damage +30%","1.3","0","1","1","0","0"
"eve-e-trait-4","eve","eve-e","","eve-e-trait-4","31","Trait 4","Reload speed +30%, simultaneous Plasma Fields +1","1","0","1","0.76923","0","0"
"eve-e-trait-5","eve","eve-e","","eve-e-trait-5","32","Trait 5","Lightning damage +40% against targets with 5+ vulnerable stacks","1","0","1","1","0","0"
"eve-e-master-1","eve","eve-e","","eve-e-master-1","33","Surveillance Drone Network","Simultaneous Plasma Fields +2, attack period speed +30%","1","0","0.76923","1","0","0"
"eve-e-master-2","eve","eve-e","","eve-e-master-2","34","Weakness Lock","Vulnerable max stacks +5, +1% critical damage taken per vulnerable stack","1","0","1","1","0","0"
"eve-f-trait-1","eve","","eve-f","eve-f-trait-1","35","Trait 1","Shield value +40%","1","0","1","1","0","0"
"eve-f-trait-2","eve","","eve-f","eve-f-trait-2","36","Trait 2","All allies damage to shocked targets +6%","1","0","1","1","0","0"
"eve-f-trait-3","eve","","eve-f","eve-f-trait-3","37","Trait 3","While shield remains, target action speed +12%","1","0","1","1","0","0"
"eve-g-trait-1","eve","","eve-g","eve-g-trait-1","38","Trait 1","Prism Ray auto-cast chance +3%","1","0","1","1","0","0"
"eve-g-trait-2","eve","","eve-g","eve-g-trait-2","39","Trait 2","All allies lightning/ice damage +5%","1","0","1","1","0","0"
"eve-g-trait-3","eve","","eve-g","eve-g-trait-3","40","Trait 3","Prism Ray deals +300% additional damage to shielded targets","1","0","1","1","0","0"
"eve-h-trait-1","eve","","eve-h","eve-h-trait-1","41","Trait 1","All allies damage to chill/freeze targets +6%","1","0","1","1","0","0"
"eve-h-trait-2","eve","","eve-h","eve-h-trait-2","42","Trait 2","Freeze duration +1.0s","1","0","1","1","0","0"
"eve-h-trait-3","eve","","eve-h","eve-h-trait-3","43","Trait 3","On freeze release, deal 16 + spell * 1.0 ice damage","1","0","1","1","0","0"
"eve-i-trait-1","eve","","eve-i","eve-i-trait-1","44","Trait 1","All allies lightning damage to shocked targets +8%","1","0","1","1","0","0"
"eve-i-trait-2","eve","","eve-i","eve-i-trait-2","45","Trait 2","Additional -6 lightning resistance to targets with 5 shock stacks","1","0","1","1","0","0"
"eve-i-trait-3","eve","","eve-i","eve-i-trait-3","46","Trait 3","Static Override explosion radius +25%","1","0","1","1","0","0"
"eve-j-trait-1","eve","","eve-j","eve-j-trait-1","47","Trait 1","All allies damage to vulnerable targets +6%","1","0","1","1","0","0"
"eve-j-trait-2","eve","","eve-j","eve-j-trait-2","48","Trait 2","Additional -4 all resistance to vulnerable targets","1","0","1","1","0","0"
"eve-j-trait-3","eve","","eve-j","eve-j-trait-3","49","Trait 3","Plasma Field deals +75% damage to targets with 5+ vulnerable stacks","1","0","1","1","0","0"
