"trigger_id","monster_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","triggered_skill_id","runtime_kind","sort_order","target_side","target_selection","target_shape","center_mode","attribute","base_damage","attack_power_coefficient","spell_power_coefficient","damage_multiplier","damage_source","damage_source_multiplier","tracked_attribute","radius","cover_all","hit_target_count","repeat_count","repeat_interval_seconds","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_status_id","trigger_attribute","proc_chance","internal_cooldown_seconds","require_event_execute","trigger_action","event_skill_id","target_skill_id","triggered_effect_id","condition_status_source_skill_id","trigger_delay_seconds","trigger_every_count","event_source_scope","cooldown_refund_ratio","reload_reduce_ratio"
"rin-f-followup","rin","rin-f","OnOutgoingDamage","","rin-f-trait-2","rin-f-followup","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1","EventAppliedDamage","0.35","Physical","0","false","1","1","0","Assets/Prefab/Skill/Rin/Rin_F.prefab","RuntimeImplemented","Rin-F delayed physical follow-up from owner direct-damage active hits.","","","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-f-followup-trait2","rin","rin-f","OnOutgoingDamage","rin-f-trait-2","","rin-f-followup-trait2","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1.15","EventAppliedDamage","0.35","Physical","0","false","1","1","0","Assets/Prefab/Skill/Rin/Rin_F.prefab","RuntimeImplemented","Rin-F trait 2 increases delayed follow-up damage.","","","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-f-followup-lightning-trait3","rin","rin-f","OnOutgoingDamage","rin-f-trait-3","","rin-f-followup-lightning-trait3","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Lightning","0","0","0","1","EventAppliedDamage","0.105","Physical","0","false","1","1","0","","RuntimeImplemented","Rin-F trait 3 adds Lightning damage to the delayed follow-up.","","","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-h-auto-shockwave-base-base","rin","rin-h","OnOutgoingDamage","","rin-h-trait-1;rin-h-trait-2","rin-h-auto-shockwave-base-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0","0.75","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H all-ally physical damage count auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-lightning-base-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-3","rin-h-trait-1;rin-h-trait-2","rin-h-auto-shockwave-lightning-base-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0","0.225","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H trait 3 Lightning extra damage on auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-base-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-2","rin-h-trait-1","rin-h-auto-shockwave-base-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0","0.9","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H all-ally physical damage count auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-lightning-base-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-2;rin-h-trait-3","rin-h-trait-1","rin-h-auto-shockwave-lightning-base-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0","0.27","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H trait 3 Lightning extra damage on auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-t1-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-1","rin-h-trait-2","rin-h-auto-shockwave-t1-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0","0.75","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H all-ally physical damage count auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","8","all_allies","",""
"rin-h-auto-shockwave-lightning-t1-base","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-3","rin-h-trait-2","rin-h-auto-shockwave-lightning-t1-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0","0.225","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H trait 3 Lightning extra damage on auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","8","all_allies","",""
"rin-h-auto-shockwave-t1-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-2","","rin-h-auto-shockwave-t1-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0","0.9","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H all-ally physical damage count auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","8","all_allies","",""
"rin-h-auto-shockwave-lightning-t1-t2","rin","rin-h","OnOutgoingDamage","rin-h-trait-1;rin-h-trait-2;rin-h-trait-3","","rin-h-auto-shockwave-lightning-t1-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0","0.27","Fixed","0","Physical","1.6","false","global","1","0","","RuntimeImplemented","Rin-H trait 3 Lightning extra damage on auto shockwave.","","Physical","1","3","false","SingleAttack","","","","","0","8","all_allies","",""
"rin-g-howling-reload-rin-a-trait3","rin","rin-g","OnSkillCast","rin-g-trait-3","","rin-a","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1","EventAppliedDamage","","Physical","0","false","1","1","0","","RuntimeImplemented","Rin-G trait 3 reduces Rin-A reload when Howling is cast.","","","1","0","false","ReloadReduce","rin-b","rin-a","","","0","0","owner","","0.25"
"rin-i-finishing-kill-action-speed","rin","rin-i","OnKill","","","rin-i-finishing-kill-action-speed","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1","EventAppliedDamage","","Physical","0","false","1","1","0","","RuntimeImplemented","Rin-I applies ally action speed after Rin-D kill.","","","1","0","false","Effect","rin-d","","rin-i-finishing-kill-action-speed","","0","0","owner","",""
"rin-i-finishing-kill-crit-damage-trait2","rin","rin-i","OnKill","rin-i-trait-2","","rin-i-finishing-kill-crit-damage-trait2","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1","EventAppliedDamage","","Physical","0","false","1","1","0","","RuntimeImplemented","Rin-I trait 2 applies ally crit damage after Rin-D kill.","","","1","0","false","Effect","rin-d","","rin-i-finishing-kill-crit-damage-trait2","","0","0","owner","",""
"rin-j-defense-down-kill-rin-d-cooldown-trait3","rin","rin-j","OnKill","rin-j-trait-3","","rin-d","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","0","1","EventAppliedDamage","","Physical","0","false","1","1","0","","RuntimeImplemented","Rin-J trait 3 charges Rin-D cooldown when a Rin-J defense-down enemy dies.","","","1","0","false","CooldownRefund","","rin-d","","rin-j-physical-defense-down","0","0","all_allies","0.15",""
"sein-a-master2-hit-explosion","sein","sein-a","OnOutgoingDamage","sein-a-master-2","","sein-a-master-2-explosion","SingleAttack","10","Enemy","EventTarget","Circle","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","0.5","Fire","0","false","global","1","0","Assets/Prefab/Skill/Sein/Sein_A_Master-2.prefab","RuntimeImplemented","Sein-A master 2 triggers a shared SingleAttack explosion at the hit target for 50% of the applied Sein-A Fire damage.","","Fire","1","0","false","SingleAttack","sein-a","","","","0","0","owner","",""
"sein-g-auto-barrage-base","sein","sein-g","OnOutgoingDamage","","sein-g-trait-1;sein-g-trait-2","sein-b","MagazineProjectile","10","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","0.6","","0","","0","false","1","1","0","","RuntimeImplemented","Sein-G base auto-triggers Sein-B at 60% damage when any ally deals Fire damage.","","Fire","0.04","1.5","false","TriggeredSkill","","","","","0","","all_allies","0","0"
"sein-g-auto-barrage-trait1","sein","sein-g","OnOutgoingDamage","sein-g-trait-1","","sein-b","MagazineProjectile","11","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","0.6","","0","","0","false","1","1","0","","RuntimeImplemented","Sein-G trait 1 raises the auto-trigger proc chance to 7% while preserving 60% damage.","","Fire","0.07","1.5","false","TriggeredSkill","","","","","0","","all_allies","0","0"
"sein-g-auto-barrage-trait2","sein","sein-g","OnOutgoingDamage","sein-g-trait-2","","sein-b","MagazineProjectile","12","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","0.8","","0","","0","false","1","1","0","","RuntimeImplemented","Sein-G trait 2 raises the auto-triggered Sein-B damage to 80%.","","Fire","0.04","1.5","false","TriggeredSkill","","","","","0","","all_allies","0","0"
"sein-g-auto-barrage-reload-trait3","sein","sein-g","OnSkillCast","sein-g-trait-3","","sein-a","MagazineProjectile","13","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-G trait 3 reduces Sein-A reload when the auto-triggered Sein-B cast is marked with Sein-G origin.","","","1","0","false","ReloadReduce","sein-b","sein-a","","sein-g","0","0","owner","","0.10"
"sein-j-kill-sein-a-reload","sein","sein-j","OnKill","","","sein-a","SingleAttack","20","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base ReloadReduce for sein-a after Sein-E kill.","","","1","0","false","ReloadReduce","sein-e","sein-a","","","0","","owner","","0.20"
"sein-j-kill-sein-b-cooldown","sein","sein-j","OnKill","","","sein-b","SingleAttack","21","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base CooldownRefund for sein-b after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-b","","","0","","owner","0.20",""
"sein-j-kill-sein-b-reload","sein","sein-j","OnKill","","","sein-b","SingleAttack","22","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base ReloadReduce for sein-b after Sein-E kill.","","","1","0","false","ReloadReduce","sein-e","sein-b","","","0","","owner","","0.20"
"sein-j-kill-sein-c-cooldown","sein","sein-j","OnKill","","","sein-c","SingleAttack","23","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base CooldownRefund for sein-c after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-c","","","0","","owner","0.20",""
"sein-j-kill-sein-d-cooldown","sein","sein-j","OnKill","","","sein-d","SingleAttack","24","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base CooldownRefund for sein-d after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-d","","","0","","owner","0.20",""
"sein-j-kill-sein-e-cooldown","sein","sein-j","OnKill","","","sein-e","SingleAttack","25","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J base CooldownRefund for sein-e after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-e","","","0","","owner","0.20",""
"sein-j-kill-sein-a-reload-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-a","SingleAttack","30","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional ReloadReduce for sein-a after Sein-E kill.","","","1","0","false","ReloadReduce","sein-e","sein-a","","","0","","owner","","0.10"
"sein-j-kill-sein-b-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-b","SingleAttack","31","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional CooldownRefund for sein-b after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-b","","","0","","owner","0.10",""
"sein-j-kill-sein-b-reload-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-b","SingleAttack","32","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional ReloadReduce for sein-b after Sein-E kill.","","","1","0","false","ReloadReduce","sein-e","sein-b","","","0","","owner","","0.10"
"sein-j-kill-sein-c-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-c","SingleAttack","33","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional CooldownRefund for sein-c after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-c","","","0","","owner","0.10",""
"sein-j-kill-sein-d-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-d","SingleAttack","34","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional CooldownRefund for sein-d after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-d","","","0","","owner","0.10",""
"sein-j-kill-sein-e-cooldown-trait2","sein","sein-j","OnKill","sein-j-trait-2","","sein-e","SingleAttack","35","Enemy","EventTarget","Single","EffectTarget","Fire","0","0","0","1","EventAppliedDamage","","Fire","0","false","1","1","0","","RuntimeImplemented","Sein-J trait 2 additional CooldownRefund for sein-e after Sein-E kill.","","","1","0","false","CooldownRefund","sein-e","sein-e","","","0","","owner","0.10",""
"vega-b-master1-second-slash","vega","vega-b","OnSkillCast","vega-b-master-1","","vega-b","LineAttack","100","Enemy","Nearest","Single","Caster","Physical","30","1.4","0","0.45","Fixed","0","Physical","1.8","false","","1","0","Assets/Prefab/Skill/Vega/Vega_B.prefab","RuntimeImplemented","Vega-B master 1 spawns a delayed second slash through shared trigger LineAttack and linked on-hit status effect.","","","1","0","false","LineAttack","","","vega-b-master1-second-silence","","0.4","0","owner","",""
"vega-a-master2-kill-transfer","vega","vega-a","OnKill","vega-a-master-2","","vega-a","SingleAttack","90","Enemy","Nearest","Single","NearestEnemy","Physical","0","0","0","1","Fixed","0","","0","false","1","1","0","","RuntimeImplemented","Shared OnKill effect deals a small slash using attack coefficient 0.5 and transfers 3 Name Mark stacks to the nearest enemy.","","","1","0","false","Effect","vega-a","","vega-a-master2-transfer-mark","","0","0","owner","",""
