"choice_id","monster_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text","skill_icon_path","skill_effect_prefab_path","damage_multiplier","base_damage_bonus","cooldown_multiplier","magazine_bonus","additional_projectile_bonus","pierce_bonus","reload_time_multiplier","shot_interval_multiplier","burst_damage_projectile_index","burst_damage_multiplier","follow_up_projectile_count","follow_up_projectile_delay_seconds","follow_up_projectile_damage_multiplier","radius_multiplier","radius_bonus","duration_multiplier","duration_bonus","damage_delay_multiplier","branch_chance_bonus","branch_chance_set","branch_count","branch_damage_multiplier","branch_search_radius","branch_launch_period","branch_launch_chance_set","status_tag","hit_target_count_bonus","crit_chance_bonus","crit_damage_bonus","status_chance_bonus","status_stacks_bonus","status_stacks_set","status_element_damage_taken_bonus","status_critical_damage_taken_bonus","max_health_bonus","beam_width_bonus","runtime_support_state","runtime_support_notes","status_ailment_resistance_bonus","count_status_id","count_target_side","damage_multiplier_per_count","count_max","status_conditional_source_status_id","status_conditional_damage_taken_bonus","status_duration_bonus_status_id","status_duration_bonus","threshold_status_id","threshold_status_min_stacks","threshold_apply_status_id","status_max_stacks_bonus_status_id","status_max_stacks_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","on_hit_chain_hit_period","on_hit_chain_target_count","on_hit_chain_search_radius","on_hit_chain_damage_multiplier","on_hit_chain_damage_attribute","on_hit_additional_damage_visual","knockback_distance_multiplier","reload_reduce_target_skill_id","reload_reduce_seconds_per_hit","execute_health_ratio_bonus","execute_crit_chance_bonus","boss_damage_multiplier","kill_cooldown_refund_ratio_bonus","kill_resets_cooldown","kill_resets_cooldown_requires_execute","core_hitbox_name","core_damage_multiplier","core_on_hit_additional_damage_chance","core_on_hit_additional_damage_multiplier","core_on_hit_additional_damage_attribute","hit_count_cooldown_refund_target_skill_id","hit_count_cooldown_refund_min_targets","hit_count_cooldown_refund_ratio","consecutive_hit_bonus_rate","consecutive_hit_max"
"ariel-b-trait-3","ariel","ariel-b","ariel-b","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-trait-4","ariel","ariel-b","ariel-b","ActiveEnhancement","3","특성 4","방어막이 사라질 때 주변 적에게 방어막량의 60% 신성 피해","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","monster_skill_triger.csv OnShieldExpire trigger calls ariel-b-trait-4-expire with applied shield amount x60% using prefab hitbox.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-trait-5","ariel","ariel-b","ariel-b","ActiveEnhancement","4","특성 5","방어막을 받은 아군의 신성 피해 +12%, 5초","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Shielded allies receive +12% Holy damage for 5s through shield-triggered multi-effect row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-master-1","ariel","ariel-b","ariel-b","ActiveMaster","0","순백의 장벽","방어막량 +50%, 방어막이 유지되는 동안 상태이상 저항 +30%","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Shield amount +50% stays on the shared shield snapshot multiplier, and the shield status now carries ailment resistance +30% while it remains active.","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-master-2","ariel","ariel-b","ariel-b","ActiveMaster","1","반사의 성광","방어막이 피해를 흡수할 때 공격자에게 흡수량의 35% 신성 피해","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","monster_skill_triger.csv OnShieldAbsorb trigger routes absorbed shield amount x35% Holy damage to the event attacker.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-1","ariel","ariel-c","ariel-c","ActiveEnhancement","0","특성 1","위력 +25%","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-2","ariel","ariel-c","ariel-c","ActiveEnhancement","1","특성 2","행동속도 증가량 +6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Implemented by ariel-c-blessing-action-trait2 multi-effect rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-3","ariel","ariel-c","ariel-c","ActiveEnhancement","2","특성 3","버프 지속시간 +2초","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Implemented by Ariel-C replacement multi-effect rows with extended buff duration.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-4","ariel","ariel-c","ariel-c","ActiveEnhancement","3","특성 4","파동 반경 +25%","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-trait-5","ariel","ariel-c","ariel-c","ActiveEnhancement","4","특성 5","방어막을 가진 아군은 추가로 신성 피해 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Implemented by Ariel-C shielded Holy damage multi-effect rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-master-1","ariel","ariel-c","ariel-c","ActiveMaster","0","찬란한 성가","행동속도 대신 모든 아군 주문력 +18% 추가","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Implemented by Ariel-C spell-power buff multi-effect rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-c-master-2","ariel","ariel-c","ariel-c","ActiveMaster","1","전장의 축도","파동이 2회 발생하며 두 번째 파동의 위력은 60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Implemented by Ariel-C delayed second-wave multi-effect row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-1","ariel","ariel-d","ariel-d","ActiveEnhancement","0","특성 1","위력 +30%","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Shared SingleAttack choice damage_multiplier support applies Ariel-D Trait 1 directly.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-2","ariel","ariel-d","ariel-d","ActiveEnhancement","1","특성 2","신성 노출 +8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08","","","","ReferenceDirect","Holy Exposure incoming Holy damage bonus +8% mapped through choice status override.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-3","ariel","ariel-d","ariel-d","ActiveEnhancement","2","특성 3","지속시간 +3초","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Status duration +3s mapped through shared status snapshot duration bonus.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-4","ariel","ariel-d","ariel-d","ActiveEnhancement","3","특성 4","대상 수 +1, 위력 -20%","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","RuntimeImplemented","monster_skill_choices.csv hit_target_count_bonus=1 and damage_multiplier=0.8 are now applied by the shared SingleAttack snapshot runtime.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-trait-5","ariel","ariel-d","ariel-d","ActiveEnhancement","4","특성 5","방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Ariel-D mark status now carries a shared source-shield conditional incoming damage bonus of +10%.","","","","","","shield","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-master-1","ariel","ariel-d","ariel-d","ActiveMaster","0","성흔 각인","낙인 대상이 받는 치명타 피해 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","RuntimeImplemented","Choice status_critical_damage_taken_bonus=0.25 overrides Ariel-D mark status data, and live InGame damage now applies critical damage taken bonuses.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-d-master-2","ariel","ariel-d","ariel-d","ActiveMaster","1","계시의 창","낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","monster_skill_triger.csv OnStatusExpire trigger uses tracked Holy incoming damage x20% on the expired mark owner.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-1","ariel","ariel-e","ariel-e","ActiveEnhancement","0","특성 1","위력 +30%","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-2","ariel","ariel-e","ariel-e","ActiveEnhancement","1","특성 2","방어막량 +30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Ariel-E shield amount +30% implemented by choice-gated shield multi-effect rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-3","ariel","ariel-e","ariel-e","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-4","ariel","ariel-e","ariel-e","ActiveEnhancement","3","특성 4","신성 노출 대상에게 위력 +50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Conditional +50% damage against Holy Exposure targets implemented by multi-effect row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-trait-5","ariel","ariel-e","ariel-e","ActiveEnhancement","4","특성 5","모든 아군의 현재 방어막 지속시간 +3초","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","monster_skill_effects.csv ExtendStatusDuration effect extends active shield status durations by 3 seconds for all allies.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-master-1","ariel","ariel-e","ariel-e","ActiveMaster","0","천상의 성역","강림 후 5초 동안 모든 아군이 받는 피해 -18%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","All allies incoming damage -18% for 5s implemented by multi-effect status row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-e-master-2","ariel","ariel-e","ariel-e","ActiveMaster","1","심판의 광휘","신성 피해 +70%, 방어막량 -30%","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Holy damage +70% remains choice damage multiplier; shield amount -30% implemented by choice-gated shield multi-effect rows.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-f-trait-1","ariel","ariel-f","","PassiveEnhancement","0","특성 1","모든 아군 신성 피해 +6%","","","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-f-trait-2","ariel","ariel-f","ariel-a","PassiveEnhancement","1","특성 2","심판의 빛 탄창 +2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-f-trait-3","ariel","ariel-f","","PassiveEnhancement","2","특성 3","신성 스킬을 보유한 아군의 치명타 확률 +8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating and active-skill-attribute filtering, so Ariel-F trait 3 grants crit chance +8% to allies that have at least one Holy active skill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-g-trait-1","ariel","ariel-g","","PassiveEnhancement","0","특성 1","방어막량 증가 +8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating, so Ariel-G trait 1 adds shield received +8% through a gated passive-buff row.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-g-trait-2","ariel","ariel-g","","PassiveEnhancement","1","특성 2","전투 시작 방어막 +40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating, so Ariel-G trait 2 adds an extra apply-once start shield equal to 40% of the base passive shield.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-g-trait-3","ariel","ariel-g","","PassiveEnhancement","2","특성 3","방어막을 가진 아군의 신성 피해 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating, so Ariel-G trait 3 grants shielded allies Holy damage +10%.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-h-trait-1","ariel","ariel-h","ariel-c","PassiveEnhancement","0","특성 1","신성 피해 증가량 +7%","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-h-trait-2","ariel","ariel-h","ariel-c","PassiveEnhancement","1","특성 2","쿨타임 충전 속도 +5%","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-h-trait-3","ariel","ariel-h","ariel-c","PassiveEnhancement","2","특성 3","축복의 파동 지속시간 +2초","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Ariel-H trait 3 is authored through gated Ariel-C effect rows with duration +2 seconds across the existing blessing combinations.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-i-trait-1","ariel","ariel-i","","PassiveEnhancement","0","특성 1","받는 피해 증가량 +5%","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating, so Ariel-I trait 1 adds +5% incoming damage to holy exposure targets.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-i-trait-2","ariel","ariel-i","ariel-d","PassiveEnhancement","1","특성 2","천상의 낙인 쿨타임 -20%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Ariel-I trait 2 now targets Ariel-D directly, so the shared cooldown multiplier path applies to Celestial Brand.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-i-trait-3","ariel","ariel-i","","PassiveEnhancement","2","특성 3","신성 노출 대상의 신성 저항 -8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Passive effect rows now support passive-choice gating, and holy exposure targets can now receive flat Holy resistance reduction of 8.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-j-trait-1","ariel","ariel-j","ariel-e","PassiveEnhancement","0","특성 1","행동속도 증가량 +7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Ariel-J trait 1 now targets Ariel-E directly, and a gated Ariel-E effect row adds action speed +7% on top of the base Ariel-J follow-up buff.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-j-trait-2","ariel","ariel-j","ariel-e","PassiveEnhancement","1","특성 2","신성 피해 증가량 +10%","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-j-trait-3","ariel","ariel-j","ariel-e","PassiveEnhancement","2","특성 3","대천사의 강림 쿨타임 -15%","","","","","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-1","rin","rin-a","rin-a","ActiveEnhancement","0","특성 1","위력 +25%","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-2","rin","rin-a","rin-a","ActiveEnhancement","1","특성 2","탄창 수 +4","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-3","rin","rin-a","rin-a","ActiveEnhancement","2","특성 3","재장전 속도 +25%","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DerivedFromReference","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-4","rin","rin-a","rin-a","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 -10%","","","0.9","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV. | legacy: Shattering Fist trait 4 pierce bonus; damage scalar moved to monster_skill_choices.csv.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-trait-5","rin","rin-a","rin-a","ActiveEnhancement","4","특성 5","치명타 확률 +10%, 치명타 피해 +25%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.25","","","","","","","","RuntimeImplemented","Uses shared projectile critical bonus fields crit_chance_bonus and crit_damage_bonus.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-master-1","rin","rin-a","rin-a","ActiveMaster","0","철권 연사","탄창 수 +6, 발사 간격 -18%, 위력 +12%","","","1.12","","","6","","","","0.8200000000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-a-master-2","rin","rin-a","rin-a","ActiveMaster","1","뇌격 건틀릿","적중 시 대상에게 40% 번개 추가 피해, 3번째 적중마다 대상 주변 2명에게 40% 번개 연쇄","","Assets/Prefab/Skill/Rin/Rin_A.prefab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Uses shared on-hit additional damage for Lightning 40% damage to the hit target and every third primary hit chains Lightning 40% damage to two nearby enemies.","","","","","","","","","","","","","","","","","","1","0.4","Lightning","HitTarget","3","2","4.5","0.4","Lightning","none","","","","","","","","","","","","","","","","","","",""
"rin-b-trait-1","rin","rin-b","rin-b","ActiveEnhancement","0","특성 1","지속시간 +25%","","","","","","","","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Rin-B trait 1 scales buff duration by 25% through duration_multiplier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-b-trait-2","rin","rin-b","rin-b","ActiveEnhancement","1","특성 2","행동속도 증가 +10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Rin-B trait 2 implemented through monster_skill_effects OnCast ally status.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rin-b-trait-3","rin","rin-b","rin-b","ActiveEnhancement","2","특성 3","쿨다운 -20%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Rin-B trait 3 scales cooldown by 20% through cooldown_multiplier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
