"choice_id","skill_id","monster_id","choice_group","sort_order","title","description_text","damage_multiplier","magazine_bonus","additional_projectile_bonus","pierce_bonus","reload_time_multiplier","shot_interval_multiplier","branch_chance_bonus","branch_count","branch_damage_multiplier","branch_search_radius","status_tag","status_stacks_set","skill_effect_prefab_path","crit_chance_bonus","crit_damage_bonus","on_hit_additional_damage_visual","cooldown_multiplier","radius_multiplier","damage_delay_multiplier","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","consecutive_hit_bonus_rate","consecutive_hit_max","burst_damage_multiplier","follow_up_projectile_count","follow_up_projectile_damage_multiplier"
"sein-b-master-2","sein-b","sein","ActiveMaster","1","집중 사격","탄환 수 -2, 위력 +90%, 치명타 확률 +20%","1.9","","-2","","","","","","","","","","","0.2","","","","","","","","","","","","",""
"sein-c-trait-1","sein-c","sein","ActiveEnhancement","0","특성 1","위력 +30%","1.3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-c-trait-2","sein-c","sein","ActiveEnhancement","1","특성 2","폭발 반경 +25%","","","","","","","","","","","","","","","","","","1.25","","","","","","","","",""
"sein-c-trait-3","sein-c","sein","ActiveEnhancement","2","특성 3","쿨타임 -20%","","","","","","","","","","","","","","","","","0.8","","","","","","","","","",""
"sein-c-trait-4","sein-c","sein","ActiveEnhancement","3","특성 4","지연 시간 -40%","","","","","","","","","","","","","","","","","","","0.6","","","","","","","",""
"sein-c-trait-5","sein-c","sein","ActiveEnhancement","4","특성 5","열풍 화살에 맞은 적에게 위력 +35%","","","","","","","","","","","","","","","","","","","","1.35","sein-a-hit-mark","1","","","","",""
"sein-c-master-1","sein-c","sein","ActiveMaster","0","낙화 궤적","폭발 후 같은 위치에 2초 동안 작은 화염 지대 생성","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sein-c-master-2","sein-c","sein","ActiveMaster","1","관통 궤도","화살 경로상의 적에게 40% 화염 피해 후 폭발","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-a-trait-1","vega-a","vega","ActiveEnhancement","0","특성 1","위력 +20%","1.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-a-trait-2","vega-a","vega","ActiveEnhancement","1","특성 2","탄창 수 +2","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"vega-a-trait-3","vega-a","vega","ActiveEnhancement","2","특성 3","재장전 속도 +25%","","","","","0.8","","","","","","","","","","","","","","","","","","","","","",""
"vega-a-trait-4","vega-a","vega","ActiveEnhancement","3","특성 4","마지막 탄환 피해 배율 +50%","","","","","","","","","","","","","","","","","","","","","","","","","1.5","",""
"vega-a-trait-5","vega-a","vega","ActiveEnhancement","4","특성 5","삼검난무가 이름표식 10스택 이상인 적에게 주는 피해 +25%","","","","","","","","","","","","","","","","","","","","1.25","name-mark","10","","","","",""
"vega-a-master-1","vega-a","vega","ActiveMaster","0","검은 잔상","삼검난무 발사 후 같은 궤도에 잔상 검기 1개가 지연 발사된다. 잔상 검기는 45% 피해, 이름표식 1스택 부여","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.45"
"vega-a-master-2","vega-a","vega","ActiveMaster","1","단죄 연쇄","삼검난무로 적을 처치하면 가장 가까운 적 1명에게 이름표식 3스택을 이전하고 작은 참격 피해를 준다","","","","","","","","","","","","","","","","","","","","","","","","","","",""
