"node_id","param_key","value_type","value"
"ariel-i-holy-exposure-damage-taken-effect-lifetime","duration_seconds","float","0.5"
"ariel-i-holy-exposure-damage-taken-status-damage-taken-bonus","bonus","float","0.10"
"ariel-i-holy-exposure-damage-taken-trait1-effect-target","target_shape","enum","Battlefield"
"ariel-i-holy-exposure-damage-taken-trait1-effect-target","center_mode","enum","Caster"
"ariel-i-holy-exposure-damage-taken-trait1-condition-status","status_id","status_id","holy-exposure"
"ariel-i-holy-exposure-damage-taken-trait1-condition-status","target_side","enum","Enemy"
"ariel-i-holy-exposure-damage-taken-trait1-condition-status","min_stacks","int","1"
"ariel-i-holy-exposure-damage-taken-trait1-effect-lifetime","duration_seconds","float","0.5"
"ariel-i-holy-exposure-damage-taken-trait1-status-damage-taken-bonus","bonus","float","0.05"
"ariel-i-holy-exposure-holy-resist-trait3-effect-target","target_shape","enum","Battlefield"
"ariel-i-holy-exposure-holy-resist-trait3-effect-target","center_mode","enum","Caster"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","status_id","status_id","holy-exposure"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","target_side","enum","Enemy"
"ariel-i-holy-exposure-holy-resist-trait3-condition-status","min_stacks","int","1"
"ariel-i-holy-exposure-holy-resist-trait3-effect-lifetime","duration_seconds","float","0.5"
"ariel-i-holy-exposure-holy-resist-trait3-status-flat-element-resist-reduction","bonus","float","8"
"ariel-i-holy-exposure-holy-resist-trait3-status-flat-element-resist-reduction","attribute","enum","Holy"
"ariel-j-shielded-holy-damage-effect-target","target_side","enum","AllAllies"
"ariel-j-shielded-holy-damage-effect-target","target_selection","enum","Owner"
"ariel-j-shielded-holy-damage-effect-target","target_shape","enum","Battlefield"
"ariel-j-shielded-holy-damage-effect-target","center_mode","enum","Caster"
"ariel-j-shielded-holy-damage-condition-status","status_id","status_id","shield"
"ariel-j-shielded-holy-damage-condition-status","target_side","enum","AllAllies"
"ariel-j-shielded-holy-damage-condition-status","min_stacks","int","1"
"ariel-j-shielded-holy-damage-condition-status","source_skill_id","skill_id","ariel-e-shield-base"
"ariel-j-shielded-holy-damage-effect-lifetime","duration_seconds","float","0.5"
"ariel-j-shielded-holy-damage-status-damage-bonus-rate","bonus","float","0.20"
"ariel-j-shielded-holy-damage-status-damage-bonus-rate","attribute","enum","Holy"
