"monster_name","owner_kind","owner_name","target_skill_name","node_order","node_type_name","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_name"
"rift-gem","Trigger","rift-gem-lightning-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-lightning-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-lightning-resist-down","","4","StatusFlatElementResistReduction","5","Lightning","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-ice-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-ice-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-ice-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-ice-resist-down","","4","StatusFlatElementResistReduction","5","Ice","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-darkness-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-darkness-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-darkness-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-darkness-resist-down","","4","StatusFlatElementResistReduction","5","Darkness","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-holy-resist-down","","1","StatusModifier","","same_source_refresh","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-holy-resist-down","","2","SelectTargets","Enemy","Owner","Battlefield","Caster","","","true","0","","","","",""
"rift-gem","Trigger","rift-gem-holy-resist-down","","3","SetDuration","0","","","","","","","","","","","",""
"rift-gem","Trigger","rift-gem-holy-resist-down","","4","StatusFlatElementResistReduction","5","Holy","","","","","","","","","","",""
"resonance-compass","Trigger","resonance-compass-fire","","1","ApplyDamage","Fire","0","","1","0","0","","EventAppliedDamage","0.30","Fire","","",""
"resonance-compass","Trigger","resonance-compass-fire","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"resonance-compass","Trigger","resonance-compass-fire","","3","ShowVisual","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/5-1.png","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/ChatGPT Image 2026년 5월 24일 오후 12_53_20-Photoroom 2_0.controller","0.4258","0","2.18","2.35","","","","","","",""
"resonance-compass","Trigger","resonance-compass-fire","","4","SetDuration","1","","","","","","","","","","","",""
"resonance-compass","Trigger","resonance-compass-lightning","","1","ApplyDamage","Lightning","0","","1","0","0","","EventAppliedDamage","0.30","Lightning","","",""
"resonance-compass","Trigger","resonance-compass-lightning","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"resonance-compass","Trigger","resonance-compass-lightning","","3","ShowVisual","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/5-1.png","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/ChatGPT Image 2026년 5월 24일 오후 12_53_20-Photoroom 2_0.controller","0.4258","0","2.18","2.35","","","","","","",""
"resonance-compass","Trigger","resonance-compass-lightning","","4","SetDuration","1","","","","","","","","","","","",""
"resonance-compass","Trigger","resonance-compass-ice","","1","ApplyDamage","Ice","0","","1","0","0","","EventAppliedDamage","0.30","Ice","","",""
"resonance-compass","Trigger","resonance-compass-ice","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"resonance-compass","Trigger","resonance-compass-ice","","3","ShowVisual","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/5-1.png","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/ChatGPT Image 2026년 5월 24일 오후 12_53_20-Photoroom 2_0.controller","0.4258","0","2.18","2.35","","","","","","",""
"resonance-compass","Trigger","resonance-compass-ice","","4","SetDuration","1","","","","","","","","","","","",""
"resonance-compass","Trigger","resonance-compass-darkness","","1","ApplyDamage","Darkness","0","","1","0","0","","EventAppliedDamage","0.30","Darkness","","",""
"resonance-compass","Trigger","resonance-compass-darkness","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"resonance-compass","Trigger","resonance-compass-darkness","","3","ShowVisual","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/5-1.png","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/ChatGPT Image 2026년 5월 24일 오후 12_53_20-Photoroom 2_0.controller","0.4258","0","2.18","2.35","","","","","","",""
"resonance-compass","Trigger","resonance-compass-darkness","","4","SetDuration","1","","","","","","","","","","","",""
"resonance-compass","Trigger","resonance-compass-holy","","1","ApplyDamage","Holy","0","","1","0","0","","EventAppliedDamage","0.30","Holy","","",""
"resonance-compass","Trigger","resonance-compass-holy","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"resonance-compass","Trigger","resonance-compass-holy","","3","ShowVisual","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/5-1.png","Assets/Image/Monster/Rin/Legacy/Effect_Sprite/ChatGPT Image 2026년 5월 24일 오후 12_53_20-Photoroom 2_0.controller","0.4258","0","2.18","2.35","","","","","","",""
"resonance-compass","Trigger","resonance-compass-holy","","4","SetDuration","1","","","","","","","","","","","",""
"quantum-computation","Effect","quantum-computation-effect","","1","ConditionSkillAttribute","Lightning","","","","","","","","","","","",""
"quantum-computation","Effect","quantum-computation-effect","","2","DamageMultiplier","1.50","","","","","","","","","","","",""
"absolute-zero-circuit","Effect","absolute-zero-circuit-effect","","1","ConditionSkillAttribute","Ice","","","","","","","","","","","",""
"absolute-zero-circuit","Effect","absolute-zero-circuit-effect","","2","DamageMultiplier","1.35","","","","","","","","","","","",""
"absolute-zero-circuit","Effect","absolute-zero-circuit-effect","","3","ConditionalDamageMultiplier","freeze","1","1.25","","","","","","","","","",""
"nameless-ledger","Effect","nameless-ledger-effect","","1","TargetStatusStackDamageMultiplierBonus","name-mark","0.06","","","","","","","","","","",""
"black-execution-platform","Effect","black-execution-platform-effect","","1","DamageMultiplier","1.45","","","","","","","","","","","",""
"convection-arrowhead","Effect","convection-arrowhead-sein-a-effect","","1","DamageMultiplier","1.40","","","","","","","","","","","",""
"convection-arrowhead","Effect","convection-arrowhead-sein-b-effect","","1","DamageMultiplier","1.40","","","","","","","","","","","",""
"dooms-ember","Effect","dooms-ember-effect","","1","CooldownMultiplier","0.75","","","","","","","","","","","",""
"dooms-ember","Effect","dooms-ember-effect","","2","DamageMultiplier","1.25","","","","","","","","","","","",""
"archangel-sigil","Effect","archangel-sigil-ariel-b-effect","","1","ShieldAmountMultiplier","1.45","","","","","","","","","","","",""
"archangel-sigil","Effect","archangel-sigil-ariel-e-effect","","1","ShieldAmountMultiplier","1.45","","","","","","","","","","","",""
"hymn-baton","Effect","hymn-baton-effect","","1","StatusActionSpeedMultiplier","1.35","blessing","","","","","","","","","","",""
"shattering-glove","Effect","shattering-glove-effect","","1","DamageMultiplier","1.50","","","","","","","","","","","",""
"chosen-one","Effect","chosen-one-level-2-final-damage","","1","FinalDamageModifier","1.18","","","","","","","","","","","",""
"chosen-one","Effect","chosen-one-level-4-finale","","1","TargetPredicateFinalDamageModifier","is_boss","1.50","","","","","","","","","","",""
"chosen-one","Trigger","chosen-one-encore-trigger","","1","ExecuteEventSkill","0.50","","","","","","","","","","","",""
"martial-artists-breath","Trigger","martial-artists-breath-trigger","","1","StatusModifier","Self","same_source_add_stacks","","","","","","","","","","",""
"martial-artists-breath","Trigger","martial-artists-breath-trigger","","2","SelectTargets","Self","Owner","Battlefield","Caster","","","","","","","","",""
"martial-artists-breath","Trigger","martial-artists-breath-trigger","","3","SetDuration","9999","","","","","","","","","","","",""
"martial-artists-breath","Trigger","martial-artists-breath-trigger","","4","AttachStatusPayload","passive-buff","1","","9999","5","1","","","","","","",""
"martial-artists-breath","Trigger","martial-artists-breath-trigger","","5","StatusActionSpeedBonus","0.04","","","","","","","","","","","",""
"sentinel","Effect","sentinel-level-1-defense-resistance","","1","DefenseModifier","0.05","8","","","","","","","","","","",""
"sentinel","Effect","sentinel-level-2-defense-resistance","","1","DefenseModifier","0.05","4","","","","","","","","","","",""
"sentinel","Trigger","sentinel-level-2-shield-reflection-trigger","","1","ApplyDamage","Holy","0","0","","0","","","ShieldAbsorbedAmount","0.25","","","",""
"sentinel","Trigger","sentinel-level-2-shield-reflection-trigger","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"sentinel","Effect","sentinel-level-3-defense-resistance-shield-reduction","","1","DefenseModifier","0.05","6","","","","","","","","","","",""
"sentinel","Effect","sentinel-level-3-shield-final-damage-reduction","","1","RequiredSourceStatus","shield","1","","","","","","","","","","",""
"sentinel","Effect","sentinel-level-3-shield-final-damage-reduction","","2","FinalDamageTakenMultiplier","0.90","","","","","","","","","","","",""
"sentinel","Effect","sentinel-level-4-defense-resistance","","1","DefenseModifier","0.05","7","","","","","","","","","","",""
"sentinel","Trigger","sentinel-level-4-shield-reflection-trigger","","1","ApplyDamage","Holy","0","0","","0","","","ShieldAbsorbedAmount","0.20","","","",""
"sentinel","Trigger","sentinel-level-4-shield-reflection-trigger","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"pure-white-shield","Trigger","pure-white-shield-trigger","","1","ApplyShield","0","0","0.12","","","","","","","","","",""
"pure-white-shield","Trigger","pure-white-shield-trigger","","2","SelectTargets","Self","Owner","Single","Caster","","","","","","","","",""
"pure-white-shield","Trigger","pure-white-shield-trigger","","3","SetDuration","9999","","","","","","","","","","","",""
"sanctuary-fragment","Effect","sanctuary-fragment-effect","","1","RequiredSourceStatus","shield","1","","","","","","","","","","",""
"sanctuary-fragment","Effect","sanctuary-fragment-effect","","2","ConditionSkillAttribute","Holy","","","","","","","","","","","",""
"sanctuary-fragment","Effect","sanctuary-fragment-effect","","3","DamageMultiplier","1.18","","","","","","","","","","","",""
"unbreakable-promise","Trigger","unbreakable-promise-trigger","","1","ApplyStatus","passive-buff","","","","","","","","","","","",""
"unbreakable-promise","Trigger","unbreakable-promise-trigger","","2","SelectTargets","Self","Owner","Single","Caster","","","","","","","","",""
"unbreakable-promise","Trigger","unbreakable-promise-trigger","","3","SetDuration","2","","","","","","","","","","","",""
"unbreakable-promise","Trigger","unbreakable-promise-trigger","","4","StatusDamageTakenBonus","-0.30","","","","","","","","","","","",""
"guardians-censer","Effect","guardians-censer-effect","","1","StatusDurationBonus","shield","2","","","","","","","","","","",""
"blue-cross","Trigger","blue-cross-trigger","","1","ApplyStatus","passive-buff","","","","","","","","","","","",""
"blue-cross","Trigger","blue-cross-trigger","","2","SelectTargets","Self","Owner","Single","Caster","","","","","","","","",""
"blue-cross","Trigger","blue-cross-trigger","","3","SetDuration","4","","","","","","","","","","","",""
"blue-cross","Trigger","blue-cross-trigger","","4","StatusActionSpeedBonus","0.10","","","","","","","","","","","",""
"pilgrims-cloak","Trigger","pilgrims-cloak-trigger","","1","ApplyShield","0","0","0.50","","","","","","","","","",""
"pilgrims-cloak","Trigger","pilgrims-cloak-trigger","","2","SelectTargets","Self","Owner","Single","Caster","","","","","","","","",""
"pilgrims-cloak","Trigger","pilgrims-cloak-trigger","","3","SetDuration","10","","","","","","","","","","","",""
"faded-gate","Trigger","faded-gate-trigger","","1","ApplyStatus","passive-buff","","","","","","","","","","","",""
"faded-gate","Trigger","faded-gate-trigger","","2","SelectTargets","Self","Owner","Single","Caster","","","","","","","","",""
"faded-gate","Trigger","faded-gate-trigger","","3","SetDuration","6","","","","","","","","","","","",""
"faded-gate","Trigger","faded-gate-trigger","","4","StatusDamageTakenBonus","-0.20","","","","","","","","","","","",""
"reflection-mirror","Trigger","reflection-mirror-trigger","","1","ApplyDamage","Holy","0","0","","0","","","ShieldAbsorbedAmount","0.20","","","",""
"reflection-mirror","Trigger","reflection-mirror-trigger","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","1","","","","",""
"prayer-stone","Effect","prayer-stone-effect","","1","RequiredSourceStatus","shield","1","","","","","","","","","","",""
"prayer-stone","Effect","prayer-stone-effect","","2","CooldownChargeSpeedBonus","0.12","","","","","","","","","","","",""
"sentinels-bell","Trigger","sentinels-bell-trigger","","1","ApplyStatus","holy-exposure","","","","","","","","","","","",""
"sentinels-bell","Trigger","sentinels-bell-trigger","","2","SelectTargets","Enemy","Nearest","Circle","Caster","","","","","3","","","",""
"sentinels-bell","Trigger","sentinels-bell-trigger","","3","SetDuration","2","","","","","","","","","","","",""
"infinite-shell","Effect","infinite-shell-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"infinite-shell","Effect","infinite-shell-effect","","2","MagazineBonus","1","","","","","","","","","","","",""
"overheated-chamber","Effect","overheated-chamber-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"overheated-chamber","Effect","overheated-chamber-effect","","2","ReloadCompleteDamageMultiplier","1.25","","","","","","","","","","","",""
"double-barrel-core","Effect","double-barrel-core-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"double-barrel-core","Effect","double-barrel-core-effect","","2","FirstMagazineProjectileFollowUp","1","0","0.30","","","","","","","","","",""
"rapid-loader","Effect","rapid-loader-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"rapid-loader","Effect","rapid-loader-effect","","2","ReloadTimeMultiplier","0.82","","","","","","","","","","","",""
"piercing-feather","Effect","piercing-feather-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile;CooldownProjectile","","","","","","","","","","","",""
"piercing-feather","Effect","piercing-feather-effect","","2","PierceBonus","1","","","","","","","","","","","",""
"barrage-blueprint","Effect","barrage-blueprint-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile;CooldownProjectile","","","","","","","","","","","",""
"barrage-blueprint","Effect","barrage-blueprint-effect","","2","ShotIntervalMultiplier","0.88","","","","","","","","","","","",""
"barrage-blueprint","Effect","barrage-blueprint-effect","","3","DamageMultiplier","0.95","","","","","","","","","","","",""
"execution-round","Effect","execution-round-effect","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"execution-round","Effect","execution-round-effect","","2","MagazineLastProjectileDamageMultiplier","1.60","","","","","","","","","","","",""
"revolving-chamber","Effect","revolving-chamber-effect","","1","SkillRuntimeKindCritBonus","MagazineProjectile","0.10","","","","","","","","","","",""
"artillery","Effect","artillery-level-1-reload-time","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"artillery","Effect","artillery-level-1-reload-time","","2","ReloadTimeMultiplier","0.90","","","","","","","","","","","",""
"artillery","Effect","artillery-level-2-reload-time","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"artillery","Effect","artillery-level-2-reload-time","","2","ReloadTimeMultiplier","0.9111111111","","","","","","","","","","","",""
"artillery","Effect","artillery-level-3-reload-time","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"artillery","Effect","artillery-level-3-reload-time","","2","ReloadTimeMultiplier","0.9146341463","","","","","","","","","","","",""
"artillery","Effect","artillery-level-4-reload-time","","1","ConditionSkillRuntimeKind","MagazineProjectile","","","","","","","","","","","",""
"artillery","Effect","artillery-level-4-reload-time","","2","ReloadTimeMultiplier","0.8666666667","","","","","","","","","","","",""
"artillery","Trigger","artillery-support-bombardment-trigger","","1","ExecuteSkill","sein-c","1","Nexus","true","Densest","60","Physical","0.1","","","","",""
"artillery","Effect","artillery-level-2-support-bombardment","sein-c","1","ConditionTriggerExecution","true","","","","","","","","","","","",""
"artillery","Effect","artillery-level-2-support-bombardment","sein-c","2","RawDamageOverride","85","","","","","","","","","","","",""
"artillery","Effect","artillery-level-2-support-bombardment","sein-c","3","RadiusMultiplierOverride","1.15","","","","","","","","","","","",""
"artillery","Effect","artillery-level-3-shrapnel","sein-c","1","ConditionTriggerExecution","true","","","","","","","","","","","",""
"artillery","Effect","artillery-level-3-shrapnel","sein-c","2","ArrivalFragmentBurst","3","0.3","3","30","","","","","","","","",""
"artillery","Effect","artillery-level-4-support-bombardment","sein-c","1","ConditionTriggerExecution","true","","","","","","","","","","","",""
"artillery","Effect","artillery-level-4-support-bombardment","sein-c","2","RawDamageOverride","120","","","","","","","","","","","",""
"artillery","Effect","artillery-level-4-support-bombardment","sein-c","3","RadiusMultiplierOverride","2","","","","","","","","","","","",""
"blessed-quiver","Effect","blessed-quiver-effect","","1","ConditionSkillAttribute","Holy","","","","","","","","","","","",""
"blessed-quiver","Effect","blessed-quiver-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"blessed-quiver","Effect","blessed-quiver-fire-effect","","1","ConditionSkillAttribute","Fire","","","","","","","","","","","",""
"blessed-quiver","Effect","blessed-quiver-fire-effect","","2","DamageMultiplier","1.18","","","","","","","","","","","",""
"lightning-magazine","Trigger","lightning-magazine-trigger","","1","ApplyStatus","shock","","","","","","","","","","","",""
"lightning-magazine","Trigger","lightning-magazine-trigger","","2","SelectTargets","Enemy","EventTarget","Single","EffectTarget","","","","","","","","",""
