"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","apply_once","condition_status_id","condition_target_side","attack_power_coefficient","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","status_action_speed_bonus","status_attack_power_bonus","status_damage_taken_bonus","status_critical_resistance_bonus","skill_effect_prefab_path","runtime_support_state","status_flat_element_resist_reduction","required_source_status_id","required_source_status_min_stacks","status_conditional_incoming_skill_runtime_kinds"
"vega-g-silence-mark-crit-trait3","vega-g","20","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-g-trait-3","false","silence&name-mark","Enemy","0","true","passive-buff","1","Vega G Silence Mark Crit","0.5","1","1","","same_source_refresh","0","0","0","-0.10","","RuntimeImplemented","0","","0",""
"vega-b-g-mark-on-hit-effect","vega-b","90","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","name-mark","1","이름표식","0","1","2","","same_source_refresh","0","0","0","0","","RuntimeImplemented","0","","0",""
"vega-h-slaughter-action-base","vega-h","10","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","","false","","AllAllies","0","true","passive-buff","1","Vega H Slaughter Action","0.5","1","1","all_allies","same_source_refresh","0.12","0","0","0","","RuntimeImplemented","0","slaughter-permit","1",""
"vega-h-slaughter-action-trait1","vega-h","11","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","vega-h-trait-1","false","","AllAllies","0","true","passive-buff","1","Vega H Slaughter Action Trait 1","0.5","1","1","all_allies","same_source_refresh","0.06","0","0","0","","RuntimeImplemented","0","slaughter-permit","1",""
"vega-h-slaughter-attack-trait2","vega-h","20","Status","AllAllies","Owner","Battlefield","Caster","Center","OnCast","vega-h-trait-2","false","","AllAllies","0","true","passive-buff","1","Vega H Slaughter Attack Trait 2","0.5","1","1","all_allies","same_source_refresh","0","0.08","0","0","","RuntimeImplemented","0","slaughter-permit","1",""
"vega-h-slaughter-mark-damage-trait3","vega-h","30","Status","Enemy","Nearest","Battlefield","Caster","Center","OnCast","vega-h-trait-3","false","name-mark","Enemy","0","true","passive-buff","1","Vega H Slaughter Mark Damage Trait 3","0.5","1","1","","same_source_refresh","0","0","0.10","0","","RuntimeImplemented","0","slaughter-permit","1",""
"vega-d-i-area-vulnerability-base","vega-d","90","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega I Area Vulnerability","4","1","1","","same_source_refresh","0","0","0.15","0","","RuntimeImplemented","0","","0","Area"
"vega-d-i-area-vulnerability-trait2","vega-d","91","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega I Area Vulnerability Trait 2","6","1","1","","same_source_refresh","0","0","0.15","0","","RuntimeImplemented","0","","0","Area"
"vega-d-i-area-vulnerability-trait1","vega-d","92","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega I Area Vulnerability Trait 1","4","1","1","","same_source_refresh","0","0","0.07","0","","RuntimeImplemented","0","","0","Area"
"vega-d-i-area-vulnerability-trait1-trait2","vega-d","93","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega I Area Vulnerability Trait 1 Trait 2","6","1","1","","same_source_refresh","0","0","0.07","0","","RuntimeImplemented","0","","0","Area"
"vega-d-i-area-vulnerability-trait3","vega-d","94","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","name-mark:10","Enemy","0","false","passive-buff","1","Vega I Name Mark Area Vulnerability Trait 3","4","1","1","","same_source_refresh","0","0","0.10","0","","RuntimeImplemented","0","","0","Area"
"vega-d-i-area-vulnerability-trait3-trait2","vega-d","95","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","name-mark:10","Enemy","0","false","passive-buff","1","Vega I Name Mark Area Vulnerability Trait 3 Trait 2","6","1","1","","same_source_refresh","0","0","0.10","0","","RuntimeImplemented","0","","0","Area"
"vega-e-j-survive-target-base","vega-e","90","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega J Survive Target","5","1","1","","same_source_refresh","0","0","0.10","0","","RuntimeImplemented","0","","0",""
"vega-e-j-survive-target-trait2","vega-e","91","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","","false","","Enemy","0","false","passive-buff","1","Vega J Survive Target Trait 2","5","1","1","","same_source_refresh","0","0","0.15","0","","RuntimeImplemented","0","","0",""
