choice_id,monster_id,active_skill_id,passive_skill_id,sort_order
vega-a-master-2,vega,vega-a,,1
vega-b-trait-1,vega,vega-b,,0
vega-b-trait-2,vega,vega-b,,1
vega-b-trait-3,vega,vega-b,,2
vega-b-trait-4,vega,vega-b,,3
vega-b-trait-5,vega,vega-b,,4
vega-b-master-1,vega,vega-b,,0
vega-b-master-2,vega,vega-b,,1
vega-c-trait-1,vega,vega-c,,0
vega-c-trait-2,vega,vega-c,,1
vega-c-trait-3,vega,vega-c,,2
vega-c-trait-4,vega,vega-c,,3
vega-c-trait-5,vega,vega-c,,4
vega-c-master-1,vega,vega-c,,0
vega-c-master-2,vega,vega-c,,1
vega-d-trait-1,vega,vega-d,,0
vega-d-trait-2,vega,vega-d,,1
vega-d-trait-3,vega,vega-d,,2
vega-d-trait-4,vega,vega-d,,3
vega-d-trait-5,vega,vega-d,,4
vega-d-master-1,vega,vega-d,,0
vega-d-master-2,vega,vega-d,,1
vega-e-trait-1,vega,vega-e,,0
vega-e-trait-2,vega,vega-e,,1
vega-e-trait-3,vega,vega-e,,2
vega-e-trait-4,vega,vega-e,,3
vega-e-trait-5,vega,vega-e,,4
vega-e-master-1,vega,vega-e,,0
vega-e-master-2,vega,vega-e,,1
vega-f-trait-1,vega,,vega-f,0
vega-f-trait-2,vega,,vega-f,1
vega-f-trait-3,vega,,vega-f,2
vega-g-trait-1,vega,,vega-g,0
vega-g-trait-2,vega,,vega-g,1
vega-g-trait-3,vega,,vega-g,2
vega-h-trait-1,vega,,vega-h,0
vega-h-trait-2,vega,,vega-h,1
vega-h-trait-3,vega,,vega-h,2
vega-i-trait-1,vega,,vega-i,0
vega-i-trait-2,vega,,vega-i,1
vega-i-trait-3,vega,,vega-i,2
vega-j-trait-1,vega,,vega-j,0
vega-j-trait-2,vega,,vega-j,1
vega-j-trait-3,vega,,vega-j,2
eve-a-trait-1,eve,eve-a,,0
eve-a-trait-2,eve,eve-a,,1
eve-a-trait-3,eve,eve-a,,2
eve-a-trait-4,eve,eve-a,,3
eve-a-trait-5,eve,eve-a,,4
eve-a-master-1,eve,eve-a,,0
eve-a-master-2,eve,eve-a,,1
eve-b-trait-1,eve,eve-b,,0
eve-b-trait-2,eve,eve-b,,1
eve-b-trait-3,eve,eve-b,,2
eve-b-trait-4,eve,eve-b,,3
eve-b-trait-5,eve,eve-b,,4
eve-b-master-1,eve,eve-b,,0
eve-b-master-2,eve,eve-b,,1
eve-c-trait-1,eve,eve-c,,0
eve-c-trait-2,eve,eve-c,,1
eve-c-trait-3,eve,eve-c,,2
eve-c-trait-4,eve,eve-c,,3
eve-c-trait-5,eve,eve-c,,4
eve-c-master-1,eve,eve-c,,0
eve-c-master-2,eve,eve-c,,1
eve-d-trait-1,eve,eve-d,,0
eve-d-trait-2,eve,eve-d,,1
eve-d-trait-3,eve,eve-d,,2
eve-d-trait-4,eve,eve-d,,3
eve-d-trait-5,eve,eve-d,,4
eve-d-master-1,eve,eve-d,,0
eve-d-master-2,eve,eve-d,,1
eve-e-trait-1,eve,eve-e,,0
eve-e-trait-2,eve,eve-e,,1
eve-e-trait-3,eve,eve-e,,2
eve-e-trait-4,eve,eve-e,,3
eve-e-trait-5,eve,eve-e,,4
eve-e-master-1,eve,eve-e,,0
eve-e-master-2,eve,eve-e,,1
eve-f-trait-1,eve,,eve-f,0
eve-f-trait-2,eve,,eve-f,1
eve-f-trait-3,eve,,eve-f,2
eve-g-trait-1,eve,,eve-g,0
eve-g-trait-2,eve,,eve-g,1
eve-g-trait-3,eve,,eve-g,2
eve-h-trait-1,eve,,eve-h,0
eve-h-trait-2,eve,,eve-h,1
eve-h-trait-3,eve,,eve-h,2
eve-i-trait-1,eve,,eve-i,0
eve-i-trait-2,eve,,eve-i,1
eve-i-trait-3,eve,,eve-i,2
eve-j-trait-1,eve,,eve-j,0
eve-j-trait-2,eve,,eve-j,1
eve-j-trait-3,eve,,eve-j,2
